SYMBOL,K,K_used,Z,P,Dir,FDR
ABRAXAS2,3,3,-3.342012171154338,8.317341357406129e-4,down,0.0018662655303912207
LOC102724596,1,1,3.34156996075053,8.330601939131425e-4,up,0.0018690486042503263
ZNF91,5,4,-3.3414014900606412,8.335659033653419e-4,down,0.0018699907655142845
REC8,5,4,3.3410629034219914,8.345831223397733e-4,up,0.0018720801162804195
MIR5196,1,1,3.34095216938769,8.349160514186997e-4,up,0.0018726342424875589
FAM153A,5,3,-3.3401734423901646,8.37260826553572e-4,down,0.0018777001625032842
HLA-C,5,3,3.3395213017313865,8.392291435595834e-4,up,0.0018819208556616416
MATN3,4,3,-3.3392902146326784,8.399276491835644e-4,down,0.0018832934978762611
TYSND1,5,4,3.338720314104041,8.416525896564168e-4,up,0.0018869671027457369
MAP7D3,5,4,3.338517721051847,8.422665772790895e-4,up,0.0018881494757081161
LPIN2,5,3,3.3383954880764906,8.426372229495673e-4,up,0.0018887861502697428
FAM120AOS,5,3,3.3378032146609193,8.444353103320506e-4,up,0.001892622000673284
INO80E,5,5,3.3376401618035954,8.449309480883311e-4,up,0.0018935381989384978
TLCD1,4,3,-3.337546589710879,8.452155044504634e-4,down,0.0018937898351101378
LOC105370697,1,1,3.3375461088782106,8.452169669107675e-4,up,0.0018937898351101378
SRPX,5,5,3.337161533597157,8.463874107246902e-4,up,0.0018962174433469294
SUV39H1,4,2,3.337074421129828,8.466527437520054e-4,up,0.0018966169817650504
PKMYT1,5,3,3.3367192222066877,8.477354313654289e-4,up,0.0018987062866524312
G0S2,2,2,3.3367112986505485,8.477595979209562e-4,up,0.0018987062866524312
JMJD4,5,3,-3.336589123694752,8.48132307943608e-4,down,0.0018993459111945146
ATF7-NPFF,3,3,3.3363463361718693,8.48873412831349e-4,up,0.00190081031975516
TLCD2,5,4,3.336014235262642,8.498881180148468e-4,up,0.0019028870145672875
REP15,3,2,3.3359343373978323,8.501324067431952e-4,up,0.0019032385088733209
FCGR2C,2,2,3.3358186548755016,8.504862229172045e-4,up,0.0019036936973340045
ZNF630,5,4,3.3358107609204994,8.505103716358517e-4,up,0.0019036936973340045
RP11-849H4.2,1,1,-3.335576149665874,8.512283708284043e-4,down,0.0019051051958146024
ETFRF1,4,4,-3.33554413279922,8.513263981317815e-4,down,0.001905129008999278
FLRT2,5,3,-3.3353387193713298,8.51955569622893e-4,down,0.0019063413089755402
CCDC9B,3,3,3.3348919887858344,8.533253730078629e-4,up,0.0019092104327734422
RP11-231C14.4,1,1,-3.3340898579854077,8.557900622881541e-4,down,0.0019145283887064184
