SYMBOL,m_regions,beta_pooled,se_pooled,Q,Q_df,Q_p,I2,se_rho0.0,se_rho0.3,se_rho0.5,se_rho0.7,Q_FDR
1-MAR,5,-0.5013781896592798,0.08244278644390601,0.2663484596035719,4,0.9918816510695794,0,0.08244278644390601,0.12228241361944933,0.1427950948383959,0.16071057693635124,0.9999781025987472
1-SEP,3,1.42938902245052,0.1815234291093113,4.4660552841829055,2,0.10720336487363542,55.21775095164516,0.1815234291093113,0.22961099386781345,0.25671289533485914,0.28121488715473014,0.9999781025987472
10-SEP,5,-0.4226500559787334,0.10223215513784431,1.4910597657210054,4,0.8282239290061627,0,0.10223215513784431,0.15163479085316203,0.17707128686600998,0.19928715831103472,0.9999781025987472
11-SEP,5,-0.24546792154300462,0.05413032397688776,2.6414994490762256,4,0.6194895577820837,0,0.05413032397688776,0.08028824535667863,0.0937564713581334,0.10551942712412132,0.9999781025987472
15-SEP,5,-0.4218098133416842,0.10579946101784345,3.900476173599948,4,0.4196424615331102,0,0.10579946101784345,0.15692596054721344,0.18325004189630767,0.20624111766651057,0.9999781025987472
2-MAR,5,0.9576447684971642,0.10401558685430279,0.44193334626283665,4,0.9789019711216131,0,0.10401558685430279,0.15428004757264957,0.18016028121074584,0.2027637067447008,0.9999781025987472
2-SEP,5,-0.28876400966410115,0.09074052422042925,3.6019013036187975,4,0.46255409174305817,0,0.09074052422042925,0.13458994768836297,0.15716719825521774,0.17688584566333612,0.9999781025987472
3-MAR,5,0.21486901931990815,0.09550795885688099,2.50827122197531,4,0.6431553175014936,0,0.09550795885688099,0.14166119599599913,0.16542463726731582,0.18617928665409894,0.9999781025987472
3-SEP,5,0.07939815689687497,0.07253744514513781,1.583614352847206,4,0.8117340881484968,0,0.07253744514513781,0.10759041818863113,0.12563854044261907,0.1414015120255039,0.9999781025987472
4-MAR,5,0.2793829191438837,0.09452170988826526,2.1984559271049133,4,0.699311973133053,0,0.09452170988826526,0.1401983523742096,0.16371640394476097,0.18425673348012347,0.9999781025987472
4-SEP,5,0.1636055234497767,0.12327164679948552,0.3737827749113581,4,0.9845665575666648,0,0.12327164679948552,0.18284140009922709,0.2135127553893943,0.24030067798010268,0.9999781025987472
5-MAR,5,-0.3544882619213497,0.06410486712207072,3.7724445457631512,4,0.437677125047721,0,0.06410486712207072,0.09508288371323388,0.11103288686787817,0.1249633912680258,0.9999781025987472
5-SEP,5,0.4582734406815941,0.07821446503196387,5.3451900680491224,4,0.2536762254372699,25.166365478563563,0.07821446503196387,0.11601079944780943,0.13547142732218073,0.1524680610911608,0.9999781025987472
6-MAR,5,-0.6318780464213406,0.07904704147047112,1.465017501413887,4,0.8328195826533705,0,0.07904704147047112,0.11724570987253921,0.13691349201486003,0.1540910513556535,0.9999781025987472
6-SEP,5,0.08137131112146812,0.08665616059757737,4.194853293398785,4,0.38027713330032764,4.645056209842084,0.08665616059757737,0.12853185742425444,0.1500928729438522,0.1689239552110649,0.9999781025987472
7-MAR,5,-0.48367050882781465,0.08526029152135851,2.452353447265323,4,0.6531874812975382,0,0.08526029152135851,0.12646144899800685,0.1476751567831269,0.16620290544742816,0.9999781025987472
