SYMBOL,K,K_used,Z,P,Dir,FDR
LOC105374085,1,1,-2.7526190383689895,0.005912064869091196,down,0.01097235316038285
ACOT2,5,3,2.7525475878097962,0.005913355146101135,up,0.010973812842692198
TRPM3,5,4,2.7524112323028476,0.005915818201713163,up,0.010977448495435542
ANKAR,5,4,2.7521151180386543,0.005921170241657241,up,0.01098644389897953
PTN,5,3,2.7520604457762956,0.005922158878276412,up,0.010987342376756245
KHDRBS2,5,3,2.751920744611256,0.005924685765352581,up,0.010991094364390672
MYBPH,2,2,2.7517216803708653,0.005928288078766724,up,0.010996840604596403
WDR45B,5,4,2.751575951323964,0.0059309264772676555,up,0.010999896146935672
SCN4B,5,3,-2.7515749149842477,0.005930945243802941,down,0.010999896146935672
ZNF765-ZNF761,3,3,2.751256648495635,0.00593671109804153,up,0.011009652464552924
LOC107983974,1,1,2.7507963786224106,0.005945058482610764,up,0.011024194170997726
ZAK,1,1,2.75072423348297,0.005946367854349778,up,0.011025683603277256
ZEB1-AS1,3,3,2.750520508480628,0.0059500666897060964,up,0.011031602919556379
MMP24OS,3,2,-2.750255846166894,0.005954875000466293,down,0.011039578054055936
EEF1DP4,1,1,-2.750100632076009,0.0059576965151873955,down,0.011043868878421159
MYBPHL,5,3,2.7491305179809378,0.005975358766849893,up,0.011075373876958873
ACTG1P12,1,1,-2.749111307196069,0.005975709001326614,down,0.011075373876958873
AGPAT5,5,4,-2.748725663691106,0.005982743635221077,down,0.01108746848783569
AP3B1,5,4,2.748217307365434,0.005992028109704235,up,0.01110373018406528
DOC2B,5,3,2.7480561473772056,0.005994974198638019,up,0.011108244553328681
CX3CL1,5,3,-2.748022075539141,0.005995597216772993,down,0.011108454042099694
CDC42SE1,5,3,2.7479790520399354,0.005996384003201288,up,0.011108966894177041
SYTL1,3,2,2.747339056604894,0.006008098822690403,up,0.011128870600800951
KCNJ2,5,4,2.7473362962283803,0.006008149394730717,up,0.011128870600800951
VSIG10L,4,2,2.746838110523065,0.006017282790614868,up,0.0111448406621855
CIDECP,1,1,-2.7463039067926105,0.006027090412789295,down,0.011162056662284408
NHLRC2,5,3,2.745964268993007,0.0060333334214225515,up,0.011172668700063542
