SYMBOL,logFC,SE,P.Value,acc,region,study_id
1-MAR,-0.50776395040296,0.1566706822554702,0.00300325576915736,GSE278723_CA1,hippocampus_CA1,GSE278723
1-SEP,1.93900494514519,0.32168355617452876,1.51635883881634e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
10-SEP,-0.330948509913719,0.26040885507548595,0.213938901336327,GSE278723_CA1,hippocampus_CA1,GSE278723
11-SEP,-0.1290843254846,0.1398144622803372,0.363543865405499,GSE278723_CA1,hippocampus_CA1,GSE278723
15-SEP,-0.13280322182651,0.2262280949281307,0.561755101773971,GSE278723_CA1,hippocampus_CA1,GSE278723
2-MAR,0.95522770381874,0.24598378463086004,5.5344477289539e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
2-SEP,-0.195924561896383,0.23898457950530166,0.419050192676027,GSE278723_CA1,hippocampus_CA1,GSE278723
3-MAR,0.407577007223372,0.21632948354096013,0.0696864103322855,GSE278723_CA1,hippocampus_CA1,GSE278723
3-SEP,0.107432931100568,0.1752834385185255,0.544745019406218,GSE278723_CA1,hippocampus_CA1,GSE278723
4-MAR,0.287597329319863,0.24623722672147674,0.252395798452153,GSE278723_CA1,hippocampus_CA1,GSE278723
4-SEP,0.0330115107680744,0.3139745561626598,0.91699286013606,GSE278723_CA1,hippocampus_CA1,GSE278723
5-MAR,-0.38767846195027,0.1453689938867372,0.0124265878991003,GSE278723_CA1,hippocampus_CA1,GSE278723
5-SEP,0.512672074659034,0.21619287202055315,0.024628540445717,GSE278723_CA1,hippocampus_CA1,GSE278723
6-MAR,-0.462229690556049,0.17098708075801713,0.0113933825869103,GSE278723_CA1,hippocampus_CA1,GSE278723
6-SEP,-0.129115899192815,0.1998906122046922,0.523435695800064,GSE278723_CA1,hippocampus_CA1,GSE278723
7-MAR,-0.687044808142458,0.2059003934113056,0.00234696289236895,GSE278723_CA1,hippocampus_CA1,GSE278723
7-SEP,-1.20708987081828,0.1902697942091194,6.41476962828245e-7,GSE278723_CA1,hippocampus_CA1,GSE278723
