SYMBOL,k,agree_frac
CSRP1-AS1,3,1
CTRL,3,1
CTXN2,4,1
CUL2,5,1
CXCL16,4,1
CXCR4,4,1
CXXC1,5,1
CYCS,5,1
CYP27A1,5,1
CYP2C8,4,1
CYP4X1,5,1
DACH2,5,1
DCBLD1,5,1
DCC,5,1
DCDC1,3,1
DCLK1,5,1
DCTN6,5,1
DDAH2,5,1
DDHD1,5,1
DDHD2,5,1
DDIT4,5,1
DDX1,5,1
DDX10,5,1
DDX24,5,1
DDX39A,5,1
DENND1C,4,1
DENR,5,1
DGKB,5,1
DGKE,5,1
DHRS3,5,1
DHX34,5,1
DHX36,5,1
DHX57,5,1
DIAPH2,5,1
DIAPH3,3,1
DIRAS2,5,1
DLAT,5,1
DLD,5,1
DLEU2,4,1
DLGAP1-AS1,3,1
DLGAP1-AS4,3,1
DMPK,5,1
DMXL2,5,1
DNAH14,5,1
DNAH7,5,1
DNAI7,3,1
DNAJA2,5,1
DNAJB14,5,1
DNAJC10,5,1
DNAJC19,5,1
DNAJC6,5,1
DNALI1,5,1
DNASE1L2,5,1
DNM1L,5,1
DOCK2,5,1
DOCK6,5,1
DOCK8,5,1
DOK1,5,1
DOK6,5,1
DOK7,3,1
DOT1L,5,1
DPM1,5,1
DPP8,5,1
DPP9-AS1,3,1
DRD4,3,1
DSTN,5,1
DTX2,5,1
DTYMK,5,1
DUS4L,3,1
DUS4L-BCAP29,3,1
DUSP1,5,1
DYNC1I1,5,1
DYNC1LI1,5,1
DYNC2LI1,5,1
DYNLT3,5,1
DZIP1L,5,1
DZIP3,5,1
E2F3,5,1
EBI3,4,1
ECE1,5,1
ECT2L,3,1
EDA,5,1
EEF1E1,3,1
EEIG2,3,1
EFNB1,5,1
EGFR,5,1
EHD2,5,1
EHMT1,5,1
EIF1B,5,1
EIF4EBP1,4,1
EIF5A2,5,1
ELAPOR1,3,1
ELAVL2,5,1
ELAVL4,5,1
ELK1,5,1
ELMOD1,5,1
ELOVL4,5,1
ELOVL6,5,1
EMB,5,1
EMILIN1,5,1
EMP3,4,1
EMX2,5,1
EMX2OS,4,1
ENGASE,5,1
ENOPH1,5,1
ENPP5,5,1
ENTPD4,5,1
ENY2,5,1
EPHA2,5,1
EPHA4,5,1
EPHA5,5,1
EPHA8,3,1
EPOR,5,1
ERI3-IT1,3,1
ERICH3,5,1
ERLEC1,5,1
ESRP2,3,1
EVA1B,4,1
EVC2,4,1
EXOC6,5,1
EYA2,5,1
EZR,5,1
FAM107A,5,1
FAM133A,5,1
FAM135B,5,1
FAM162A,5,1
FAM181B,5,1
FAM225A,3,1
FAM229A,4,1
FAM234B,5,1
FAM3C,5,1
FAM66D,3,1
FAM81A,5,1
FAM89A,4,1
FAM98A,5,1
FANCE,4,1
FANCM,5,1
FAR2,5,1
FARSB,5,1
FASTKD2,5,1
FBL,5,1
FBXL19-AS1,4,1
FBXL2,5,1
FBXL7,5,1
FBXO3,5,1
FBXW7,5,1
FCGRT,5,1
FCHO1,5,1
FENDRR,3,1
FERMT3,5,1
FGD3,5,1
FGF12,5,1
FGF13,5,1
FGF14-AS2,4,1
FGF9,5,1
FGFR4,3,1
FHL3,5,1
FIZ1,5,1
FKTN,5,1
FLCN,5,1
FLJ20021,3,1
FLNA,5,1
FLRT3,5,1
FLT3LG,4,1
FLT4,4,1
FMNL1-AS1,3,1
FMNL3,5,1
FOXD1,3,1
FOXJ1,5,1
FRMPD4,5,1
FTL,5,1
FXYD5,5,1
FYCO1,5,1
FZD9,4,1
G3BP2,5,1
GABARAPL1,5,1
GABRA3,5,1
GABRA4,5,1
GABRB3,5,1
GABRG2,5,1
GABRG3,5,1
GAD1,5,1
GAD2,5,1
GALM,5,1
GALNS,5,1
GALNT17,3,1
GAREM2,5,1
GAS1,5,1
GAS6-AS1,3,1
GATA2,4,1
GBGT1,4,1
GCC2,5,1
GCNA,4,1
GDA,5,1
GDAP1,5,1
GDPD1,5,1
GDPD3,5,1
GDPD5,5,1
GEM,5,1
GEN1,5,1
GFAP,5,1
GFM1,5,1
GFM2,5,1
GGCT,5,1
GHITM,5,1
GIMAP1,4,1
GIMAP2,4,1
GINS1,4,1
GIPC3,3,1
GJA1,5,1
GLI1,4,1
GLI2,5,1
GLIS2,5,1
GLO1,5,1
GLOD4,5,1
GLRA3,5,1
GLRB,5,1
GLS,5,1
GNG2,5,1
GOLT1B,5,1
GPATCH2,5,1
GPD1,5,1
GPER1,5,1
GPR108,5,1
GPR146,4,1
GPR153,5,1
GPR155,5,1
GPR22,5,1
GPR35,5,1
GPRASP1,5,1
GPRC5B,5,1
GPS2,5,1
GPSM1,5,1
GPSM3,5,1
GRAMD2B,3,1
GRB14,5,1
GRIA2,5,1
GRIA3,5,1
