acc,region,total_genes,percent_with_SE
GSE159699,lateral_temporal_lobe,15805,100
GSE203206,occipital_lobe,16790,100
GSE278723_CA1,hippocampus_CA1,13774,100
GSE278723_CA2,hippocampus_CA2,13902,100
GSE278723_CA3,hippocampus_CA3,13761,100
GSE278723_CA4,hippocampus_CA4,13650,100
GSE278723_NX,entorhinal_cortex,13846,100
GSE67333,hippocampus,16422,100
GSE95587,fusiform_gyrus,15904,100
