SYMBOL,K,K_used,Z,P,Dir,FDR
MAF1,5,4,8.469354807424807,2.4675598055525296e-17,up,6.810487575753119e-15
AIG1,5,5,-8.469338393288567,2.4679075202261198e-17,down,6.810487575753119e-15
TMCC2,5,4,8.467745320642262,2.5018859786442232e-17,up,6.817952027552838e-15
CYCS,5,5,-8.462552756238667,2.6158734072149857e-17,down,6.968356311615362e-15
RND2,5,4,8.462324293040293,2.6210046215882742e-17,up,6.968356311615362e-15
CLN3,5,5,8.454869925068689,2.793986389639543e-17,up,7.338758708497792e-15
GPS2,5,5,8.45267969130709,2.8469191977548313e-17,up,7.388772075030128e-15
CD37,5,5,8.449418944823886,2.927561656087532e-17,up,7.508679019336976e-15
TIPRL,5,5,-8.446832455987375,2.993127980271273e-17,down,7.587579429987677e-15
ADAMTS2,5,5,8.438657391107393,3.2100349729131005e-17,up,7.972883632927604e-15
HSPB2,4,4,8.438358078677428,3.2182641149379804e-17,up,7.972883632927604e-15
SLC35B4,5,5,-8.427063525844357,3.5444745496130473e-17,down,8.640209144241925e-15
GDAP1,5,5,-8.426325358475175,3.5668952019713464e-17,down,8.640209144241925e-15
HOMER3,5,4,8.424465297774779,3.6240138827285354e-17,up,8.670327627240243e-15
RPS6KA6,5,4,-8.422877441115148,3.673486928997233e-17,down,8.670327627240243e-15
TMEM184B,5,4,8.422078219854926,3.698639829977261e-17,up,8.670327627240243e-15
BCAT1,5,5,-8.410485972712287,4.0831539723570304e-17,down,9.186524051629268e-15
UBE2N,5,5,-8.410152898054912,4.094765872308774e-17,down,9.186524051629268e-15
PMS2,5,4,-8.40958632158296,4.114593167162475e-17,down,9.186524051629268e-15
ASAH2B,4,4,-8.408113300455266,4.16658566516653e-17,down,9.186524051629268e-15
CDC7,5,4,-8.408051848565487,4.1687687266874823e-17,down,9.186524051629268e-15
HMG20B,5,4,8.407970215078077,4.171670478928937e-17,up,9.186524051629268e-15
FBXL7,5,5,8.406259737533553,4.232931588117445e-17,up,9.228214155254842e-15
CDH23,5,5,8.401718721167127,4.399907309991299e-17,up,9.497265273774288e-15
ACTR10,5,5,-8.400035027242145,4.463454797615763e-17,down,9.53997823949228e-15
TM2D2,5,5,-8.397234128684032,4.5711803542209585e-17,down,9.627978356455724e-15
ZNF365,5,4,-8.396337335724816,4.6062109548380046e-17,down,9.627978356455724e-15
MRPL30,5,4,-8.395551718179686,4.637116313140915e-17,down,9.627978356455724e-15
VMA21,4,4,-8.393341648285752,4.7251593674460757e-17,down,9.718226355631311e-15
LRPPRC,5,5,-8.389873773370256,4.866644128711274e-17,down,9.9156737056107e-15
CROT,5,5,-8.38748806445218,4.966395840868648e-17,down,1.0025221826553462e-14
NLK,5,4,-8.375464163689113,5.5006639638109696e-17,down,1.1001832575692014e-14
AXIN1,5,5,8.363898016521622,6.067937603801104e-17,up,1.2026100700042534e-14
PCED1A,5,5,8.350410093421326,6.80263576797106e-17,up,1.3360744358336674e-14
MSH2,5,5,-8.343869235784192,7.189849046927157e-17,down,1.3995169560005264e-14
SCAMP2,5,5,8.33775472596299,7.571441971753187e-17,up,1.4607522692583295e-14
VPS50,5,5,-8.320712713597294,8.743594315871875e-17,down,1.6720973656168662e-14
USP14,5,5,-8.309922210881929,9.57648293664212e-17,down,1.7896917722296754e-14
TCF7L1,4,4,8.309817001972677,9.5849771192334994e-17,up,1.7896917722296754e-14
TMEM242,5,5,-8.308668350166574,9.678199791443419e-17,down,1.7896917722296754e-14
PTS,5,4,-8.308561975457414,9.686878084633811e-17,down,1.7896917722296754e-14
REEP5,5,4,-8.303410825121263,1.0116431204024011e-16,down,1.8533471989825837e-14
ATR,5,5,-8.299318292251417,1.0471048764969006e-16,down,1.8980973707032143e-14
RBM3,5,4,-8.298596763774704,1.0534827845286406e-16,down,1.8980973707032143e-14
MXD4,5,5,8.27490627875041,1.285566966792583e-16,up,2.2972660199217298e-14
PLEKHA7,5,4,8.267068462878088,1.3729312758336326e-16,up,2.3729384470444402e-14
NAPG,5,5,-8.2640871660585,1.4076772996511988e-16,down,2.3729384470444402e-14
CNNM3,5,5,8.261494774179678,1.4385944983157771e-16,up,2.3729384470444402e-14
TCF3,5,5,8.259174592583278,1.4668324289441584e-16,up,2.3729384470444402e-14
SALL2,5,4,8.258568355672768,1.4743002833033362e-16,up,2.3729384470444402e-14
GIT1,5,4,8.250623887211372,1.5756973353876873e-16,up,2.3729384470444402e-14
ITGB5,5,5,8.248923760876982,1.5982735454591227e-16,up,2.3729384470444402e-14
PACSIN2,5,4,8.23031300759784,1.867248770091615e-16,up,2.3729384470444402e-14
SMO,5,5,8.225285519335698,1.9472642827318066e-16,up,2.3729384470444402e-14
PLEKHH3,5,5,8.221448541908783,2.010597710350254e-16,up,2.3729384470444402e-14
2-MAR,1,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
7-SEP,1,1,-8.209536151601386,2.2204460492503363e-16,down,2.3729384470444402e-14
AC007325.2,1,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
AC024592.12,1,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
ADRBK1,1,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
AES,2,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
APOA1BP,1,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
ASNA1,2,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
ATP5D,2,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
ATP5G1,2,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
ATP5G2,2,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
ATP5I,2,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
C12ORF10,2,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
C16ORF13,1,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
C19ORF52,1,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
C19ORF60,2,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
C19ORF70,2,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
C1ORF233,1,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
C21ORF33,2,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
C3ORF17,1,1,-8.209536151601386,2.2204460492503363e-16,down,2.3729384470444402e-14
C5ORF28,1,1,-8.209536151601386,2.2204460492503363e-16,down,2.3729384470444402e-14
C7ORF43,2,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
C9ORF16,2,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
CCBL1,1,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
CTB-50L17.10,1,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
CTD-3099C6.9,1,1,-8.209536151601386,2.2204460492503363e-16,down,2.3729384470444402e-14
DDX26B,1,1,-8.209536151601386,2.2204460492503363e-16,down,2.3729384470444402e-14
ERBB2IP,1,1,-8.209536151601386,2.2204460492503363e-16,down,2.3729384470444402e-14
FAM127A,2,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
FAM127B,2,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
FAM195A,1,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
FAM195B,1,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
FAM58A,2,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
FAM69B,2,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
FAM73A,1,1,-8.209536151601386,2.2204460492503363e-16,down,2.3729384470444402e-14
FAM73B,1,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
FAM96B,2,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
GATSL2,1,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
H1FX,2,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
H2AFX,2,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
H3F3A,1,1,-8.209536151601386,2.2204460492503363e-16,down,2.3729384470444402e-14
HIST1H2BK,2,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
HIST1H4E,2,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
HIST1H4J,1,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
HIST1H4K,1,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
HIST2H2AA4,1,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
HIST2H2AB,2,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
HIST2H2AC,2,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
HMHA1,1,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
KIAA1033,1,1,-8.209536151601386,2.2204460492503363e-16,down,2.3729384470444402e-14
KIAA1715,1,1,-8.209536151601386,2.2204460492503363e-16,down,2.3729384470444402e-14
LINC00116,2,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
LINC00634,2,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
MESDC1,2,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
MKL1,2,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
MMP24-AS1,2,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
MYEOV2,1,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
PCNXL3,1,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
PCNXL4,1,1,-8.209536151601386,2.2204460492503363e-16,down,2.3729384470444402e-14
PHB,2,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
PRKRIR,1,1,-8.209536151601386,2.2204460492503363e-16,down,2.3729384470444402e-14
QARS,2,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
RLTPR,1,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
RP11-162P23.2,1,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
SELO,1,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
SGK223,1,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
SLC22A18,2,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
SSSCA1,2,1,8.209536151601386,2.2204460492503363e-16,up,2.3729384470444402e-14
