SYMBOL,k,meta_logFC,meta_se,meta_z,meta_p,ci_lb,ci_ub,tau2,I2,meta_FDR
UBLCP1,5,-0.6620443641716585,0.05925929873585999,-11.171991202977752,5.591319341146054e-29,-0.778190455443044,-0.5458982729002729,1.1558246224086934e-4,0.561810354109318,8.386419879784967e-25
ID3,5,0.7802674876203632,0.07281210170542247,10.716178620651668,8.546170518532702e-27,0.6375583906390678,0.9229765846016587,2.1554569729748883e-4,0.55244513750359,6.4092005803736e-23
LRP4,5,0.6580901132951371,0.06275939475087369,10.485921923043652,1.0026299442447541e-25,0.5350839598918926,0.7810962666983816,0,0,5.012815511242356e-22
KANK2,5,0.7191500833126405,0.06963254038705104,10.327787544663165,5.276352299030377e-25,0.5826728120019897,0.8556273546232913,0,0,1.9785002033289156e-21
DYNC2LI1,5,-0.6076837040711132,0.05922912233286594,-10.25988027740726,1.0683911711824241e-24,-0.7237706506794473,-0.491596757462779,4.991439134271971e-4,2.47738628468103,3.204959835313036e-21
CREBBP,5,0.3737915220512798,0.03679991568118246,10.157401589982912,3.0715323018226006e-24,0.3016650126820514,0.4459180314205082,0,0,7.678318832506197e-21
PRELP,5,0.7797550829438391,0.07859513938537993,9.9211616525091,3.368130727720937e-23,0.625711440388589,0.9337987254990893,0,0,7.216941826440905e-20
SUB1,5,-0.591213719986418,0.06033722509124792,-9.798490386197345,1.1428076922730176e-22,-0.7094725080923504,-0.47295493188048565,0,0,2.1426215720503739e-19
GPS2,5,0.35197860197185077,0.0360976029450498,9.750747231267857,1.8311540569585083e-22,0.2812286002713262,0.42272860367237536,0,0,3.0517199667022964e-19
NDUFA9,5,-0.38625893085801605,0.041032865061154764,-9.4134038722946,4.803244266417906e-21,-0.4666818685603713,-0.3058359931556608,0.001294777878760605,14.458306912959893,7.204386075200219e-18
HSPB1,5,0.9338734552744915,0.09942487729956484,9.39275441558507,5.845131010672908e-21,0.7390042766000304,1.1287426339489526,0,0,7.970101820825722e-18
ARAP1,5,0.44857785891547564,0.04793820347356302,9.35741906062161,8.170816495711004e-21,0.35462070662373923,0.542535011207212,0,0,1.0212839718264114e-17
ZNF592,5,0.346838551096941,0.03724093217322957,9.313369211156962,1.2384028155043209e-20,0.2738476652867121,0.4198294369071699,0,0,1.4288310638268698e-17
CERS4,5,0.38100270780495815,0.04105568803671018,9.280144263184248,1.6924925035518282e-20,0.30053503789249425,0.46147037771742205,0,0,1.8132639329124195e-17
IFT140,5,0.381955455132351,0.04206050498829845,9.081095323002279,1.0748763558649347e-19,0.2995183801837188,0.46439253008098325,0,0,1.0316162965181829e-16
FAM162A,5,-0.5267862410362182,0.058025470360029245,-9.07853461191577,1.100464080558099e-19,-0.6405140731278719,-0.41305840894456447,0.0028691633127289756,16.29796310929284,1.0316162965181829e-16
SNX33,5,0.598376229992269,0.06606193766169229,9.057806222042634,1.3310044828264595e-19,0.46889721142642193,0.7278552485581161,0,0,1.174337425759651e-16
MXD4,5,0.5327753926163824,0.05891367989975578,9.043322255933141,1.5198101554817202e-19,0.41730670181613977,0.648244083416625,0,0,1.2664240290039068e-16
CSF1,5,0.6219309368099611,0.069009245897949,9.012284205071213,2.0180854917195344e-19,0.4866753002497126,0.7571865733702097,0,0,1.5931191731737524e-16
KIFAP3,5,-0.5354761535802512,0.059511036216031724,-8.997930260135496,2.300128498407965e-19,-0.6521156412463323,-0.41883666591417024,0,0,1.7249813673810535e-16
AXIN1,5,0.4303399597229303,0.048226343614213525,8.92333789941517,4.524417442958201e-19,0.3358180631330186,0.524861856312842,0,0,3.151729560769247e-16
DMXL2,5,-0.5266145854430654,0.05903118963259122,-8.920954985334069,4.622844878786815e-19,-0.6423135910874984,-0.41091557979863236,0,0,3.151729560769247e-16
BMP1,5,0.4945630447994193,0.055487632237359814,8.913032055212298,4.965561915206298e-19,0.38580928402679043,0.6033168055720481,0,0,3.2381940507034466e-16
INPPL1,5,0.5214062248308637,0.05862431175956786,8.894027224904129,5.8933248259549025e-19,0.4065046851636628,0.6363077644980647,1.796224755200322e-4,0.904210293822561,3.683082461020733e-16
PPP1R2,5,-0.5757511949741103,0.06488383659180583,-8.873568907403694,7.083837606531198e-19,-0.7029211778728318,-0.4485812120753888,0.005146098000421387,24.279032775795734,4.2500192104144574e-16
GFAP,5,0.7860688487818315,0.08878632211411827,8.853490380776067,8.482399772299862e-19,0.6120508551183875,0.9600868424452754,0,0,4.893365930181755e-16
ITFG1,5,-0.5977547079679209,0.06772033295079913,-8.826812892402755,1.077007550210212e-18,-0.7304841215725482,-0.4650252943632935,0,0,5.982976387260358e-16
TAC1,3,-1.5215625050377033,0.1728211727471451,-8.804259807123886,1.3171895297972787e-18,-1.8602857793880827,-1.1828392306873239,0,0,7.05590205622478e-16
AEBP1,5,0.8108303313676318,0.0921911643331565,8.795098068590258,1.4292309783386042e-18,0.6301389695818316,0.9915216931534321,0,0,7.39208118762094e-16
AGL,5,-0.4131125061012016,0.047019399688918787,-8.786001285306948,1.549778295668716e-18,-0.5052688360661762,-0.32095617613622696,0,0,7.748374885578356e-16
MRPS23,5,-0.3541076667141292,0.040357460831106064,-8.774280131152253,1.7200057795348078e-18,-0.433206836450583,-0.2750084969776754,0,0,8.322053770078252e-16
PIK3R5,5,0.7671975179975958,0.0875706744724807,8.760895386716356,1.937055103463539e-18,0.5955621499296526,0.938832886065539,0,0,9.079340467765509e-16
LRCH4,5,0.4980130339403993,0.05709760098496769,8.722135875227282,2.730024432666728e-18,0.38610379240622394,0.6099222754745747,1.1071522637998857e-4,0.5585934055852139,1.2408374686535834e-15
WDHD1,5,-0.4301869348170815,0.049392814529868205,-8.70950438665414,3.052062950261065e-18,-0.5269950723906899,-0.33337879724347314,0,0,1.3464085938519326e-15
AP3M2,5,-0.40803358638670084,0.0468739464315762,-8.704912162288789,3.1782080223188176e-18,-0.49990483320585,-0.3161623395675517,1.3329074509024386e-4,1.0413758193983478,1.3619983464788556e-15
BGN,5,0.6216175928758598,0.07176322274766997,8.66206350656183,4.633001119625494e-18,0.48096426087590116,0.7622709248758185,5.020608959969918e-4,1.6055970583845829,1.9302884387017443e-15
TPD52L1,5,0.4904800442123218,0.05684382033406209,8.628555247164048,6.213178639592396e-18,0.3790682036138945,0.6018918848107491,0,0,2.5186882814931447e-15
ATP6V1D,5,-0.4660517491700185,0.05431346067610317,-8.580778012826421,9.423358305067352e-18,-0.5725041759709132,-0.35959932236912384,0,0,3.7194987162554e-15
MYO1C,5,0.48711061134019784,0.056854684557411876,8.567642493000086,1.0562511977273203e-17,0.375677477255285,0.5985437454251107,0,0,4.062233773003097e-15
