SYMBOL,logFC,SE,P.Value,acc,region,study_id
ARSI,1.0275914048869501,0.3195181626939424,0.00320072004017137,GSE278723_CA1,hippocampus_CA1,GSE278723
ARVCF,1.06275328486328,0.19787100021061965,9.23531713821089e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
ASAH2B,-1.21948866075605,0.2862855494051309,1.9903737156181e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
ATP1A2,1.06520045258671,0.23458939038206378,9.19328095202107e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
ATP1A4,1.4837929062189401,0.496103167826138,0.00564794971226196,GSE278723_CA1,hippocampus_CA1,GSE278723
ATP2A3,1.10054462396474,0.27642026168546346,4.2464629590655e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
AURKAIP1,1.11643125248901,0.16725961266311784,2.63487362138796e-7,GSE278723_CA1,hippocampus_CA1,GSE278723
B3GALT2,-1.12760131157807,0.25460072672337963,1.2509231480044e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
B3GALT4,1.05541975859001,0.20601217749889367,1.834363987611e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
BAG2,-1.02763502098446,0.2409938645278047,1.9662120618955e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
BCAS1,-1.08445710524382,0.4684376673635474,0.0279384052404856,GSE278723_CA1,hippocampus_CA1,GSE278723
BCAT1,-1.07068968396717,0.22264270568407923,4.37924365479129e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
BCLAF1,-1.04006129162027,0.19306783906015876,8.83346302628075e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
BLOC1S1,1.15559289824528,0.1566204311050601,4.12515419411018e-8,GSE278723_CA1,hippocampus_CA1,GSE278723
BLOC1S3,1.53523644560117,0.39999124186157403,6.2484464493193e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
BLVRB,1.01422317442742,0.1808314717358311,4.7898005374135e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
BORCS8-MEF2B,1.06393279949339,0.46198468123670283,0.0286996442068327,GSE278723_CA1,hippocampus_CA1,GSE278723
C10ORF105,2.15596383752163,0.4275504538348823,2.29276977154933e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
C10ORF107,-1.06957678683294,0.3322515249028062,0.00317537242329867,GSE278723_CA1,hippocampus_CA1,GSE278723
C12ORF57,1.27484490910667,0.17511682856581212,5.32775850685827e-8,GSE278723_CA1,hippocampus_CA1,GSE278723
C16ORF86,1.21009641660368,0.23440686312387335,1.64520162069863e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
C16ORF96,1.06339077080098,0.33329634906295336,0.00341617610761056,GSE278723_CA1,hippocampus_CA1,GSE278723
C19ORF24,1.02387703181138,0.22684284558892193,9.90671958481062e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
C19ORF52,1.17999836510872,0.18347468374521725,5.06699004908384e-7,GSE278723_CA1,hippocampus_CA1,GSE278723
C19ORF53,1.22089655080653,0.18906719934957988,4.72292223242519e-7,GSE278723_CA1,hippocampus_CA1,GSE278723
C19ORF60,1.28858336163535,0.165488909748428,1.44428022251947e-8,GSE278723_CA1,hippocampus_CA1,GSE278723
C1ORF101,-1.14866980762876,0.21392330108725177,9.27114174359788e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
C1ORF233,1.18715051179546,0.3097078971627786,6.3336851823361e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
C1ORF95,-1.57753471390786,0.3639740652816596,1.6227353255314e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
C1QTNF4,1.09358560279168,0.26006124951009835,2.3108625258668e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
C1QTNF5,1.67231889829111,0.5054712742683448,0.00252518097337834,GSE278723_CA1,hippocampus_CA1,GSE278723
