SYMBOL,k,meta_logFC,meta_se,meta_z,meta_p,ci_lb,ci_ub,tau2,I2,meta_FDR
TAC1,3,-1.5215625050377033,0.1728211727471451,-8.804259807123886,1.3171895297972787e-18,-1.8602857793880827,-1.1828392306873239,0,0,2.5026601066148295e-17
GAREM2,3,1.0743751120327627,0.13611198141428565,7.893317699656979,2.9425727385391194e-15,0.8076005305963776,1.3411496934691478,0,0,2.7466394981925506e-14
MAS1,4,-1.4811856625824587,0.18881139392868793,-7.84478961657307,4.3367992076724485e-15,-1.8512491945534917,-1.1111221306114256,0,0,2.7466394981925506e-14
NEUROD6,4,-1.2848436144124895,0.1646991492746188,-7.801155136934835,6.134304406510351e-15,-1.6076480152751285,-0.9620392135498506,0,0,2.9137945930924165e-14
RPH3A,3,-1.1538309281914194,0.1502966154211667,-7.6770253605386385,1.6282520613600762e-14,-1.4484068814151734,-0.8592549749676655,0,0,6.18735783316829e-14
ALOX15B,3,1.3040936318352183,0.18267630203663,7.1388221531533045,9.413403232440576e-13,0.9460546590144627,1.662132604655974,0,0,2.9809110236061823e-12
PCSK1,3,-1.3912464594238916,0.2046308780553902,-6.7988099970294025,1.0548682756712432e-11,-1.792315610537264,-0.9901773083105192,0,0,2.8632138911076604e-11
RGS4,3,-1.258877588332501,0.1941123363548813,-6.4853043962697345,8.855281744777415e-11,-1.6393307765429932,-0.8784244001220087,0,0,2.103129414384636e-10
CARTPT,3,-1.342888563599756,0.2083532377533134,-6.4452493183221495,1.1541053722300789e-10,-1.7512534056585614,-0.9345237215409508,0,0,2.436444674707944e-10
SLC17A6,3,-1.1437579091573413,0.17973472240524987,-6.363589037506608,1.9709305244414534e-10,-1.4960314918429354,-0.7914843264717473,0,0,3.7447679964387615e-10
HSPB1,3,1.1845531461914476,0.18943190883461894,6.253186981426694,4.0216016240537197e-10,0.8132734273529196,1.5558328650299755,0,0,6.946402805183698e-10
FOXJ1,4,1.6671628916419896,0.3237134841382541,5.150118772716815,2.603215531507798e-7,1.0326961214210335,2.301629661862946,0.19018922810126745,46.37783142781829,4.121757924887347e-7
SAMD11,3,1.283922640502364,0.2580672668928558,4.975147200808781,6.519807648632013e-7,0.7781200918036809,1.789725189201047,0,0,9.528949640308326e-7
SST,4,-0.8458699192713325,0.5436361119618014,-1.5559487323586179,0.11972028388374266,-1.9113771194118474,0.21963728086918255,0.9407471001215626,82.66307811052575,0.16247752812793648
DNAJC5G,4,-0.6969246521497768,0.5590792555957698,-1.246557880970052,0.21255965358661477,-1.7926998576209487,0.3988505533213952,1.092397414583916,88.72645577558151,0.2692422278763787
VGF,4,-0.8115177281169548,0.7303144005131156,-1.11118954733302,0.26648676950877165,-2.2429076505136214,0.6198721942797121,1.9960909374715359,95.05053796706181,0.3164530387916663
SLC5A3,3,0.4265608563378616,0.9263204335185721,0.4604895249018701,0.6451648886039258,-1.388993831502069,2.2421155441777922,2.465097017954694,96.64612148026349,0.7210666402043877
MCHR1,3,-0.25381632521226455,0.7084769888720484,-0.358256272538026,0.7201515386569426,-1.6424057072768639,1.1347730568523349,1.348753926519528,90.7481312976024,0.7524184445992832
LINC01561,3,0.25174950938818447,0.7980594870568599,0.31545206024253164,0.7524184445992832,-1.3124183427637701,1.8159173615401392,1.74766537932051,91.89926054919249,0.7524184445992832
