"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","19/328","157/9423",0.121019108280255,3.47671663818549,5.94274533858057,2.04994606713028e-06,0.000663303964391662,0.000663303964391662,"TGFB1/TEAD2/WWTR1/TGFB2/WTIP/LATS2/LEF1/FZD4/TGFB3/SMAD7/NKD1/PPP2R1B/AMOT/PPP2CB/YAP1/CRB2/BMP7/TCF7L1/FZD1",19
"Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","15/328","110/9423",0.136363636363636,3.917544345898,5.84488710541442,5.68390340809359e-06,0.000663303964391662,0.000663303964391662,"TGFB1/E2F5/TGFB2/ID4/ID3/SMAD6/TGFB3/SMAD7/PPP2R1B/PPP2CB/BMP7/INHBB/NOG/EMP3/LRRC32",15
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","18/328","154/9423",0.116883116883117,3.35789515362686,5.60241826537514,6.28136649635465e-06,0.000663303964391662,0.000663303964391662,"TNXB/TGFB1/EGFR/LIMS2/PXN/COL1A2/COL6A2/PDGFB/FLT4/FN1/PARVG/ITGB8/ITGA5/LAMB2/TLN1/FLT1/ITGB5/LAMA5",18
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","21/328","203/9423",0.103448275862069,2.97193019343987,5.39363080177033,7.53754504990525e-06,0.000663303964391662,0.000663303964391662,"TNXB/EGFR/PIP5K1C/PXN/COL1A2/VASP/COL6A2/PDGFB/FLT4/FN1/PARVG/ITGB8/ITGA5/LAMB2/TLN1/FLT1/ITGB5/EMP2/LAMA5/DOCK1/MYLK",21
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","25/328","301/9423",0.0830564784053156,2.38610120735759,4.64130678538547,4.79090102232052e-05,0.00334063576127063,0.00334063576127063,"NFATC1/TGFB1/EGFR/TGFB2/FGFR1/NFKB2/GNG12/TEK/PDGFB/CSF1/FLT4/IRAK1/CACNA1H/TGFB3/GNA12/HSPA1B/HSPB1/FLT1/MECOM/TNFRSF1A/RRAS/MRAS/DUSP1/MKNK2/EPHA2",25
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","21/328","232/9423",0.0905172413793103,2.60043891925988,4.68714979761333,5.69426550216584e-05,0.00334063576127063,0.00334063576127063,"EGFR/PIP5K1C/PXN/FGFR1/CXCL12/GNG12/MSN/PDGFB/FN1/GNA13/ARPC1B/EZR/ITGB8/ITGA5/GNA12/RGCC/RRAS/ITGB5/MRAS/DOCK1/MYLK",21
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","19/328","204/9423",0.0931372549019608,2.67570839311334,4.59492832404478,8.77240805203853e-05,0.00441126804902509,0.00441126804902509,"TGFB1/EGFR/SMO/PXN/COL1A2/TGFB2/FGFR1/MSN/ITPR3/FN1/FZD4/EZR/ITGA5/HSPG2/FZD1/HPSE2/RRAS/ITGB5/MRAS",19
"Environmental Information Processing","Signaling molecules and interaction","hsa04519","Cadherin signaling","29/328","404/9423",0.0717821782178218,2.06220568703212,4.14407141951675,0.000166929760035224,0.00692051159222959,0.00692051159222958,"EGFR/TEAD2/LHFPL2/PCDHGB4/WWTR1/PCDHGC3/FGFR1/WTIP/VASP/DSP/LATS2/LEF1/FLT4/MYO1C/ARPC1B/FZD4/GABRR2/PCDH18/VIM/LRP5/VANGL2/NFKBIA/YAP1/CDH23/TCF7L1/FZD1/FAT1/RRAS/MRAS",29
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","20/328","233/9423",0.0858369098712446,2.46597927352664,4.30283958219838,0.000176944898664961,0.00692051159222959,0.00692051159222958,"ATP1A2/COL1A2/TTN/COL6A2/DSP/OBSCN/TPM2/FN1/ITGB8/ITGA5/VIM/COL11A1/VCAN/BGN/TLN1/HSPG2/CSRP1/COL27A1/ITGB5/SNTA1",20
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","24/328","333/9423",0.0720720720720721,2.07053394858273,3.77700656213976,0.000577416661034657,0.0203250664684199,0.0203250664684199,"TNXB/EGFR/PXN/COL1A2/HES6/FOXO1/COL6A2/MAML2/PPP2R5A/FN1/FZD4/ITGB8/NOTCH2/ITGA5/PPP2R1B/PPP2CB/LAMB2/ATP6V1G2/NOTCH3/TCF7L1/FZD1/TNFRSF1A/ITGB5/LAMA5",24
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","10/328","89/9423",0.112359550561798,3.22793916141409,4.01025096954797,0.00100799574418426,0.0306735375455954,0.0306735375455954,"TNXB/COL1A2/COL6A2/FN1/ITGB8/ITGA5/LAMB2/HSPG2/ITGB5/LAMA5",10
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","14/328","157/9423",0.089171974522293,2.56179120708405,3.74743209321458,0.0011328295116271,0.0306735375455954,0.0306735375455954,"NFATC1/TGFB1/CASP7/SLC2A1/SCARF1/ATP11C/BSG/S1PR1/RXRA/AXL/ITGB5/NFATC4/DOCK1/PECAM1",14
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","14/328","157/9423",0.089171974522293,2.56179120708405,3.74743209321458,0.0011328295116271,0.0306735375455954,0.0306735375455954,"NFATC1/TGFB1/ZFP36L2/E2F5/TGFB2/FOXO1/ITPR3/HIPK2/TGFB3/ZFP36L1/RRAS/NFATC4/TRAF3IP2/MRAS",14
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","24/328","362/9423",0.0662983425414365,1.9046624444145,3.33318870768592,0.00183032194221435,0.0424880166815728,0.0424880166815728,"TNXB/EGFR/MCL1/COL1A2/FGFR1/GNG12/TEK/COL6A2/PDGFB/CSF1/FLT4/PPP2R5A/FN1/ITGB8/ITGA5/RXRA/PPP2R1B/PPP2CB/LAMB2/FLT1/HSP90AA1/ITGB5/LAMA5/EPHA2",24
"Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","14/328","166/9423",0.0843373493975904,2.42289891272407,3.51236854986322,0.00193048459739276,0.0424880166815728,0.0424880166815728,"NFATC1/ATP1A2/NPR1/VASP/ITPR3/GNA13/ADRA2C/KCNJ8/IRAG1/GNA12/EDNRB/ADCY4/NFATC4/MYLK",14
"Human Diseases","Cancer: specific types","hsa05224","Breast cancer","13/328","148/9423",0.0878378378378378,2.5234632498352,3.547423191764,0.00193127348552604,0.0424880166815728,0.0424880166815728,"EGFR/FGFR1/NFKB2/LEF1/FLT4/FZD4/DLL4/NOTCH2/LRP5/NOTCH3/PGR/TCF7L1/FZD1",13
