"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Nervous system","hsa04721","Synaptic vesicle cycle","12/237","79/9423",0.151898734177215,6.03941676013459,7.22453516312933,5.5949214829819e-07,0.000196941236200963,0.000196941236200963,"NSF/UNC13C/STX1B/ATP6V1E1/SLC6A7/SLC32A1/RAB3A/SNAP25/SLC17A6/ATP6V1B2/SYT1/ATP6V1G2",12
"Environmental Information Processing","Signaling molecules and interaction","hsa04082","Neuroactive ligand signaling","18/237","199/9423",0.0904522613065327,3.59633611093442,5.94580014434082,2.51463231488529e-06,0.000442575287419811,0.000442575287419811,"P2RX6/GABRG2/PLCB1/GLRB/GABRB3/HTR3B/GRM5/HTR5A/SLC32A1/CHRM4/GRIA3/SLC17A6/CHRM1/GABRA4/GNG3/GABRA1/GRIK2/GABRB2",18
"Human Diseases","Substance dependence","hsa05033","Nicotine addiction","8/237","41/9423",0.195121951219512,7.75794998456314,6.96532988255869,6.63511214266231e-06,0.000778519824739044,0.000778519824739044,"GABRG2/GABRB3/SLC32A1/GRIA3/SLC17A6/GABRA4/GABRA1/GABRB2",8
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","23/237","371/9423",0.0619946091644205,2.46487427070183,4.62378397662695,5.77470942195644e-05,0.00508174429132167,0.00508174429132167,"PTH2R/P2RX6/GABRG2/MAS1/GLRB/GABRB3/GRM5/HTR5A/CRHR2/CHRM4/PATE2/GRIA3/PRLHR/RXFP1/CCKBR/NPY/CHRM1/GABRA4/GABRA1/GRIK2/ADCYAP1/GABRB2/VGF",23
"Organismal Systems","Nervous system","hsa04727","GABAergic synapse","10/237","89/9423",0.112359550561798,4.4673588394254,5.27888738055696,7.46577353915213e-05,0.0052559045715631,0.0052559045715631,"GABRG2/NSF/GAD1/GABRB3/GAD2/SLC32A1/GABRA4/GNG3/GABRA1/GABRB2",10
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","7/237","44/9423",0.159090909090909,6.32537399309551,5.68696670674505,0.000100928788047488,0.0059211555654526,0.0059211555654526,"GAD1/ICA1/GAD2/HLA-C/HLA-A/HLA-B/HLA-DRB1",7
"Human Diseases","Substance dependence","hsa05032","Morphine addiction","9/237","91/9423",0.0989010989010989,3.93225761580192,4.51458626997801,0.000451022638580309,0.0226799955400384,0.0226799955400384,"GABRG2/PDE1A/GABRB3/SLC32A1/PDE10A/GABRA4/GNG3/GABRA1/GABRB2",9
"Organismal Systems","Nervous system","hsa04723","Retrograde endocannabinoid signaling","11/237","149/9423",0.0738255033557047,2.93526463342112,3.82456856265792,0.00131885322912637,0.0490769303749293,0.0490769303749293,"GABRG2/PLCB1/GABRB3/GRM5/SLC32A1/GRIA3/SLC17A6/GABRA4/GNG3/GABRA1/GABRB2",11
"Organismal Systems","Sensory system","hsa04742","Taste transduction","8/237","86/9423",0.0930232558139535,3.6985575507801,4.03793880679468,0.00139423097656049,0.0490769303749293,0.0490769303749293,"PKD2L1/PDE1A/SCN2A/PLCB1/TAS2R14/HTR3B/GABRA4/GABRA1",8
"Organismal Systems","Endocrine system","hsa04911","Insulin secretion","8/237","86/9423",0.0930232558139535,3.6985575507801,4.03793880679468,0.00139423097656049,0.0490769303749293,0.0490769303749293,"PLCB1/ATP1A3/ABCC8/ATP1B1/RAB3A/SNAP25/RIMS2/ADCYAP1",8
