SYMBOL,k,agree_frac
ADAMTS2,3,1
ALOX15B,3,1
CAPS,3,1
CCDC102A,3,1
CD37,3,1
CLDN9,3,1
DDIT4,3,1
FOXJ1,3,1
FZD9,3,1
GFAP,3,1
GYPC,3,1
ITFG1,3,1
KLF15,3,1
MAP10,3,1
NUPR1,3,1
PIK3R5,3,1
PRELP,3,1
RTN3,3,1
SNX33,3,1
ZWILCH,3,1
