SYMBOL,max_loo_p,min_loo_p
GREM1,0.9439285346238472,3.3716944305286554e-5
GYPC,5.619512200617073e-4,2.662193137456174e-11
HAP1,0.9747724835341246,2.4934881145820448e-5
HCN1,9.686862742671458e-6,6.590227410603687e-9
HMGCR,2.0396052048634548e-4,8.978400248402338e-8
HPRT1,2.3108638344691062e-9,8.989769058936966e-15
HSD3B7,3.05782237729022e-4,3.09690808214721e-5
HSPB1,2.981812193815676e-7,1.8985313033759932e-19
HSPB7,1.1197117265455831e-7,7.361040925843406e-13
HSPG2,1.5850187422399088e-4,3.7402648455495326e-10
HTR3B,1.140200772163183e-5,1.3791797775530966e-11
ICA1,6.254825182253952e-5,1.9635177328902283e-11
ID3,5.048746892361522e-6,2.243876896258536e-23
IGF1,0.003915112364985921,6.247389810658168e-7
INHA,0.993083153078228,1.9703860504099842e-7
ISYNA1,2.4545552950272446e-5,7.396217629411702e-10
ITFG1,3.1505334198119626e-10,2.1507827501051488e-16
ITGA10,0.9228890241091203,2.12834732105227e-11
ITGAX,1.8908526825995748e-8,4.6909116839703483e-14
ITGB5,1.861518333129735e-4,3.9586908955542845e-13
JMJD6,1.5017401021072834e-7,3.695939335636472e-9
KANK2,3.989928772739452e-15,9.456194318264397e-23
KCNS1,0.8714702241347668,1.757015225322607e-4
KIF1C,1.058855059830079e-4,9.063515319235147e-9
KIF5B,0.915035941458815,1.4288396683939115e-7
KLF15,5.235915692225554e-9,7.3837586814438e-13
KLHL6,6.665924090702123e-4,1.197072904586257e-5
LAMA5,8.597094835932911e-4,7.236213082624771e-5
LAMB1,0.005001085743255299,1.4965458519110788e-10
LATS2,5.732018629134059e-7,1.2782200165844089e-11
LCAT,3.982725201248551e-5,5.69617730361244e-8
LILRA2,1.2884002355830626e-4,6.651068441210764e-13
LINC01094,4.876711200660644e-5,3.36403501687375e-8
LINC01561,0.8185841283672273,4.471303317622712e-9
LINGO2,6.668489527850618e-4,4.1799433718284474e-8
LLGL2,4.4992076166003287e-4,9.593593338921252e-7
LRP4,6.452716026690137e-7,8.370678645212023e-21
LRP5,0.0018926326614507208,2.2135145773025077e-5
LRRC2,5.890595101989106e-4,2.3104504771640932e-7
LRRC37A2,0.8932366126723743,0.01325404704224373
LYRM9,3.0024723882730483e-9,1.523990335887579e-12
MAFF,7.861717787552255e-4,3.1023506746835405e-9
MAFK,9.628998803415698e-4,6.405113277421469e-8
MAP10,2.7932048836816707e-7,2.5677859329822405e-11
