SYMBOL,K,K_used,Z,P,Dir,FDR
C4B,2,2,5.289627591983758,1.225656568143309e-7,up,2.5708006601672556e-7
RANBP3,1,1,5.28931720968298,1.2277380805623614e-7,up,2.57457880532445e-7
MRPS35,1,1,-5.288183631930516,1.2353692722624997e-7,down,2.589990302208029e-7
NHLRC1,1,1,-5.287294818787229,1.24138479875157e-7,down,2.602008246892693e-7
STUB1,1,1,5.286821923719203,1.244596914013873e-7,up,2.608145950968397e-7
NKD1,2,2,5.2866807197846795,1.245557592452004e-7,up,2.609563877276296e-7
INSIG2,1,1,-5.284077812225806,1.2633954677311278e-7,down,2.646332458286792e-7
SPATA6L,1,1,-5.281271989258476,1.28290070407277e-7,down,2.6865759672479004e-7
SRSF2,1,1,5.278178766263841,1.304741477597571e-7,up,2.731690965061277e-7
SLC25A20,1,1,5.278100035066949,1.305302054265699e-7,up,2.7322419623009743e-7
CASZ1,1,1,5.2779736421236585,1.3062024762574523e-7,up,2.7335039064640576e-7
RASSF3,2,2,5.276852827120075,1.3142134841443254e-7,up,2.7496422862295415e-7
HAR1A,1,1,-5.275508629998768,1.323883806819779e-7,down,2.7692442015604074e-7
MCM4,2,2,-5.275454071512264,1.324277757543064e-7,down,2.7694376868991876e-07
GSKIP,2,2,-5.27534976272646,1.3250312561816386e-7,down,2.77038282898059e-7
CBLN4,1,1,-5.273140001347759,1.3410917868855418e-7,down,2.803324288081336e-7
ZNF385A,2,2,5.272293319564293,1.347295228609695e-7,up,2.8156508792623446e-7
STRBP,2,2,-5.27166946175604,1.3518838426804826e-7,down,2.824597876439753e-7
ERRFI1,1,1,-5.270495919615875,1.3605565075885738e-07,down,2.8420719952742675e-7
GCDH,1,1,5.26814941492027,1.3780592330661398e-7,up,2.877979125750995e-7
IGIP,1,1,-5.266544773803022,1.3901535369704942e-7,down,2.9025773963972567e-7
GRIN3A,2,2,-5.265749241845424,1.3961875276144763e-7,down,2.914513705111155e-7
SMG1P7,1,1,5.26383551845998,1.4108067860909257e-7,up,2.9443620953696806e-7
NFKBIA,2,2,5.263197747647512,1.415711637453958e-7,up,2.9539275069928485e-7
PROCA1,1,1,5.261715702556922,1.4271732601914865e-7,up,2.977166380876291e-7
LLGL2,3,3,5.2615603181470805,1.4283801345954282e-7,up,2.979007558803223e-7
CCDC188,1,1,-5.2606593784021705,1.435397233585931e-7,down,2.9929628654003513e-7
CHD1,1,1,-5.259397018493292,1.4452854190549703e-7,down,3.0128970149439555e-7
RHOBTB2,1,1,5.258667774359256,1.4510276471309778e-7,up,3.024181260025475e-7
FAM111A,1,1,-5.2552713069207915,1.4780641693941104e-7,down,3.079831146342411e-7
C5ORF34,2,2,-5.253915764032095,1.4889900217208332e-7,down,3.101893725521382e-7
MICA,2,1,5.253131358542792,1.4953480663965364e-7,up,3.1144327104930806e-7
MGA,1,1,-5.252412057942289,1.5012014719330298e-7,down,3.125610361755073e-7
ZNF573,1,1,-5.252388286907082,1.501395289694692e-7,down,3.125610361755073e-7
DNAJA4,1,1,-5.251932781627521,1.5051139423663243e-7,down,3.1326420001176765e-7
NMNAT2,2,2,-5.251146648186438,1.5115527383623928e-7,down,3.145330692488177e-7
NRG2,1,1,5.250208492877151,1.5192715315509433e-7,up,3.160676530878287e-7
PPFIBP2,2,2,5.247826704360703,1.5390396286804081e-7,up,3.2010769908731966e-7
TRABD2A,2,2,-5.247778917485335,1.5394387790282605e-7,down,3.2011824497357694e-7
DENND2C,1,1,-5.247200995948207,1.5442739286609474e-7,down,3.210510201993239e-7
C12ORF10,1,1,5.245544630203731,1.5582133288353963e-7,up,3.2387569800929383e-7
CFAP54,1,1,-5.244983854330209,1.5629601358966115e-7,down,3.2478884343999473e-7
IGSF9B,2,2,5.244639874248629,1.5658787449681692e-7,up,3.2528434479691247e-7
RPL18A,1,1,5.244619386594903,1.5660527452234066e-7,up,3.2528434479691247e-7
ARHGAP28,1,1,-5.244282221458425,1.5689189530935966e-7,down,3.258060221987087e-7
RARG,1,1,5.244143544497492,1.5700993041101642e-7,up,3.259774532623747e-7
ACRC,1,1,-5.240333445325741,1.602867005456505e-7,down,3.3270535876929307e-7
ZFP64,1,1,5.23795084045596,1.623692953886151e-7,up,3.3695204805403364e-7
RAMP2,2,2,5.237552050712045,1.6272041733826133e-7,up,3.3760444310898977e-7
CCN4,1,1,5.23711102748068,1.631095795086479e-7,up,3.3833544975072213e-7
SELT,1,1,-5.234439033084314,1.654866816007154e-7,down,3.4318874579362815e-7
CHRM1,2,2,-5.234305545478461,1.6560631131130917e-7,down,3.4335932792078476e-7
SMIM10L2B,2,2,-5.234097723005674,1.6579272532830856e-7,down,3.436682688608237e-7
IER2,1,1,5.232844703583659,1.6692097406237347e-7,up,3.459289394791395e-7
DEF6,1,1,5.231915418655032,1.6776251528448311e-7,up,3.4758259576937674e-7
KMO,1,1,-5.231880099208509,1.6779458062884355e-7,down,3.4758259576937674e-7
ACOX2,1,1,5.2316892411335685,1.6796795684904262e-7,up,3.478633046826318e-7
LHX4-AS1,1,1,5.231043897474949,1.685554734782288e-7,up,3.490013826559585e-7
ZNF585A,1,1,-5.228270565380603,1.7110299208461075e-7,down,3.541963020011985e-7
RNF175,1,1,-5.22556422263759,1.736248419304354e-7,down,3.593357564349877e-7
PLCB1,2,2,-5.2244750101541895,1.746499114686015e-7,down,3.6137584159055e-7
CYP51A1,1,1,-5.223945117309868,1.7515071252214517e-7,down,3.6233046519724113e-7
PSEN1,1,1,-5.223783317957486,1.7530390536734905e-7,down,3.6256573133944975e-7
SLC9A3R2,1,1,5.223534496434034,1.7553974426855912e-7,up,3.629717827133137e-7
RAD9A,1,1,5.223386809577349,1.7567987038256937e-7,up,3.631797860496545e-7
ADAMTS7,2,2,5.222200902686472,1.7680899279404135e-7,up,3.6543176980851695e-7
JADE3,2,2,5.220797882562065,1.7815389399087137e-7,up,3.681286154057884e-7
FAM151A,1,1,5.21964667386551,1.792647965139523e-7,up,3.703408332749448e-7
ZNF302,1,1,-5.217682809664377,1.811753760942256e-7,down,3.7420372755792506e-7
RSAD2,2,2,-5.215776935665575,1.8304835204982753e-7,down,3.7798723539711513e-7
LAPTM5,1,1,5.215093966423087,1.8372407696846292e-7,up,3.792973247436559e-7
NUDT15,1,1,-5.212805736197152,1.860056544549206e-7,down,3.839213541849822e-7
SCN9A,1,1,-5.2106959552761385,1.8813355265431712e-7,down,3.8822617884887946e-7
RNF152,3,2,5.209151466456911,1.8970620291692008e-7,up,3.913835360875241e-7
VAMP7,1,1,-5.208983052956086,1.8987845356079238e-7,down,3.916509548412662e-7
ZNF682,1,1,-5.205767149453897,1.931967816963826e-7,down,3.984060232199028e-7
ZNF761,1,1,-5.204579467389581,1.9443640769005135e-7,down,4.0080008879570126e-7
SAV1,1,1,-5.204571283483058,1.9444497613610976e-7,down,4.0080008879570126e-7
CSNK1G1,1,1,-5.204491647131015,1.945283734413923e-7,down,4.008820472871402e-7
CSNK2B,2,1,5.20282965196309,1.962767696542433e-7,up,4.043944119339613e-7
ZNF527,1,1,-5.20189267819088,1.972691382468692e-7,down,4.063478863394591e-7
C5ORF30,1,1,-5.201620032906404,1.975588122955695e-7,down,4.068533531852493e-7
MPI,1,1,5.20155697604999,1.9762586604491627e-7,up,4.069002311417853e-7
ADK,1,1,-5.201037285051729,1.9817933628239127e-7,down,4.0794836711322623e-7
WDR90,2,2,5.199990265594808,1.9929896390089497e-7,up,4.101611965406635e-7
BAALC,1,1,5.198201364234704,2.0122608204232998e-7,up,4.140344940028859e-7
RNF165,1,1,-5.197963889357609,2.01483255195607e-7,down,4.1447081627452785e-7
DCLK1,2,2,-5.195228380819639,2.0446867081584606e-7,down,4.2051794913480586e-7
SOS2,1,1,-5.19502698955281,2.0469014212107023e-7,down,4.208792156817977e-7
NPTXR,2,1,5.194734026418132,2.0501272959389276e-7,up,4.2144818679326307e-7
OGFOD3,1,1,5.193679605514021,2.0617784471145103e-7,up,4.237485143991276e-7
HELZ2,2,2,5.189982666899514,2.1031365715238214e-7,up,4.3215199468998763e-7
STAG3L5P-PVRIG2P-PILRB,2,2,5.188877491204214,2.1156551981827412e-7,up,4.346271088037756e-7
KIT,2,2,-5.187054099067666,2.1364668272499249e-7,down,4.388043984338265e-7
