acc,region,total_genes,percent_with_SE
GSE159699,lateral_temporal_lobe,1185,100
GSE203206,occipital_lobe,1588,100
GSE278723_CA1,hippocampus_CA1,4116,100
GSE278723_CA2,hippocampus_CA2,4210,100
GSE278723_CA3,hippocampus_CA3,3914,100
GSE278723_CA4,hippocampus_CA4,3415,100
GSE278723_NX,entorhinal_cortex,4249,100
GSE67333,hippocampus,587,100
GSE95587,fusiform_gyrus,1205,100
