SYMBOL,K,K_used,Z,P,Dir,FDR
GYPC,3,3,9.915479263645686,3.565411539129845e-23,up,3.2541511117638095e-19
LRRC49,2,2,-9.704516639297607,2.884401931977258e-22,down,1.3162968216578217e-18
CHML,4,4,-9.558499382747916,1.194764360327026e-21,down,3.3994089549417296e-18
NME5,2,2,-9.535627002891356,1.4898253335999692e-21,down,3.3994089549417296e-18
CERS1,3,3,9.448125695291928,3.4495195371021954e-21,up,6.2967529630263475e-18
CD37,3,3,9.426577152431337,4.2368956477881226e-21,up,6.445024429560366e-18
ZWILCH,3,3,-9.352906530822075,8.527158682063725e-21,down,1.0832307088024824e-17
GDAP1,2,2,-9.341535111741797,9.494736135005872e-21,down,1.0832307088024824e-17
GPCPD1,2,2,-9.299544328153402,1.4104886617088225e-20,down,1.430392223935158e-17
PPP1R2,2,2,-9.260293303072359,2.0387140638690964e-20,down,1.8607343260933244e-17
LRRTM4,2,2,-9.146693419149768,5.87028214966073e-20,down,4.812703509852654e-17
GCNT4,2,2,-9.138582111543586,6.327647870957801e-20,down,4.812703509852654e-17
ASAH2B,3,3,-9.082704192701755,1.0591015440545787e-19,down,7.435707532758569e-17
NDUFB5,2,2,-9.03266702609866,1.6753783743253673e-19,down,1.0922270301762591e-16
FZD9,3,3,8.927781857926254,4.346356457512908e-19,up,2.644613025848021e-16
PRELP,4,4,8.841650133535058,9.431516286937636e-19,up,5.380090571929988e-16
ADAMTS2,4,4,8.783112326433843,1.590122342955017e-18,up,8.537086249500259e-16
SUN2,2,2,8.720207281200912,2.7769295302053605e-18,up,1.1521325236786708e-15
RPS6KA6,2,2,-8.679045345723715,3.991045652735082e-18,down,1.1521325236786708e-15
RCOR3,2,2,-8.661276430321502,4.665107306536857e-18,down,1.1521325236786708e-15
TSNAX,2,2,-8.650612900940425,5.122357619972501e-18,down,1.1521325236786708e-15
TAC1,3,3,-8.645600650555053,5.352299631188288e-18,down,1.1521325236786708e-15
TCEAL7,3,3,-8.63030181689372,6.119029042623325e-18,down,1.1521325236786708e-15
TMEM54,2,2,8.619751779488102,6.709940641965682e-18,up,1.1521325236786708e-15
LYRM9,3,3,-8.61813398894927,6.805401991241113e-18,down,1.1521325236786708e-15
PPP1R1A,3,3,8.562785451605244,1.1017283770503107e-17,up,1.1521325236786708e-15
LRRC8B,2,2,-8.562061750294813,1.1086678881057743e-17,down,1.1521325236786708e-15
CLTB,2,2,8.550956438502281,1.2207269279214388e-17,up,1.1521325236786708e-15
HSPB1,4,4,8.543599508272205,1.30104383134883e-17,up,1.1521325236786708e-15
