"from","to","combined_score"
"CHML","RAB3C",0.559
"CHML","RAB3B",0.583
"CHML","OPN3",0.974
"GAD1","GFAP",0.723
"GAD1","NEUROD6",0.518
"GAD1","RGS4",0.46
"GAD1","GAD2",0.968
"GAD2","GFAP",0.656
"GAD2","RAB3C",0.416
"GAD2","NEUROD6",0.492
"GFAP","HSPB1",0.669
"GFAP","HPRT1",0.41
"GFAP","PRELP",0.412
"GFAP","NEUROD6",0.516
"RAB3B","RPH3A",0.827
"RAB3C","RPH3A",0.811
