"SYMBOL","metap","metafc","idx","k_valid","FDR"
"CHML",1.95328837448764e-26,-0.758875555985627,-19.5101089685309,4,5.85986512346291e-25
"KANK2",1.79539389480302e-22,0.824668244391663,17.9331039067031,4,2.82133326326189e-21
"PRELP",1.54268576336939e-20,0.842520825296948,16.6917888151251,4,1.95802423812269e-19
"HSPB1",1.51575825287476e-18,1.06220069003636,18.9277471721264,4,1.51575825287476e-17
"PIK3R5",3.36446824519799e-16,0.782277701295353,12.1042482442243,4,2.17700886453988e-15
"AEBP1",2.08120090494294e-16,0.955442481368977,14.9829489780963,4,1.37359259726234e-15
"GFAP",1.03258787930875e-15,0.819087177775686,12.2749002207377,4,5.87506896848085e-15
"ITFG1",1.37386594453935e-15,-0.657180300702198,-9.76705019563134,4,7.31251228545137e-15
"TCEA3",2.42855986886346e-15,0.690028434726832,10.0845248818372,4,1.14489250960706e-14
"CCDC102A",1.12368800146772e-15,1.02893157318307,15.3818625931367,4,6.18028400807249e-15
"ELOVL4",1.75586907803612e-16,-0.712914863900233,-11.2323357483204,4,1.20715999114983e-15
"KLF15",9.2943230938365e-16,0.733951229287075,11.03259504934,4,5.47701182315365e-15
"NAP1L5",6.04942209552979e-15,-0.912742880525096,-12.9776394217649,4,2.66174572203311e-14
"NEUROD6",2.149098736866e-13,-1.18963511209667,-15.0699926145866,5,7.53479424165936e-13
"HPRT1",7.89516580451849e-14,-0.766848973723925,-10.0477450747121,4,2.99471806378288e-13
"NRN1",2.16910743320497e-13,-0.834723092189767,-10.5706986300363,4,7.53479424165936e-13
"MAS1",7.28591895764014e-13,-1.50919997000715,-18.3179382757522,4,2.24705911777687e-12
"RPH3A",7.49015277292047e-14,-1.08880357710937,-14.291101503486,4,2.87412838960902e-13
"HSPB7",1.0798703711724e-11,0.839094581652373,9.20203844809831,4,2.85085777989513e-11
"NUPR1",8.12578541976154e-12,0.902307977883982,10.006716970875,4,2.18008877115553e-11
"ADAM33",9.50262067363426e-12,0.911917661810576,10.0512992807923,4,2.52892324378976e-11
"COL25A1",1.39896646254668e-11,-0.933179516117251,-10.128910288582,4,3.60671041125316e-11
"RAB3C",3.04408199556622e-15,-0.957313383068914,-13.8968815154599,4,1.41485501202374e-14
"SERPINI1",4.9836608035842e-11,-0.811070986139306,-8.35601951735514,4,1.13421245874675e-10
"STAT4",1.43878014420523e-10,-0.985642565303681,-9.70069961209606,4,3.10325129142304e-10
"SCG2",1.41625394330737e-10,-0.831859309588403,-8.19286493809413,4,3.07476185060152e-10
"TMPRSS5",1.85344890479489e-10,0.814747800580678,7.92914138664551,4,3.89578432218034e-10
"RGS4",1.11991035533857e-09,-1.1401968139639,-10.2056927288639,4,1.9658000918177e-09
"PRX",6.16602553135143e-10,0.910459337542984,8.38532565635132,4,1.15612978712839e-09
"RAB3B",1.0455100842382e-09,-0.787176034285302,-7.06936959222327,4,1.84501779571448e-09
"NCALD",2.28179609860874e-09,-0.775675760382436,-6.70317518838823,4,3.86150108995326e-09
"OPN3",3.34579707170041e-09,-0.69525730648169,-5.89265358146614,4,5.38591723737139e-09
"CLDN9",2.69330462338387e-11,0.921329692841073,9.73819183525299,4,6.58363352382725e-11
"TRIM36",7.49567005953094e-08,-0.663488740952765,-4.72748303578068,4,9.70027890056945e-08
"GAD2",6.44692403090512e-08,-0.962337507161152,-6.91982973939282,4,8.40812416299638e-08
"MRGPRF",3.46841510641916e-13,0.988190051293453,12.3127185179435,4,1.15613836880639e-12
"GAD1",1.32790801442334e-07,-0.791530403446112,-5.44322161369088,4,1.66619636790762e-07
