SYMBOL,k,meta_logFC,meta_se,meta_z,meta_p,ci_lb,ci_ub,tau2,I2,meta_FDR,stouffer_Z,stouffer_P,stouffer_FDR,stouffer_Dir,mv_P,mv_FDR,max_loo_p,min_loo_p,k_studies,direction,ci_95,pass_k,pass_k4,pass_dl,pass_stou,pass_mv,pass_i2,pass_loo,consensus
GPR108,3,0.412942433644793,0.1289778370192459,3.2016542003505166,0.00136640919960981,0.16015051828319415,0.6657343490063918,0.04006294780895946,82.53285355731228,0.00282230857919407,8.012083543195754,1.127812089629418e-15,9.294912216486002e-15,up,1.1342265315338675e-17,5.086676478576198e-17,0.01219999662567354,1.9042369957153784e-5,3,up,"[0.160, 0.666]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
CFAP69,3,-0.683790545969282,0.21359793451274425,-3.201297557156312,0.00136810172312799,-1.1024348047864057,-0.2651462871521584,0.11079660925916354,85.0272267933659,0.00282381587187502,-8.358059694378294,6.375818445520146e-17,2.0390703913993226e-15,down,8.607306165723963e-18,3.907930183292319e-17,0.02158465589079291,1.4746936082076643e-16,3,down,"[-1.102, -0.265]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
ACACB,3,0.5485066534451033,0.17172004918960315,3.1941911036810535,0.00140223259297961,0.21194154161003464,0.885071765280172,0.06565339075051171,76.12095129214363,0.0028881658674222,6.546575775971169,5.887128458850009e-11,2.3088026674760612e-10,up,1.2783049121096168e-10,2.4267108784579333e-10,0.03173264541339934,8.613444281605696e-11,3,up,"[0.212, 0.885]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
AQP6,3,0.4160750336789361,0.13049808515080044,3.18836121770009,0.00143081674984313,0.16030348673192607,0.6718465806259462,0.0086185263882792,12.796598283601153,0.00294497229985257,3.8151098096123337,1.3612238835358255e-4,2.193630014052721e-4,up,0.00146129146989281,0.00146578928905458,0.02380834136441701,0.0019603827885672,3,up,"[0.160, 0.672]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
SLC43A1,3,0.4313146414036739,0.135312111902976,3.1875538363701184,0.00143481744599384,0.1661077754017874,0.6965215074055604,0.04043068026623077,78.22409624991657,0.00295113574270682,6.968919234512387,3.193849778264712e-12,1.458668547241419e-11,up,1.9491856595983587e-12,4.614173962552046e-12,0.03796209000746358,2.4454358059453e-12,3,up,"[0.166, 0.697]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
FBL,3,0.40656938541764737,0.12762570212750615,3.1856387752637696,0.00144434813342594,0.15642760574609835,0.6567111650891964,0.0379783991161847,81.98954190388335,0.00296657778385033,7.787040430152859,6.8597006995000914e-15,4.913335461980015e-14,up,3.252476958109641e-16,1.2502640783926052e-15,0.01662262257751227,5.304847766859092e-15,3,up,"[0.156, 0.657]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
SLC25A17,3,-0.3463739471332968,0.1089297190591576,-3.1797928988065034,0.0014738034201793,-0.559872273335312,-0.1328756209312816,0.02278844611478647,64.26731249748492,0.00302495831447579,-5.97751332368771,2.2656940254880352e-9,7.263356689850931e-9,down,2.1456446654919625e-8,3.126267165369064e-8,0.03333812392421777,4.273632145235592e-6,3,down,"[-0.560, -0.133]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
NDUFAF5,3,-0.48367482832089337,0.15223824409230757,-3.1770914805587473,0.00148760104178082,-0.7820563038114338,-0.18529335283035295,0.0540453397390668,78.75065793238791,0.00305114255632387,-6.997373726946713,2.6080493220802297e-12,1.207103386144168e-11,down,6.869315190710722e-12,1.5103224478526645e-11,0.03372039273751106,8.946459142331147e-7,3,down,"[-0.782, -0.185]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
HDAC5,4,0.34083874887213056,0.10732035640306122,3.1759002699548287,0.00149372293590007,0.13049471551412803,0.5511827822301331,0.03675013064750276,82.05707749906885,0.00305941995181209,7.753624544242923,8.930611753031132e-15,6.272749056982633e-14,up,1.3285490106208572e-18,6.8845128059204485e-18,0.00956324254763104,3.324753218650716e-5,4,up,"[0.130, 0.551]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DHX35,4,-0.3216898051836292,0.10141183690970072,-3.1721129898284826,0.00151334114994956,-0.5204533531326924,-0.1229262572345661,0.0284159529937546,73.87167580509312,0.00309527865606839,-6.1053186839755345,1.0259576492063226e-9,3.435206704761475e-9,down,2.4938927654467083e-8,3.601470940942981e-8,0.02029015074245951,3.6107285544340003e-9,4,down,"[-0.520, -0.123]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DHRS3,3,0.4059831472096958,0.12803265711830422,3.1709343252523525,0.00151949492287784,0.1550437504128538,0.6569225440065378,0.03288889038609656,69.96127129242069,0.0031056993789552,6.104128941139858,1.0336281920577467e-9,3.457178120711378e-9,up,1.753255019912014e-10,3.2774359295104755e-10,0.02396642584129481,4.4421194162091894e-11,3,up,"[0.155, 0.657]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
MRAS,3,0.527628620637681,0.16655599041319982,3.1678753752940105,0.00153557330439241,0.2011848780184109,0.8540723632569511,0.04539864058074056,53.03113950214403,0.00313637639399927,5.37435940032143,7.685542608201315e-8,2.0060071829908627e-7,up,1.1555672178517454e-6,1.3924727403283358e-6,0.03698231155337845,6.320917582769298e-5,3,up,"[0.201, 0.854]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
NUDT21,3,-0.4757997783304093,0.1506141570107765,-3.159064113052571,0.00158276667158199,-0.7709981016333921,-0.18060145502742653,0.05718271486819516,86.71072673098284,0.00322602824722028,-8.627551478259354,6.26793277014647e-18,4.635705903935145e-16,down,2.6340279682978067e-21,2.0014518215071162e-20,0.02214764589060128,9.148659264297827e-10,3,down,"[-0.771, -0.181]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
