SYMBOL,k,meta_logFC,meta_se,meta_z,meta_p,ci_lb,ci_ub,tau2,I2,meta_FDR,stouffer_Z,stouffer_P,stouffer_FDR,stouffer_Dir,mv_P,mv_FDR,max_loo_p,min_loo_p,k_studies,direction,ci_95,pass_k,pass_k4,pass_dl,pass_stou,pass_mv,pass_i2,pass_loo,consensus
HYI,4,0.3453820336203357,0.11712625443169015,2.948801148778883,0.00319009164432769,0.1158187932901481,0.5749452739505233,0.03409461917448631,66.91060603094316,0.01806354797170994,5.385166394298764,7.237766002743402e-8,4.241681092091637e-7,up,4.1253138856439556e-8,1.0977678911079845e-7,0.02149306228009068,8.660461023903621e-4,4,up,"[0.116, 0.575]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
VANGL2,5,0.372695391562935,0.1266755827183937,2.942124942827032,0.00325968379332003,0.12441581171425894,0.6209749714116111,0.05355503458776693,77.06804199502938,0.01840207349436896,7.671387413946434,1.7014578653207378e-14,9.069311227837997e-13,up,5.146311082200089e-15,3.1263162952207824e-14,0.03583510813143757,5.358627224317819e-4,5,up,"[0.124, 0.621]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
RBM11,5,-0.4279755509401633,0.14563022348604523,-2.938782490992835,0.0032950422671103,-0.7134055440333311,-0.14254555784699555,0.06749950376127076,68.77562869364935,0.01858072106370877,-5.308727688296394,1.1039311965934509e-7,6.102130835936567e-7,down,1.772777969871592e-7,4.341137048245101e-7,0.03755461513249389,0.00211872198092152,5,down,"[-0.713, -0.143]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
CCDC148,4,-0.3383034809784781,0.1152508170770274,-2.935367310692248,0.00333153063180576,-0.5641909316382656,-0.1124160303186906,0.03350721936480718,67.04267404301855,0.01874896888327963,-5.863485145929253,4.532514126651766e-9,3.849370489876711e-8,down,2.6344331075904136e-12,1.1600315452637047e-11,0.01764920771509551,2.2969979057815455e-4,4,down,"[-0.564, -0.112]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
TTC23L,4,-0.3933843446516287,0.1340247064087085,-2.9351628904300875,0.00333372632112677,-0.656067942251252,-0.13070074705200552,0.01549911536977722,20.91822727248051,0.01874896888327963,-3.441522111798625,5.784511919818571e-4,0.00134228998790808,down,0.00457113427104114,0.00622774519355587,0.02401850356575476,0.01077765310262139,4,down,"[-0.656, -0.131]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NPIPB3,5,0.44663809882110367,0.15239779920050298,2.9307385091137825,0.00338157295062115,0.1479439010649508,0.7453322965772565,0.07709298175165354,72.54521320109816,0.01896890566583488,5.307773780582325,1.1097224807222573e-7,6.126062213728491e-7,up,3.598742234811306e-6,7.4340518200142274e-6,0.01827238861903561,1.2826211769230826e-7,5,up,"[0.148, 0.745]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
CEBPB,5,0.4191618830173848,0.1430603296495299,2.929965868555247,0.00338999236947203,0.13876878928787856,0.6995549767468909,0.06793863798008631,74.80558140099708,0.01899483966336119,6.569435224728508,5.050645972082349e-11,8.210971874524032e-10,up,1.1808579937500976e-15,7.663579483001606e-15,0.03157642626531132,3.625320584045836e-4,5,up,"[0.139, 0.700]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
MPHOSPH6,5,-0.40834721162866783,0.1393863064843921,-2.929607806735254,0.00339390061626886,-0.6815393522761382,-0.13515507098119756,0.07476853066435613,84.3703685590499,0.01900964259358656,-7.61382487701181,2.6610129004609783e-14,1.3248376376102128e-12,down,1.3425246350080617e-19,1.3346117414639744e-18,0.01418158171950521,3.0430252205854276e-6,5,down,"[-0.682, -0.135]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
SYT4,5,-0.634661064974056,0.2167218116260388,-2.9284595777982254,0.00340646122791753,-1.059428010425366,-0.20989411952274611,0.16067955262966505,71.71906157353186,0.01907287933318544,-5.345663252480269,9.008655900363325e-8,5.117188829698302e-7,down,3.231571158688474e-7,7.646455653069464e-7,0.02892946603411145,1.3574214139491324e-9,5,down,"[-1.059, -0.210]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
FBXW4,5,0.3623929624990452,0.12391235964469038,2.9245909248938564,0.0034490930077216,0.1195292003560777,0.6052567246420127,0.05376725430752843,71.43896882656256,0.01929718044685391,6.846571385494392,7.564090923458563e-12,1.6214822637396275e-10,up,2.1963455384292975e-10,7.724775744461618e-10,0.04588783380348647,8.610983732098943e-13,5,up,"[0.120, 0.605]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
LTBP2,5,0.4408620056437361,0.15084039306603655,2.9227052295649396,0.00347004853896122,0.14522026782043923,0.736503743467033,0.07028525626985309,72.57736443176813,0.01938552237378001,6.575882900950861,4.836530816757062e-11,7.916006631840895e-10,up,7.799165313639654e-10,2.575869538460833e-9,0.03282779018859327,5.518601391056539e-6,5,up,"[0.145, 0.737]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
NCALD,5,-0.4978246429361609,0.17103933046904168,-2.9105857791361487,0.00360751926653464,-0.8330555705953269,-0.16259371527699495,0.0981668464640761,70.647619615325155,0.02006390207852965,-5.328454582652288,9.905195860165381e-8,5.556952520521499e-7,down,2.17066366744116e-7,5.247838993712233e-7,0.0219249113603722,3.988424521954789e-4,5,down,"[-0.833, -0.163]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
ZNF319,4,0.33720525511922067,0.11596621060661548,2.9077888581105737,0.00363994006387223,0.10991565890666756,0.5644948513317738,0.04035251607907601,81.55107120274262,0.02022173956283718,7.035565162310861,1.9845494352041975e-12,5.12013754282683e-11,up,1.188915132470472e-14,6.938882213652512e-14,0.03588073343527098,8.205123260588807e-6,4,up,"[0.110, 0.564]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
ACSL6,5,-0.3032874754995739,0.10445971089327552,-2.9033918714310523,0.0036914441784147,-0.5080247466858603,-0.09855020431328754,0.03365061203464382,66.30928969215985,0.02045487949877563,-4.900549618750888,9.55689163098826e-7,4.0804895113038586e-6,down,9.951312750271453e-6,1.9381281260215072e-5,0.01951453528415279,2.4514863808262704e-6,5,down,"[-0.508, -0.099]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
FBXL2,5,-0.3450338650145364,0.1190046931257781,-2.899329899954989,0.00373961194105911,-0.5782787775323028,-0.11178895249677,0.04476989088252898,67.71257434659346,0.02067599073563105,-5.156026996798746,2.522445445019725e-7,1.2512362490756543e-6,down,3.6432178354093364e-7,8.5691543289454e-7,0.03152865422286021,6.683457857204743e-4,5,down,"[-0.578, -0.112]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
PAX6,5,0.40140066123605234,0.1385413955857322,2.897333750241151,0.00376349147216265,0.1298645155201008,0.6729368069520039,0.06122163108081649,74.82713860419395,0.02077740731468685,6.22223600309587,4.901190374280007e-10,5.778845394790614e-9,up,8.281766934942562e-13,3.842893460909514e-12,0.02624253232936592,1.4196412140751185e-15,5,up,"[0.130, 0.673]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DGKE,5,-0.3259508773835027,0.11255192852846772,-2.8960043745590736,0.00377947131430872,-0.5465486036898257,-0.10535315107717974,0.04527960330190948,74.7774049515818,0.02085029176739739,-6.099127815949819,1.0664876866086742e-9,1.1270236575741984e-8,down,1.692598115494985e-11,6.789842413601074e-11,0.02613292366508336,9.563108762651416e-5,5,down,"[-0.547, -0.105]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
CLCN7,5,0.31008606363355135,0.10714692486289244,2.894026721068703,0.00380335793871931,0.1000819498480629,0.5200901774190398,0.04153533917796819,77.31684165501134,0.02096665663537115,6.618671038274982,3.6244238957053894e-11,6.182790715983816e-10,up,1.6298460241513385e-19,1.5990600436951462e-18,0.01813672849284256,4.902816477069514e-4,5,up,"[0.100, 0.520]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
MLLT11,5,-0.46452191752356264,0.16071757813596407,-2.89029938673283,0.00384875094049501,-0.7795225823525542,-0.14952125269457106,0.0770735718989107,61.55958300244151,0.02119354378861725,-5.726390892194553,1.025896894986176e-8,7.773923603612659e-8,down,4.059900423976518e-7,9.492704869830452e-7,0.04363509591073562,3.873535699472764e-9,5,down,"[-0.780, -0.150]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
RASGRP4,5,0.5722833435724216,0.1980655087411597,2.8893639645270373,0.00386021989002711,0.18408207986014544,0.9604846072846978,0.14565152605413942,80.8173071218486,0.02124111465146516,6.516568329534687,7.193404975675949e-11,1.1145943274677423e-9,up,3.2668626618113146e-11,1.2635628811247009e-10,0.02395812720186665,2.246673098449136e-5,5,up,"[0.184, 0.960]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
FAM89A,4,0.3111470113878617,0.10778819182556457,2.8866521101995675,0.00389364487315791,0.09988603745106052,0.5224079853246629,0.01963088781659878,44.43187824347197,0.02138143560864973,4.295718631765091,1.7412832704013323e-5,5.6090006764213125e-5,up,3.931520048961502e-4,6.195260072954135e-4,0.04710791960185754,0.00100468642967959,4,up,"[0.100, 0.522]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
TSPYL5,5,-0.3133176127485475,0.10862147499559116,-2.8844905002557253,0.0039204758685146,-0.5262117916875242,-0.10042343380957083,0.0400847005422876,70.89962639712314,0.02149208966635917,-5.3306681622309275,9.785207624844305e-8,5.50522094010918e-7,down,9.73440339824168e-8,2.473728278500184e-7,0.04093561304283083,3.881824917124691e-10,5,down,"[-0.526, -0.100]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DDX25,5,-0.3525739217340905,0.12224919856525666,-2.8840591666201103,0.00392584985466958,-0.5921779480608792,-0.11296989540730185,0.04403016756684921,64.5093310345424,0.02150763947753469,-5.722458342817182,1.0499359349436112e-8,7.93402194721167e-8,down,2.083667971575901e-7,5.049715841350637e-7,0.04114409735839623,7.042341750414994e-4,5,down,"[-0.592, -0.113]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
SLC17A9,4,0.4691222344596605,0.1627077030257627,2.8832208047665744,0.00393631414867799,0.15022099652192672,0.7880234723973942,0.06516171291304267,65.22337305618754,0.02155710021371956,4.907149962351008,9.24093768638536e-7,3.96266094612288e-6,up,4.2644482640429e-6,8.718827688851534e-6,0.04210709145244217,2.415222439440823e-7,4,up,"[0.150, 0.788]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
HPSE2,4,0.4729695845845993,0.1640502557000365,2.8830773994611585,0.00393810664493601,0.15143699175794106,0.7945021774112575,0.04108960387235023,40.003187812149555,0.02155905136656982,4.138778266241973,3.491602003219183e-5,1.0544454255739218e-4,up,8.565512578176765e-4,0.00128912080720885,0.02508654409212423,0.00302168869121151,4,up,"[0.151, 0.795]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
TRIP10,5,0.713193804306822,0.2474259183712843,2.882453903784696,0.00394590865729741,0.2282479154573575,1.1981396931562864,0.23763042031112827,86.95976681289444,0.02158601853305081,7.322863875068087,2.4273399895006173e-13,8.646803776324014e-12,up,1.4317662745888197e-14,8.265261803576367e-14,0.03600813826155556,3.094904377267684e-17,5,up,"[0.228, 1.198]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DPM1,5,-0.3288890371059209,0.11413313038048958,-2.8816263604572314,0.00395628566602432,-0.5525858620944947,-0.10519221211734706,0.04047471495581565,73.30248398309062,0.02161914966606885,-6.032484919900223,1.6145741465045943e-9,1.616130898436486e-8,down,1.3983074551796464e-11,5.66531530626226e-11,0.03147552884599271,5.03975345566059e-6,5,down,"[-0.553, -0.105]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
ARRDC2,5,0.496667320487992,0.1724200445061268,2.8805660148773673,0.00396961812412432,0.15873024304319028,0.8346043979327937,0.09505078974375326,71.2162641299756,0.02166834096772008,5.551888755729029,2.825994207560672e-8,1.8590675835555282e-7,up,5.529658593989858e-9,1.6498848172208663e-8,0.02721550602992752,3.3839659130056856e-5,5,up,"[0.159, 0.835]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
IRAK1,5,0.40914327151693297,0.1421806643682591,2.8776294817220696,0.00400675440117327,0.13047429005716782,0.6878122529766981,0.08221788825555745,84.70276532366455,0.02181552060791153,7.521637651311873,5.409433305422367e-14,2.40185449066218e-12,up,8.646200965530197e-20,8.817127900378655e-19,0.02414829203851455,2.7098090476408037e-4,5,up,"[0.130, 0.688]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
GGT1,5,0.33644529270740947,0.11695393980557002,2.87673329574645,0.00401815049297928,0.10721978283842684,0.5656708025763921,0.04023791479889898,65.45962528758108,0.0218696363488441,6.161462433773033,7.20761708115359e-10,7.997780488605727e-9,up,2.855383688272283e-9,8.826640145110223e-9,0.02691137067490853,1.6612482345994468e-5,5,up,"[0.107, 0.566]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
