Specification,Gene,Datasets contributing (k),Pooled log2FC,SE,95% CI,Z,Pooled P (raw),Pooled P (FDR),Direction,Direction matches primary,I2 (%),Max raw LOO P
Primary analysis,CLDN9,4,0.8947674507140793,0.14323851312202351,"[0.614, 1.176]",6.246696026171644,4.192257942883618e-10,9.599663115588575e-10,up,TRUE,20.873847318440315,2.2189135268875725e-5
Primary analysis,MRGPRF,3,1.0697407089422342,0.172998755119848,"[0.731, 1.409]",6.183516801616012,6.26890580279167e-10,1.3852966669106066e-9,up,TRUE,27.22727415914811,0.00112726399115941
Primary analysis,GAD2,4,-0.9495209095328488,0.15836388029470214,"[-1.260, -0.639]",-5.995817403348974,2.0246441953036815e-9,4.049288390607363e-9,down,TRUE,0,4.3007817154762947e-5
Primary analysis,GAD1,4,-0.7980049119142455,0.13380470017455395,"[-1.060, -0.536]",-5.963952767527703,2.4620793557226663e-9,4.862606727552266e-9,down,TRUE,0,9.97021131331356e-6
Primary analysis,RAB3B,4,-0.7577744509557559,0.129875844068046,"[-1.012, -0.503]",-5.834606553615423,5.391764302039812e-9,1.0022338349674005e-8,down,TRUE,0,3.123010539618326e-6
Primary analysis,TRIM36,3,-0.6562236840348249,0.1143528079864708,"[-0.880, -0.432]",-5.7385882829607775,9.546899387981336e-9,1.7044181958203972e-8,down,TRUE,0,1.0737560355064964e-4
Sensitivity analysis 1 (no screening),HSPB1,5,0.9478849603339072,0.09880446866403986,"[0.754, 1.142]",9.59354342116808,8.511071339100556e-22,1.5969961483904804e-18,up,TRUE,0,2.2221552609662458e-7
Sensitivity analysis 1 (no screening),PRELP,5,0.7460875849938005,0.08008659030258079,"[0.589, 0.903]",9.316011359391808,1.2079615163991451e-20,1.648428211151597e-17,up,TRUE,0,4.774871668190365e-12
Sensitivity analysis 1 (no screening),ITFG1,5,-0.563235729103531,0.06856630425810285,"[-0.698, -0.429]",-8.214468246434187,2.1310647725547996e-16,8.645787378600027e-14,down,TRUE,0,4.2088222923599474e-11
Sensitivity analysis 1 (no screening),CCDC102A,4,0.8208748369547133,0.10074993544700196,"[0.623, 1.018]",8.147646281982212,3.7107587952156997e-16,1.3585902506093384e-13,up,TRUE,0,4.3164732291149803e-7
Sensitivity analysis 1 (no screening),PIK3R5,5,0.7263014374178897,0.08931757450451969,"[0.551, 0.901]",8.131674437499834,4.234006875425598e-16,1.513254219214611e-13,up,TRUE,0,5.860610145503283e-9
Sensitivity analysis 1 (no screening),AEBP1,5,0.759721958988391,0.0934834750832107,"[0.576, 0.943]",8.126804853073272,4.4075410297726796e-16,1.538641823207388e-13,up,TRUE,0,5.452439520120745e-9
Sensitivity analysis 1 (no screening),GFAP,5,0.7256885168137877,0.08967680874343745,"[0.550, 0.901]",8.092265179618064,5.856523302983782e-16,1.9111363326323817e-13,up,TRUE,0,2.184813107051477e-9
Sensitivity analysis 1 (no screening),RAB3C,5,-0.8108538229301117,0.1007638084078699,"[-1.008, -0.613]",-8.047074001490222,8.479691316740732e-16,2.651846799074899e-13,down,TRUE,0,1.7414600168920048e-10
Sensitivity analysis 1 (no screening),ELOVL4,5,-0.6768845141303987,0.08467916076713063,"[-0.843, -0.511]",-7.993519397196727,1.3114023730015336e-15,3.785665580985773e-13,down,TRUE,0,4.3992903273774094e-9
Sensitivity analysis 1 (no screening),NUPR1,5,0.6561745727069911,0.08411983903462993,"[0.491, 0.821]",7.800473470198407,6.1675333040410564e-15,1.2682307181775385e-12,up,TRUE,0,1.2441331315051408e-8
Sensitivity analysis 1 (no screening),SCG2,5,-0.7422819602690732,0.09828881637753496,"[-0.935, -0.550]",-7.552049028832648,4.284631200355226e-14,7.067758126212339e-12,down,TRUE,0,1.4550953184983447e-10
Sensitivity analysis 1 (no screening),HSPB7,4,0.8037165950358872,0.11211588251799598,"[0.584, 1.023]",7.168623900426247,7.575535493037888e-13,8.815221960154399e-11,up,TRUE,0,2.2055769003995744e-5
Sensitivity analysis 1 (no screening),KANK2,5,0.6954305934719907,0.10146105220918848,"[0.497, 0.894]",6.85416303428609,7.1731238306768305e-12,6.188262173694821e-10,up,TRUE,41.91443365058019,3.397218396559041e-7
Sensitivity analysis 1 (no screening),TMPRSS5,5,0.7025058836481183,0.10484457752365849,"[0.497, 0.908]",6.700450326003707,2.0777822325349148e-11,1.517839195810223e-9,up,TRUE,0,2.653870545308999e-6
Sensitivity analysis 1 (no screening),RAB3B,5,-0.6965456546429251,0.10695679767862304,"[-0.906, -0.487]",-6.512401920781707,7.395850507888416e-11,4.440764478956521e-9,down,TRUE,0,2.020977861790777e-6
Sensitivity analysis 1 (no screening),CLDN9,4,0.86289568145222,0.1328887654289058,"[0.602, 1.123]",6.493368184038558,8.393821132745952e-11,4.941162706809784e-9,up,TRUE,17.85273464454088,2.2189135268875725e-5
Sensitivity analysis 1 (no screening),TRIM36,5,-0.5472727350785718,0.08583595684271336,"[-0.716, -0.379]",-6.375798152764809,1.820125175425117e-10,9.453944293531638e-9,down,TRUE,0,1.147094113035656e-6
Sensitivity analysis 1 (no screening),PRX,5,0.6748811389141656,0.107167960781987,"[0.465, 0.885]",6.297415141518685,3.0264994403921726e-10,1.4895338721221936e-8,up,TRUE,16.799253313788213,2.021454087365627e-5
Sensitivity analysis 1 (no screening),HPRT1,5,-0.6278142577936364,0.10119756166570996,"[-0.826, -0.429]",-6.203847676365177,5.509911883957284e-10,2.5370947021497788e-8,down,TRUE,26.02374546824534,1.5391358131234756e-5
Sensitivity analysis 1 (no screening),KLF15,5,0.6282191186229603,0.10258958906088976,"[0.427, 0.829]",6.123614729074456,9.147593257587803e-10,3.9540027677455655e-8,up,TRUE,37.4775638250279,1.8028774776207015e-4
Sensitivity analysis 1 (no screening),GAD2,5,-0.765595090085222,0.13169222473535097,"[-1.024, -0.507]",-5.813517780747981,6.117347080466102e-9,2.0315817925857665e-7,down,TRUE,3.2495184488193942,2.5426395060330688e-5
