SYMBOL,k,meta_logFC,meta_se,meta_z,meta_p,ci_lb,ci_ub,tau2,I2,meta_FDR,stouffer_Z,stouffer_P,stouffer_FDR,stouffer_Dir,mv_P,mv_FDR,max_loo_p,min_loo_p,k_studies,direction,ci_95,pass_k,pass_k4,pass_dl,pass_stou,pass_mv,pass_i2,pass_loo,consensus
UBLCP1,3,-0.7739237562999706,0.08632805897732361,-8.964915526518006,3.1051878584179936e-19,-0.9431236427507744,-0.6047238698491666,0,0,6.5415957550672404e-18,-8.343953309005876,7.184736690621295e-17,1.1521325236786708e-15,down,1.844441226551415e-17,1.8013273126182368e-16,2.988252924446927e-7,1.6921770764428343e-17,3,down,"[-0.943, -0.605]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
SIPA1,3,0.689208416559861,0.07709336107143662,8.939919170487629,3.894551301800553e-19,0.538108205412703,0.840308627707019,0,0,7.691738821056091e-18,8.355769469479238,6.500755447945697e-17,1.1521325236786708e-15,up,1.5250228855157935e-17,1.6063574394099694e-16,1.794315031469337e-7,1.3914354910881902e-17,3,up,"[0.538, 0.840]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TAC1,3,-1.5215625050377033,0.1728211727471451,-8.804259807123886,1.3171895297972787e-18,-1.8602857793880827,-1.182839230687324,0,0,2.4484228906820006e-17,-8.645600650555053,5.352299631188287e-18,1.1521325236786708e-15,down,5.046598757529991e-17,4.42979224272077e-16,1.9352289538601184e-10,1.1074995841363813e-15,3,down,"[-1.860, -1.183]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
LYRM9,3,-0.935946399191687,0.10649503640363356,-8.78863870842109,1.5138304773756383e-18,-1.1446728350750908,-0.7272199633082832,0,0,2.6576135047261207e-17,-8.61813398894927,6.805401991241112e-18,1.1521325236786708e-15,down,2.8426928058905467e-17,2.64203213723945e-16,3.0024723882730483e-9,1.523990335887579e-12,3,down,"[-1.145, -0.727]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
KANK2,3,0.8449067717408068,0.09650162192372788,8.755363432218756,2.03446839481155e-18,0.6557670683205993,1.034046475161014,0,0,3.38364217242342e-17,8.384695483201035,5.085723898049002e-17,1.1521325236786708e-15,up,9.036667017114134e-17,7.514702045810701e-16,6.543366166329028e-9,1.5757372701151034e-16,3,up,"[0.656, 1.034]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EMP3,3,0.7692022281485058,0.08886792870206323,8.65556606734154,4.904712884847842e-18,0.5950242885117886,0.943380167785223,0,0,7.74944635805959e-17,7.455608407976237,8.945406645597999e-14,3.580909055016357e-13,up,3.5081465190079435e-16,2.519487045469341e-15,3.756682741855234e-4,5.029215724026642e-17,3,up,"[0.595, 0.943]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PCYOX1L,3,-0.9058120008720608,0.10480436640642037,-8.642884184418582,5.4811473616792006e-18,-1.111224784451184,-0.7003992172929373,0,0,7.948860887312662e-17,-8.433661159679087,3.350157952613168e-17,1.1521325236786708e-15,down,2.0002625175508651e-16,1.5416657452343253e-15,2.42594070993987e-10,1.0270822281816633e-15,3,down,"[-1.111, -0.700]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
GAREM2,3,1.0380994804107548,0.12012554711725332,8.64178774060006,5.5340170734455235e-18,0.802657734437769,1.273541226383741,0,0,7.948860887312662e-17,8.134173214952524,4.1475916660245296e-16,2.1042284122182258e-15,up,2.6691152022328166e-16,1.9614893114083025e-15,4.694148348263875e-7,5.203582078197135e-16,3,up,"[0.803, 1.274]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
MDGA1,3,0.8828680797964548,0.1025038976235264,8.613019604766926,7.116091905835738e-18,0.6819641321793621,1.0837720274135474,0,0,9.776891488017795e-17,8.28800953708449,1.1515934754092428e-16,1.1521325236786708e-15,up,2.290689716055178e-16,1.7234713101748482e-15,1.4722402380870389e-7,3.7279066431080616e-15,3,up,"[0.682, 1.084]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ADCYAP1,3,-1.3447877810498436,0.1575602977428133,-8.53506752852771,1.4007359195030228e-17,-1.6536002900191653,-1.035975272080522,0,0,1.844302294012313e-16,-7.743800090873921,9.648867506552459e-15,4.308474253048155e-14,down,4.912937441914582e-16,3.449973848100017e-15,4.357171678984537e-5,2.9346919149061955e-16,3,down,"[-1.654, -1.036]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
WFIKKN1,3,1.0013886654084403,0.11743576269818486,8.52711850632804,1.5003814399033745e-17,0.7712188000230057,1.2315585307938748,0,0,1.855741781232461e-16,7.7576161916745505,8.654058140174447e-15,3.8794493440752545e-14,up,5.534823544396704e-16,3.802183130498604e-15,2.017100633573344e-5,8.463115423762952e-17,3,up,"[0.771, 1.232]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PPP1R1A,3,0.7757539125577996,0.09099653794457715,8.525092603306343,1.5268761491153162e-17,0.5974039754685959,0.9541038496470032,0.00197176553003129,7.092266295400769,1.855741781232461e-16,8.562785451605244,1.1017283770503107e-17,1.1521325236786708e-15,up,3.933841686955521e-18,5.179558221158104e-17,3.282501984867061e-7,1.1453010078315092e-16,3,up,"[0.597, 0.954]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PRKX,3,0.9267227890778972,0.1096767271423214,8.449584640461968,2.923409979051195e-17,0.7117603539367207,1.1416852242190738,0,0,3.421472419926584e-16,8.124465752650707,4.493371737602184e-16,2.272077775573138e-15,up,1.0017773227651e-15,6.7353539147610976e-15,3.590452038234558e-10,1.1187130277003672e-15,3,up,"[0.712, 1.142]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TRIP10,3,0.9432342143910408,0.11211597373759873,8.413022542163608,3.995781380058255e-17,0.7234909437737089,1.162977485008373,0,0,4.509524700351459e-16,8.159207713877606,3.372292809779728e-16,1.7252755871558059e-15,up,1.094402678259864e-15,7.057780537349327e-15,7.21233336577334e-10,2.163643381648565e-15,3,up,"[0.723, 1.163]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AEBP1,4,0.8602947395046119,0.10331161229191638,8.327183367091113,8.27884601269365e-17,0.6578077002276903,1.0627817787815337,0,0,9.021087379348945e-16,8.048573897261223,8.376432711485583e-16,4.124144226748056e-15,up,8.874196110721815e-15,4.8349068465311966e-14,3.0756840860677184e-10,2.147191731457846e-15,4,up,"[0.658, 1.063]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
DDIT4,3,0.6868025775487204,0.08304945976597898,8.269801868477265,1.3418181629377506e-16,0.5240286274718934,0.8495765276255475,0,0,1.4133817982944306e-15,8.050070354313002,8.274645640300534e-16,4.082307608595836e-15,up,4.819422696379554e-15,2.873467117086677e-14,2.6839361691331952e-8,3.5375434674639127e-14,3,up,"[0.524, 0.850]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
SLC6A12,3,0.9690086475154608,0.11735507048343924,8.257066725141662,1.4929597333243567e-16,0.7389969359647602,1.1990203590661612,0,0,1.5218557281628929e-15,7.872489945566579,3.4765162026993178e-15,1.6139452381503902e-14,up,5.367140670078431e-15,3.140771206934785e-14,5.540803399531299e-7,1.5930436802153857e-14,3,up,"[0.739, 1.199]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ZNF449,3,-0.7007896488513965,0.08493913949491426,-8.25049150507766,1.5774439099018311e-16,-0.8672673031392522,-0.5343119945635408,0,0,1.5577258610280584e-15,-7.906430733077585,2.6487357059366383e-15,1.2435705137903136e-14,down,6.198962618955498e-15,3.4979860492677455e-14,3.650880708660057e-7,3.6277892274566325e-14,3,down,"[-0.867, -0.534]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TCEA3,4,0.6740826553401851,0.08237218611061159,8.183377025286287,2.759979181089778e-16,0.5126361372355559,0.8355291734448143,0,0,2.6428891552253634e-15,7.505314472973617,6.12813063305146e-14,2.5036458499490005e-13,up,5.2945042606236116e-14,2.6217229368178213e-13,1.612689975461709e-6,8.280819884278096e-15,4,up,"[0.513, 0.836]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NEUROD6,5,-1.219348122806311,0.15183445666368273,-8.030773446288274,9.686007202531394e-16,-1.5169381894793368,-0.9217580561332852,0,0,9.002289047058591e-15,-7.488162864053798,6.984432636365685e-14,2.8344560547847753e-13,down,3.970215430694255e-13,1.6727841014658456e-12,1.1477379920119929e-7,6.134304406510351e-15,5,down,"[-1.517, -0.922]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RGS9BP,3,0.761401796031329,0.09555309952942773,7.968363138202945,1.6078980336814686e-15,0.5741211623424795,0.9486824297201784,0,0,1.4517022246952692e-14,7.500647893231289,6.35031626642348e-14,2.590940391758923e-13,up,3.39824163169335e-14,1.7320070251856431e-13,7.90303364771849e-6,9.236304998005599e-13,3,up,"[0.574, 0.949]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
KLF15,4,0.7121044720473425,0.0895524766149997,7.951812154886487,1.838028083819011e-15,0.5365848431555778,0.8876241009391073,0,0,1.6133802069077987e-14,7.578239400143083,3.5027562243865e-14,1.46649798440255e-13,up,1.1559465363928314e-13,5.534531901517193e-13,5.413937853513137e-9,1.3076236756143275e-11,4,up,"[0.537, 0.888]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NRN1,4,-0.8503450884242201,0.10710273129415472,-7.939527574593505,2.029527688436286e-15,-1.0602625844066342,-0.6404275924418059,0,0,1.733326350123963e-14,-7.464728298831044,8.347167099896508e-14,3.3546716917990063e-13,down,2.169107433204966e-13,9.519971512399574e-13,7.953337901794241e-7,4.87895976287649e-14,4,down,"[-1.060, -0.640]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
