SYMBOL,k,meta_logFC,meta_se,meta_z,meta_p,ci_lb,ci_ub,tau2,I2,meta_FDR,stouffer_Z,stouffer_P,stouffer_FDR,stouffer_Dir,mv_P,mv_FDR,max_loo_p,min_loo_p,k_studies,direction,ci_95,pass_k,pass_k4,pass_dl,pass_stou,pass_mv,pass_i2,pass_loo,consensus
CD37,3,0.8183069918393246,0.07987839607422309,10.244409402999942,1.2538830611157288e-24,0.6617482123910218,0.9748657712876276,0,0,3.887037489458759e-23,9.426577152431337,4.236895647788122e-21,6.2223049483416365e-18,up,5.022639583611036e-23,5.190060903064736e-22,7.490855034402307e-9,3.5669533463861204e-20,3,up,"[0.662, 0.975]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PRELP,3,0.749016939299215,0.08435647444970715,8.879187331919313,6.735059906933256e-19,0.5836812875150157,0.9143525910834144,0,0,1.0439342855746547e-17,8.640856097580013,5.5793355657378335e-18,8.998198311062484e-16,up,2.7832912961783927e-17,1.438033836358836e-16,2.6838183529377166e-10,1.9483794117590047e-16,3,up,"[0.584, 0.914]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
DDIT4,3,0.6870979693708348,0.08754134674967078,7.848839375702417,4.199049962104539e-15,0.5155200825833476,0.858675856158322,0,0,4.3390182941746904e-14,7.714099377642979,1.2183951309872635e-14,4.317893555424457e-14,up,1.3174410618540193e-13,4.08406729174746e-13,2.6839361691331952e-8,1.116743265575553e-12,3,up,"[0.516, 0.859]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PIK3R5,3,0.8135479091396774,0.1103496018987004,7.372458940871437,1.675091942021313e-13,0.5972666637098919,1.029829154569463,0,0,1.2981962550665177e-12,7.2292841708286915,4.855464884263627e-13,1.4834494354740965e-12,up,5.318573234531235e-12,1.099171801803122e-11,8.956241170768778e-8,1.852722059889006e-11,3,up,"[0.597, 1.030]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
MAP10,3,-0.7353787963378754,0.10149925600159482,-7.245164401267342,4.319149749291129e-13,-0.934313682558612,-0.5364439101171387,0,0,2.3171841351063768e-12,-7.086749269596536,1.3729880449589001e-12,4.0532340601449195e-12,down,1.2920255687049374e-11,2.1080417173606872e-11,8.176915245510366e-8,2.5677859329822405e-11,3,down,"[-0.934, -0.536]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RTN3,3,-0.6279461164815718,0.08673217373585414,-7.240059708338496,4.484872519560729e-13,-0.7979380533047167,-0.457954179658427,0,0,2.3171841351063768e-12,-7.134491995423674,9.71452680973461e-13,2.902106198693297e-12,down,1.1666075401335649e-11,2.009157430230029e-11,1.3864848248705174e-7,5.4043096213408487e-11,3,down,"[-0.798, -0.458]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
SNX33,3,0.6020751112766085,0.08379751513038357,7.184880247819022,6.726611895787896e-13,0.4378349996271065,0.7663152229261105,0,0,2.9789281252774967e-12,7.108439478798423,1.173623412252097e-12,3.481388769314902e-12,up,1.9968317330862743e-11,2.9477039869368815e-11,1.950342196153637e-7,4.465833805075249e-10,3,up,"[0.438, 0.766]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CCDC102A,3,0.8149176307338035,0.11724594336228976,6.950497453167395,3.640003718638518e-12,0.5851198044102925,1.0447154570573145,0,0,1.2648502106826532e-11,6.995831044046619,2.6369115887806194e-12,7.584348529736032e-12,up,6.418240070916312e-11,8.650671399930681e-11,9.1922479951312e-8,4.00251089286177e-9,3,up,"[0.585, 1.045]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
GFAP,3,0.8207201794898752,0.11810185721539904,6.949257182238988,3.672145772949638e-12,0.5892447928404012,1.0521955661393492,0,0,1.2648502106826532e-11,6.929169867574208,4.2331725912825064e-12,1.1987730943998243e-11,up,4.407337556990429e-11,6.210339284850152e-11,2.6421915000362208e-6,4.099626552042834e-9,3,up,"[0.589, 1.052]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ITFG1,3,-0.6284251938428572,0.0907498342195864,-6.924808174550089,4.365666788118198e-12,-0.8062916005162271,-0.4505587871694874,0,0,1.3533567043166414e-11,-6.843294717374073,7.739219972576374e-12,2.148547911479331e-11,down,1.1345353933956519e-10,1.4654415498027168e-10,5.394321874064649e-7,7.541737584944741e-10,3,down,"[-0.806, -0.451]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
KLF15,3,0.7247564429648661,0.10708905065050256,6.767792211831182,1.3076236756143275e-11,0.5148657605512954,0.9346471253784367,0.00644157951077114,16.54467949023585,3.685121267640378e-11,7.571370058522971,3.69308361883075e-14,1.243388950622384e-13,up,1.7813522067674985e-13,5.020174400890225e-13,6.610240886539665e-6,8.382104433707376e-10,3,up,"[0.515, 0.935]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ALOX15B,3,1.3259442861674449,0.20385595148492347,6.504319724339799,7.804574711404824e-11,0.9263939632228504,1.7254946091120391,0,0,2.0161818004462464e-10,6.524297047006558,6.832119040780032e-11,1.764003168651469e-10,up,1.0303863466602695e-9,1.2285375671718599e-9,5.179586443324253e-5,5.577782142582045e-9,3,up,"[0.926, 1.725]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ZWILCH,3,-0.7703091815577265,0.1197091323557292,-6.434840570631369,1.2360299805407686e-10,-1.0049347695954942,-0.5356835935199589,0.02124099150332144,49.9919037054444,2.9474561074433705e-10,-9.352906530822075,8.527158682063725e-21,8.669617052006743e-18,down,4.454916818094623e-21,3.4525605340233335e-20,2.5498878256614892e-6,1.201705081574627e-12,3,down,"[-1.005, -0.536]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
NUPR1,3,0.7694155674654781,0.12814483670003524,6.004265074421578,1.922004791569759e-9,0.5182563027286425,1.0205748322023136,0,0,4.2558677527616105e-9,6.080672438297304,1.1967956473851358e-9,2.748849058101048e-9,up,2.4287456831686643e-8,2.50970387260762e-8,1.689302864735766e-6,2.4949947887595464e-7,3,up,"[0.518, 1.021]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
GYPC,3,0.7921081749280933,0.1577868037047606,5.020116741893255,5.16400858492254e-7,0.4828517224310714,1.1013646274251152,0.05368630679829781,74.12973011281558,1.0672284408839915e-6,9.915479263645686,3.565411539129845e-23,2.6180816931830446e-19,up,1.7212742767111482e-26,5.335950257804559e-25,8.250777298988006e-5,2.6621931374561738e-11,3,up,"[0.483, 1.101]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
ADAMTS2,3,0.9385915783556004,0.18930646077204816,4.958053594831069,7.120292331811824e-7,0.5675577332016414,1.309625423509559,0.06963441555320034,65.8417271700853,1.379556639288541e-6,8.602241003869898,7.817441979224933e-18,8.998198311062484e-16,up,1.137771597283158e-16,5.038702787968273e-16,0.00771232364012554,1.0112125741533144e-11,3,up,"[0.568, 1.310]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
CAPS,3,0.8680227861019358,0.1882199636597204,4.611746645914879,3.992994937028212e-6,0.49911843615744617,1.2369271360464256,0.06047671476557594,56.99931668363277,7.281343708698503e-6,7.061262610655228,1.649964309079134e-12,4.834671955932993e-12,up,7.645774181030072e-12,1.4813687475745767e-11,0.00332024301536891,3.2555031525929145e-8,3,up,"[0.499, 1.237]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
CLDN9,3,1.00702053694877,0.22714950619843732,4.433293973657327,9.280418873055796e-6,0.561815685693775,1.4522253882037648,0.0808782767345985,52.082162414286834,1.5982943614707206e-5,6.6487318071640145,2.956291055180924e-11,7.876649208343079e-11,up,4.887099943413076e-10,6.060003929832216e-10,0.00258818948691426,2.0011687100471316e-8,3,up,"[0.562, 1.452]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
FOXJ1,3,1.70106751669122,0.4158671369203399,4.090411012729439,4.306094066843304e-5,0.8859829059735664,2.5161521274088736,0.3280948332340824,64.13682801193704,7.025732424849602e-5,7.089565520072558,1.3453369648447061e-12,3.975375989076329e-12,up,9.702862104513655e-12,1.7693454425877838e-11,0.00517034775459309,2.033427251488884e-9,3,up,"[0.886, 2.516]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
FZD9,3,0.807982191672141,0.2015924359040192,4.007998554354649,6.123549509499863e-5,0.4128682777445642,1.2030961055997178,0.09686829187645972,79.49454207976424,9.491501739724788e-5,8.927781857926254,4.346356457512908e-19,2.1276863645011523e-16,up,6.887169843525006e-20,4.270045302985504e-19,0.00268559205548936,1.1776648223949741e-7,3,up,"[0.413, 1.203]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
