Specification,Gene,Datasets eligible after screening,Retained,Datasets passing P alone,Datasets lost to magnitude gate,Stage,Failed gate,Pooled log2FC,Pooled P (FDR),I2 (%),Max raw LOO P
Sensitivity analysis 3a,PIK3R5,0,FALSE,4,4,dropped at per-dataset screening - failed the MAGNITUDE gate,NA,NA,NA,NA,NA
Sensitivity analysis 3a,SCG2,0,FALSE,4,4,dropped at per-dataset screening - failed the MAGNITUDE gate,NA,NA,NA,NA,NA
Sensitivity analysis 3a,SERPINI1,0,FALSE,4,4,dropped at per-dataset screening - failed the MAGNITUDE gate,NA,NA,NA,NA,NA
Sensitivity analysis 3a,TCEA3,0,FALSE,4,4,dropped at per-dataset screening - failed the MAGNITUDE gate,NA,NA,NA,NA,NA
Sensitivity analysis 3a,TRIM36,0,FALSE,3,3,dropped at per-dataset screening - not P-significant in >= 4 cohorts,NA,NA,NA,NA,NA
Sensitivity analysis 3a,ADAM33,1,FALSE,4,3,dropped at per-dataset screening - failed the MAGNITUDE gate,NA,NA,NA,NA,NA
Sensitivity analysis 3a,COL25A1,1,FALSE,4,3,dropped at per-dataset screening - failed the MAGNITUDE gate,NA,NA,NA,NA,NA
Sensitivity analysis 3a,ELOVL4,1,FALSE,4,3,dropped at per-dataset screening - failed the MAGNITUDE gate,NA,NA,NA,NA,NA
Sensitivity analysis 3a,GFAP,1,FALSE,4,3,dropped at per-dataset screening - failed the MAGNITUDE gate,NA,NA,NA,NA,NA
Sensitivity analysis 3a,NAP1L5,1,FALSE,4,3,dropped at per-dataset screening - failed the MAGNITUDE gate,NA,NA,NA,NA,NA
Sensitivity analysis 3a,PRELP,1,FALSE,4,3,dropped at per-dataset screening - failed the MAGNITUDE gate,NA,NA,NA,NA,NA
Sensitivity analysis 3a,PRX,1,FALSE,4,3,dropped at per-dataset screening - failed the MAGNITUDE gate,NA,NA,NA,NA,NA
Sensitivity analysis 3a,RAB3B,1,FALSE,4,3,dropped at per-dataset screening - failed the MAGNITUDE gate,NA,NA,NA,NA,NA
Sensitivity analysis 3a,RAB3C,1,FALSE,4,3,dropped at per-dataset screening - failed the MAGNITUDE gate,NA,NA,NA,NA,NA
Sensitivity analysis 3a,STAT4,1,FALSE,3,2,dropped at per-dataset screening - not P-significant in >= 4 cohorts,NA,NA,NA,NA,NA
Sensitivity analysis 3a,TMPRSS5,1,FALSE,4,3,dropped at per-dataset screening - failed the MAGNITUDE gate,NA,NA,NA,NA,NA
Sensitivity analysis 3a,AEBP1,2,FALSE,4,2,dropped at per-dataset screening - failed the MAGNITUDE gate,NA,NA,NA,NA,NA
Sensitivity analysis 3a,CCDC102A,2,FALSE,4,2,dropped at per-dataset screening - failed the MAGNITUDE gate,NA,NA,NA,NA,NA
Sensitivity analysis 3a,CLDN9,2,FALSE,4,2,dropped at per-dataset screening - failed the MAGNITUDE gate,NA,NA,NA,NA,NA
Sensitivity analysis 3a,GAD2,2,FALSE,4,2,dropped at per-dataset screening - failed the MAGNITUDE gate,NA,NA,NA,NA,NA
Sensitivity analysis 3a,MRGPRF,2,FALSE,3,1,dropped at per-dataset screening - not P-significant in >= 4 cohorts,NA,NA,NA,NA,NA
Sensitivity analysis 3a,NUPR1,2,FALSE,4,2,dropped at per-dataset screening - failed the MAGNITUDE gate,NA,NA,NA,NA,NA
Sensitivity analysis 3a,HSPB1,3,TRUE,4,1,retained,NA,1.1845531461914476,6.946402805183697e-10,0,2.0345289563651947e-4
Sensitivity analysis 3a,RGS4,3,TRUE,4,1,retained,NA,-1.258877588332501,2.1031294143846358e-10,0,2.0580903439429876e-4
Sensitivity analysis 3a,RPH3A,3,TRUE,4,1,retained,NA,-1.1538309281914194,6.187357833168291e-14,0,9.089754966966629e-9
Sensitivity analysis 3a,MAS1,4,TRUE,4,0,retained,NA,-1.4811856625824589,2.7466394981925503e-14,0,5.114109076767015e-7
