SYMBOL,k,meta_logFC,meta_se,meta_z,meta_p,ci_lb,ci_ub,tau2,I2,meta_FDR,stouffer_Z,stouffer_P,stouffer_FDR,stouffer_Dir,mv_P,mv_FDR,max_loo_p,min_loo_p,k_studies,direction,ci_95,pass_k,pass_k4,pass_dl,pass_stou,pass_mv,pass_i2,pass_loo,consensus
EMP3,4,0.6956985571457798,0.07075108870063972,9.83304384317537,8.112887698812636e-23,0.5570289714255272,0.8343681428660323,0,0,1.1535212524362458e-20,8.88770525158349,6.238390771100614e-19,7.209240334853148e-17,up,1.3420467724457421e-20,9.940732164473106e-20,2.048874858289346e-9,1.0493342538530814e-21,4,up,"[0.557, 0.834]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ARHGEF40,4,0.5164980373761983,0.05254180123687259,9.830230886978656,8.342728440956453e-23,0.4135179992690659,0.6194780754833306,0,0,1.1535212524362458e-20,8.838128522907525,9.73352686970745e-19,9.929539962531906e-17,up,1.8107716976115302e-20,1.3085506971589939e-19,5.4792547261031855e-9,8.499967714455531e-22,4,up,"[0.414, 0.619]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
STAU2,3,-0.5137338152175454,0.05241216356511241,-9.801805158822075,1.1059130975643516e-22,-0.6164597681569881,-0.4110078622781026,0,0,1.4335398527177907e-20,-8.654595279280663,4.946638014046042e-18,3.791226399159019e-16,down,4.2050186014633164e-21,3.433546684816897e-20,3.692338089581298e-7,6.493493224091675e-22,3,down,"[-0.616, -0.411]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ID3,4,0.7465833430528129,0.07642136699740588,9.769301078822048,1.5250045004277058e-22,0.5968002160885795,0.8963664700170464,0,0,1.8605054905218012e-20,8.249523311290332,1.5902758658588875e-16,1.6219673066919e-15,up,4.057739161184802e-20,2.8431591284788112e-19,5.966723730746905e-7,8.492807056271542e-22,4,up,"[0.597, 0.896]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EHMT1,3,0.4230622078167296,0.04340165326042847,9.747605817644214,1.8886992616952648e-22,0.33799653055679435,0.5081278850766648,0,0,2.1762012604199892e-20,9.449662323149212,3.3992552111712766e-21,1.3232048179906715e-18,up,6.180234189295222e-21,4.8736903834974495e-20,6.517189775031019e-12,3.734469812799033e-17,3,up,"[0.338, 0.508]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FAM162A,3,-0.5497738225022545,0.05664276196807946,-9.705985432208882,2.843154817784226e-22,-0.6607915959445653,-0.4387560490599437,0.0013769331076282,13.631785235223294,3.1035279432023606e-20,-10.610852279685998,2.653177689565769e-26,1.308193479468562e-22,down,9.85625218582938e-25,1.3479909903351308e-23,1.5712459121902072e-7,7.157498153085437e-20,3,down,"[-0.661, -0.439]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
HSPB1,4,0.9528414575370784,0.09960863707008508,9.56585177314147,1.1128131659095339e-21,0.7576121163305903,1.1480707987435663,0,0,1.153987253048187e-19,8.543599508272205,1.30104383134883e-17,8.630062938704885e-16,up,2.3833750684590856e-19,1.5360217036853547e-18,2.981812193815676e-7,2.8146881065895687e-20,4,up,"[0.758, 1.148]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
SEH1L,4,-0.5214665838937784,0.05484922489447563,-9.507273528423193,1.957250338352928e-21,-0.6289690892668884,-0.41396407852066847,3.623821497995835e-5,0.27407434935685954,1.9330177151161777e-19,-9.036155075611934,1.6227940811245624e-19,2.5811150589241425e-17,down,1.227150109391058e-19,8.131339702482599e-19,1.0180190707986846e-10,2.002753844872712e-20,4,down,"[-0.629, -0.414]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CREBBP,3,0.3778928878969771,0.03989657378285461,9.471813042236098,2.7502793560045108e-21,0.29969704017603715,0.4560887356179171,0,0,2.5927633565242517e-19,9.569825980086344,1.0708576455127751e-21,6.004208765935695e-19,up,4.8015400716515843e-20,3.3194647028684615e-19,1.1131293846731158e-7,2.034094407865853e-15,3,up,"[0.300, 0.456]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ZNF365,4,-0.5964243230104493,0.06300570142281453,-9.466196067051204,2.9022035724114224e-21,-0.7199132286198499,-0.4729354174010488,0,0,2.6170305257309957e-19,-8.396337335724816,4.6062109548380046e-17,1.6219673066919e-15,down,6.768544932126727e-19,3.9767598269775736e-18,1.9640832811191946e-7,2.5293248385968606e-20,4,down,"[-0.720, -0.473]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
