acc,region,total_genes,percent_with_SE
GSE159699,lateral_temporal_lobe,4288,100
GSE203206,occipital_lobe,3275,100
GSE278723_CA1,hippocampus_CA1,6974,100
GSE278723_CA2,hippocampus_CA2,7247,100
GSE278723_CA3,hippocampus_CA3,7003,100
GSE278723_CA4,hippocampus_CA4,5494,100
GSE278723_NX,entorhinal_cortex,7142,100
GSE67333,hippocampus,1040,100
GSE95587,fusiform_gyrus,8696,100
