SYMBOL,K,K_used,Z,P,Dir,FDR
CCNH,2,2,-9.163887593848202,5.006060741008394e-20,down,1.0548581774938363e-17
RNASEH2B,2,2,-9.156942713374804,5.338839871904742e-20,down,1.1099804016348085e-17
KANK2,4,4,9.149137180008905,5.739007445505523e-20,up,1.1662203133354971e-17
TRAPPC13,4,4,-9.148762812177033,5.75892798863806e-20,down,1.1662203133354971e-17
LRRTM4,2,2,-9.146693419149768,5.87028214966073e-20,down,1.1735296097392276e-17
GCNT4,2,2,-9.138582111543586,6.327647870957801e-20,down,1.2370784341293444e-17
BCL9L,4,4,9.138254547106756,6.346839910879725e-20,up,1.2370784341293444e-17
ARL6IP6,3,3,9.12961122769367,6.874572017469666e-20,up,1.3233975489926483e-17
CIZ1,3,3,9.12021733487232,7.49738259330122e-20,up,1.4190100841510822e-17
LRRC40,4,4,-9.11941273266698,7.553250624289093e-20,down,1.4190100841510822e-17
SMIM14,4,4,-9.113271214713222,7.993466832394704e-20,down,1.4838348609229836e-17
SIPA1L3,4,4,9.106373547026106,8.518165677505484e-20,up,1.5626324401099177e-17
RWDD2B,4,4,-9.094071404162726,9.539816729642374e-20,down,1.7297018868059715e-17
CROT,4,4,-9.085852994011931,1.0288870375591588e-19,down,1.8440730547885015e-17
ASAH2B,3,3,-9.082704192701755,1.0591015440545787e-19,down,1.8482212548340394e-17
POLB,2,2,-9.082680525078208,1.0593319362817728e-19,down,1.8482212548340394e-17
HSPB11,2,2,-9.081095712289459,1.074872510995832e-19,down,1.8482212548340394e-17
PTS,2,2,-9.080717636623863,1.0786130583588636e-19,down,1.8482212548340394e-17
MNAT1,2,2,-9.076170573422326,1.124620513172743e-19,down,1.9061095284676717e-17
METTL6,3,3,-9.066525577000094,1.2287257001943295e-19,down,2.0601634239924925e-17
SLF1,2,2,-9.05977064091011,1.3072514318414113e-19,down,2.1685076145428857e-17
ARHGEF10L,4,4,9.055724145048147,1.3566458821169937e-19,up,2.2267557094579244e-17
UBE2V2,3,3,-9.049058704469523,1.4420603974514204e-19,down,2.3422966434854167e-17
USP14,3,3,-9.041494078912955,1.5454483505627752e-19,down,2.4738851556344142e-17
UBE2V1,2,2,-9.039846191447037,1.5689241586159671e-19,down,2.4738851556344142e-17
FEZ2,3,3,-9.03972459145844,1.5706703675226514e-19,down,2.4738851556344142e-17
SEH1L,4,4,-9.036155075611934,1.6227940811245624e-19,down,2.53042281069753e-17
AIG1,4,4,-9.034205677601726,1.6519779632577477e-19,down,2.5504249882255506e-17
