"","01.CA3","02.CA3","03.CA3","04.CA3","05.CA3","06.CA3","07.CA3","08.CA3","09.CA3","10.CA3","11.CA3","12.CA3","13.CA3","14.CA3","15.CA3","16.CA3","17.CA3","18.CA3","19.CA3","20.CA3","21.CA3","22.CA3","23.CA3","24.CA3","25.CA3","26.CA3","27.CA3","28.CA3"
"TSPAN6",2.96205405520954,3.23221847872857,4.52884914867285,4.23017569177414,2.41352911999352,3.42485855652758,3.53086213135722,3.57326269372638,3.15068158344414,3.50474613794062,4.08400121664476,3.13059056870679,3.3617117808897,2.60121320450653,3.08740994642689,3.21180312626214,3.54832765574703,2.18276273483581,2.32147104604839,2.05691409478762,2.40252109285851,1.57037758727167,2.00200283127592,1.06859825806553,3.16134963317935,2.89224410193058,3.0848449469347,3.02201923054508
"DPM1",2.99823963423404,1.66965318262837,3.27848910693067,2.70943876131976,1.21743716569662,3.65512273551201,2.73271727593426,2.91106967652522,2.68255181970802,3.13941871348999,3.09024125969672,2.18713747457832,2.24557265042213,2.64376777705997,1.76654085520377,1.47882304772157,2.98615579371093,2.19936490985418,1.6507470486141,1.86790561784793,2.38548475244744,1.74137724130272,0.46904591379715,1.44651876432833,3.12845842242012,2.14310810928525,2.13781523837195,2.24644197766459
"SCYL3",3.86992149828798,3.3661400298983,3.91974010858545,3.79880486443657,2.34413476119568,3.50918304273932,3.82811068019987,3.09984621497207,2.8473983998198,3.23406778192442,3.32933221901811,3.96504244936492,3.54733589047957,3.03337339727806,2.28058462337101,2.9753474289493,3.17712680205803,3.31510571921673,2.2099914669505,3.20374690200688,1.69555014475949,2.66295366762627,3.16301891581697,3.31955386528327,2.6378927832385,3.26745540299451,3.0848449469347,3.1904928173145
"C1orf112",2.80748947535142,3.55749884863952,3.72580821454882,3.28898617781107,0.103425568590806,2.76132209763219,3.32871832348072,3.24024377402881,3.48698179883296,2.91495481942223,3.37273859847835,4.30087504820079,3.112861292976,2.31558536023625,1.57834193434118,2.15395067242917,3.20078131335818,3.12832367739361,1.92235806312387,2.42038096701938,3.05807706056986,2.1585616472347,2.67998065147605,2.04309137444271,2.3642041287866,2.77036823522401,3.81054853720296,2.28949602113241
"FGR",3.1016499631142,2.69422625579819,2.61357425116991,1.81113830516979,4.254660969044,2.79530550760233,2.13103695918512,3.19954022062764,2.99532584571276,2.84169415020347,3.88851569284613,3.23598914145112,4.70772359312252,2.0249633238881,5.34497013205789,3.06861764267146,2.07821480800813,2.57508447935611,2.49796364388199,3.90180877078615,2.43600186761468,3.49634000189231,3.62135330812549,2.75985049339751,2.21553234788312,3.78372935185545,3.9705473267247,2.94332360194775
"CFH",4.46221229416814,3.70635759883275,5.39260174292432,4.95864165826798,5.35249314566962,3.71848452682312,4.32343076030327,4.13740464607818,4.87502448110745,5.89537519419167,5.54182668843377,5.54204903044582,5.44306486406478,3.84431768255398,6.27749250069894,3.76069737344175,4.32715141117098,4.18194121101573,3.50044019135998,2.81889637309999,3.41781460783072,2.74566786449602,3.28658439086059,3.4357652797293,3.74597392232115,4.69309091497728,4.90101087837717,5.10850794709256
"FUCA2",3.73704190888872,3.11534217782084,3.76792262084473,3.38978660182562,2.34413476119568,4.02812212209007,3.06779352863842,3.57326269372638,2.97170075311472,3.151595041393,3.59060700553284,3.50560248734812,3.43595838916602,2.85168263708769,2.53480613289101,2.63255271364878,3.89496636319986,2.39942131768447,2.1203377447236,2.37373549873794,2.66503497682689,2.09688125238452,2.46850130606472,2.09114292982849,3.42331124567633,3.35485930723027,3.27851811655783,2.97003529123717
"GCLC",5.52326582783514,5.28589341617379,5.83180090566697,5.02282754229453,4.59053801519623,5.33319032563756,5.28767453783789,5.37880393238918,5.52520682640728,4.90436962849828,5.63835514587571,5.80441845830227,5.85388610114766,4.23603537981216,4.83151483263443,4.91165773725709,5.37085891880618,4.8593881491685,4.55967288846278,5.18161073806293,5.33026463378796,5.0220802167233,4.94834521490576,4.61057540264636,5.00318082566597,5.00371949048759,5.3586706827044,4.94645934917014
"NFYA",5.89117720845986,6.02177121986716,6.26784588077893,5.72580466586426,5.81041284536797,6.13029324733563,5.93901743604259,6.07404710355699,6.29575142554391,5.8076842838194,5.66914752033073,6.48943717885702,6.37358763543336,5.5949037929756,5.19325694082722,5.33105256194825,5.20092846749875,5.82983805900628,6.1586230028939,5.90606990440805,6.23696371171946,6.05734761544521,6.03097921434977,5.15929472101773,5.15515561714233,5.7901894577713,6.23546980777891,5.240530337872
"STPG1",3.91793803203013,3.39149466356478,4.1234750304141,3.09789034190813,3.01435264608093,3.87763442928986,3.35025583715935,3.84364389669151,2.89841155268384,2.87144631159267,3.5151339367658,3.87544748507776,3.58698119161358,3.24165251096661,3.26962924090019,3.49549929013463,3.41816558726745,3.17942834634662,3.53554652339035,3.25612069103151,3.43447559230826,3.47225173328558,3.07849217598338,2.30997514637578,3.37738904009795,3.68973304576922,3.89572170882761,3.04732524896827
"NIPAL3",6.76854877971539,6.91128793104665,8.01033648405298,6.26626329702359,6.88775908958379,7.31885656850443,7.09468472579644,7.69990798569187,6.3811746863196,6.00177513911728,7.25996246282,7.39761193280176,8.05867388878299,6.7341669105358,7.27970921748133,6.59438018548352,6.86253736807093,6.55185221611379,7.05174436755148,6.92351806233022,7.17870701081203,7.22097676668763,7.39844049630715,6.14363883962271,6.66068981181998,7.70390473179774,7.41198894972809,6.78840991956672
"LAS1L",5.52946108019496,5.39019763608606,5.39260174292432,5.51881440341319,5.28002336782064,4.3007589492705,6.22497488372988,5.2012016594612,5.67900722797252,5.57660437089674,5.8100186045758,5.79869533831886,5.86467917138264,5.10456264200274,5.43097549934963,5.79631382813805,5.78297196013244,6.45493450005148,5.37563183133245,6.49816478524589,5.70284820728537,5.55669033454441,6.44319866284993,6.65505273096892,5.52941514416511,5.26670377564694,5.89776088809169,6.14848836575877
"ENPP4",5.76296339300354,5.24474954698248,6.21445855808123,5.27707045378885,4.21633697253599,6.43921228334629,5.72900120066849,5.67446295721212,5.51706903299813,5.56981503795669,6.09882249367213,6.01527419935985,6.12920159650792,4.96049717319877,4.09878320490946,4.27292131322891,5.42583918807289,4.30594013016063,4.75601451755231,3.49277678966711,5.1852149024241,4.43043779362358,3.53336196287431,2.75985049339751,5.2975759339092,5.29399077108049,5.31073664799927,4.16168296185495
"SEMA3F",2.92493747046514,3.62318464706365,2.01743625066414,2.14360071942457,4.13649261289032,2.95416108446892,2.3392356648741,2.78834577647208,3.32860876560874,3.78822668018725,3.90339220759978,2.79338527108383,5.126238007721,3.10619231872977,5.42400100282557,3.27839691817895,1.57978769822475,2.04258322460864,2.99493143148392,2.72291711165137,3.73943370548892,3.41021042203588,3.74402917094062,2.94120364011415,3.10610682665797,3.32630901514013,3.61629652795533,1.84606373968378
"ANKIB1",6.94460897349998,6.95870658673922,7.74600538301466,6.72480232387802,7.09733857477127,7.19464662351005,7.18510133281592,7.24142733496706,7.15525886398907,6.8324921096861,7.24251871499524,7.54590314780638,7.78024485467511,6.5901841135308,7.04530759466414,6.94942578208859,6.85649994174789,7.36793113238552,7.09651226668652,7.36623832579615,7.83124788985132,7.13536416688059,7.26547579444041,6.64603305992201,6.49532189284522,7.08457375299092,7.11618170633735,6.67019600389813
"CYP51A1",6.41743501536055,6.48628415878667,5.65232739802193,6.1844390978729,4.09484978264517,7.01433004450015,4.74122482466135,5.90713042923816,4.75559796537076,5.04481900343183,5.56071788808518,5.29004659912696,4.87185775778441,5.42434924248142,4.58494395056322,4.40992602264996,5.75827556647734,4.55523941968828,4.30546923477407,4.02263115914166,5.4312560467569,4.47354570988041,3.94155680615692,3.78158686184243,5.79346629217523,5.62028624929266,5.11403675722167,4.61527326031052
"KRIT1",5.53562984248133,5.23076997745361,5.40218380600506,5.346792285073,4.49772204380116,5.44712972781008,5.46101469485057,5.53963989013216,5.9416965828973,5.53305556846003,5.41779848923564,5.67918987693262,5.46095667474854,4.84366655651674,4.39114302351326,4.77534524158642,5.09918830202616,5.30133540652005,4.97216271222268,5.14504406226322,5.28963437403678,4.87366171288026,4.97864729853185,5.07518312457361,5.01672471248364,4.80767910798147,5.22399448422793,4.74853126585793
