"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PPP4R3B",-0.699100683652897,5.78592777654051,-8.36793558833365,2.12890997716951e-09,1.48321332881509e-06,11.5605433936035
"THAP5",-1.14127769071964,4.19770174932154,-8.19856209389876,3.29790642675424e-09,1.68831857206995e-06,11.1319604507692
"SLC35B3",-1.33931462205878,2.31348869704496,-8.18773028842727,3.39194284434601e-09,1.68831857206995e-06,10.9842663144003
"LCORL",-1.02865894352127,4.10873258274398,-8.18284071839052,3.4352823209039e-09,1.68831857206995e-06,11.0916487726109
"ZNF654",-1.01875833127445,4.06782579941378,-8.08866512332141,4.38954804939021e-09,1.81346292225532e-06,10.8544849233989
"ELMOD2",-1.10500214836216,3.82601569258109,-8.01360644001108,5.340906585199e-09,1.86990884751555e-06,10.6622501782887
"LYPLAL1",-1.10971217686868,3.68082715023389,-7.98280524513153,5.78981325394789e-09,1.86990884751555e-06,10.5820705815459
"FSD1L",-1.02715433690535,4.20149212924391,-7.9793154888274,5.84304050891422e-09,1.86990884751555e-06,10.578943938782
"MAP3K2",-0.93045949827148,6.28090822800129,-7.94606818879751,6.37581855002032e-09,1.94972531259621e-06,10.4945619625533
"ICE2",-1.06042474750048,4.65627483697107,-7.90386203932539,7.12411197803018e-09,2.13119358542768e-06,10.3874080837589
"RBM41",-1.07241145180793,3.94403299542778,-7.89336101762263,7.32380286221476e-09,2.1443159827008e-06,10.3589740901011
"FAM35A",-0.803567828529084,3.64158562813007,-7.75993180890411,1.04183907038736e-08,2.65495323103713e-06,10.0158794845413
"KIAA1033",-1.05678631839447,5.69038445463731,-7.70870639879856,1.19347945121755e-08,2.93276263003655e-06,9.88380937468082
"ZNF124",-1.2389187996651,3.63918088930356,-7.69357095340944,1.2424478359126e-08,2.99953064385847e-06,9.84616954783807
"RASA2",-1.09100878428288,4.70572477255001,-7.63458599746539,1.45361388762958e-08,3.42592790738018e-06,9.69451381008275
"GK5",-0.990285094719341,4.73045519824337,-7.6131316017888,1.53918045092633e-08,3.52292309166447e-06,9.63877765065798
"MFSD8",-0.980183988337623,3.0310641967379,-7.6006291135908,1.59138863542853e-08,3.52292309166447e-06,9.59443320109248
"PUS7L",-1.07792636621493,5.01442986970453,-7.59456724518386,1.61734655337076e-08,3.52292309166447e-06,9.58930501414446
"PUS10",-1.06454546157022,2.53197927131186,-7.59247327125493,1.62641299021159e-08,3.52292309166447e-06,9.54258979021947
"SRSF10",-0.907726990076401,5.18633138974329,-7.55607510149588,1.79253175540461e-08,3.79492761324967e-06,9.48841534055253
