"region_1","region_2","intersection_n"
"CA1","CA2",1467
"CA1","CA3",1256
"CA1","CA4",1072
"CA1","NX",1344
"CA2","CA3",1523
"CA2","CA4",1149
"CA2","NX",1540
"CA3","CA4",1058
"CA3","NX",1373
"CA4","NX",1069
