"","01.CA4","02.CA4","03.CA4","04.CA4","05.CA4","06.CA4","07.CA4","08.CA4","09.CA4","10.CA4","11.CA4","12.CA4","13.CA4","14.CA4","15.CA4","16.CA4","17.CA4","18.CA4","19.CA4","20.CA4","21.CA4","22.CA4","23.CA4","24.CA4","25.CA4","26.CA4","27.CA4","28.CA4"
"TSPAN6",2.27725753159298,2.02097352487416,1.89365109351321,2.26948067995973,2.36451512601926,2.79037385255896,3.6846909993871,2.19623878149351,2.51602583276273,1.8286106725132,4.96113412851324,2.55087191983028,3.01614533683273,2.50839323241538,3.50170798477192,2.96388063822639,2.52006018452521,0.863744436348696,2.63743438380688,1.93691027215848,2.12757759580566,2.52547758771889,2.41052788566691,0.610060883645245,3.35863208258743,3.16068769800267,3.0254650710709,3.44721059522977
"DPM1",3.13949261801474,2.02097352487416,2.48628841642234,2.97821571507283,0.609003839005102,3.93780210727468,2.32127837979367,2.68122114831503,2.10731098905176,2.75249434822958,2.69686855948079,2.19120710053563,1.84067847779851,2.46829715685973,2.34632408646919,1.27665191789976,2.81055238813388,2.05158179641236,1.6385274548807,2.4109714097166,1.58660227901999,1.03689828427481,0.83905482461851,2.11256391629735,2.97544078751035,1.90222966990678,2.45850162660865,1.52028977438906
"SCYL3",3.75605284186959,3.09860275128872,3.62582909859923,3.3946302216923,1.68557283304642,1.99475921910408,3.60853088525003,2.77327060709566,2.95840665854611,3.39301880313142,4.11178761578006,3.56663933710993,2.79102777088383,2.46829715685973,2.71448729453889,2.74981541240594,3.28811237190186,3.59832105694856,3.13188157715825,2.81682790616304,1.43861625991932,2.44048265813852,2.43762268808506,3.91181483523193,3.03748430611757,3.13980488530828,2.88127719222884,3.27515108909806
"C1orf112",2.40274001172598,2.59697774259113,3.38642160745591,3.25816024660986,1.57290984275525,2.19283005203286,3.74126632250996,2.47737605483066,1.17393718339058,2.37675330518952,3.69677380587506,3.06657969410547,2.43788758099232,2.77811305710553,2.4797598184228,1.54191150040785,2.21736983143638,2.57243718252112,2.80723788176994,2.53479749493044,1.63273964828044,2.01015444987538,0.666564471647832,2.60560435264904,2.43095461410982,2.41799538271687,2.38910110327167,2.46606683670323
"FGR",2.57260585302302,2.4104578496094,4.21310599747748,2.60576192176862,4.06595848577414,1.76510056935718,2.59127382581759,2.83152795478589,2.51602583276273,2.40333259316048,2.68019202183234,3.0429492517664,4.52045684118348,2.22531591966129,4.57851146761369,3.34334940726237,1.78597774518018,1.15495807946662,2.4070109806622,3.41689840492431,2.80839927771504,3.12470906047429,2.66098202897736,3.52701287650592,3.28970682012235,3.76904949664168,3.45707920603992,3.93236359705367
"CFH",4.78313152775621,3.09860275128872,6.62796843297652,5.72849300087859,4.88534819376421,2.86969435183177,4.84438682706482,3.62410408672242,2.98202404584051,5.35150811975181,4.65466376894377,5.25750696520093,4.99095815731137,4.45348462121841,5.9694278418937,4.16785768690725,4.02520638556668,3.71150751041166,3.49039735193061,3.08338542070021,3.06548419142681,3.11102312514907,3.27065683346053,4.13672089252681,4.81777648415641,5.04606235227025,4.8314483240677,5.57575416442975
"FUCA2",2.38256962878845,2.49336394628048,3.22936460677493,2.85744221403348,2.66857120404794,2.52232008522962,2.92012953491613,2.10471029400469,3.2583203315328,2.57682184006231,4.50171730193616,2.39160423982951,2.34611539453429,2.74493343106986,2.97776931118089,2.25403511411893,2.59603707648103,1.98956193211053,2.68576135595307,2.76718831123785,2.19062564631498,2.22868552928131,2.26685110010394,2.24462829114013,3.7859238870256,3.34531172592321,2.54080580930892,3.28526775613368
"GCLC",4.50386961144023,4.39503614773505,5.49099740537984,4.4808742245214,4.74939126702299,4.3231547631902,5.5529970897365,4.48097302161846,5.05753540308587,4.29861512347831,6.25234209788921,4.76704858848442,4.43394580227297,4.30203286088261,4.61764871954334,4.68375560021888,4.83264385698034,3.89749660877381,4.60345353380737,4.82049776812946,4.31385920177267,4.82385212105564,4.22669102984587,4.51249571338609,4.96871365650582,5.15934221168409,4.41768329716519,5.07300166846981
"NFYA",5.41474283892213,5.43851005510901,6.02376077529845,5.48863998724367,6.13238705867984,5.56346754964223,6.21629700679298,5.52340892072885,5.70132766895334,5.30645061162817,5.97143155597108,5.72848329290203,5.61956481949761,5.55276958848885,5.31861238710195,5.24887087107927,5.26089839458961,5.2048411766403,5.91173150890013,5.84423398634084,5.19291583242737,5.78577768989896,5.33963621094343,5.39045276725954,5.15355438138894,5.4644818643853,5.29221605811353,5.04648113616189
"STPG1",2.89087360888229,2.62175882291058,2.68084583740342,2.65490929727859,1.88750949738216,2.57059865318689,3.26697454206,2.10471029400469,1.71482583436866,2.42943104661257,3.66322347573213,2.46456835921073,3.26194907244354,2.38459861679498,3.18738995735503,2.94568077147301,3.01812552293925,2.78208833504027,3.48129897649102,3.03176847355178,3.1630312362054,3.3038139254601,3.3724531380344,2.07756845888596,3.19236446268901,3.28000885593953,2.86858491178773,3.51755428917249
"NIPAL3",5.6501910614134,5.8642143785162,8.01048777007973,4.9482481445067,7.61503996502418,5.89029538296842,7.45063412342162,6.2290475010374,6.89324168950083,6.01313212218332,7.28303066649856,5.88120698863694,6.44683214396124,5.88331582148973,6.98829202394909,6.15541652565492,5.96573932354455,5.41211178308159,6.70640457337565,6.47036381199416,6.24995457234092,7.11896970041827,6.45725698938663,5.53451088173105,6.59922114972301,7.21872487217048,6.10041812621028,6.71968054097456
"LAS1L",5.98554366712748,5.68181299345349,5.19432111929619,6.19932119781431,5.91273510367324,5.01497604464125,6.37923163761005,5.7479866437278,5.51151909131567,5.54893097128916,5.38046951961126,5.63871639606217,5.19543674650098,5.8699125216825,4.95597248756089,5.64544902831446,5.88758484846837,6.98878105698696,5.5477417325812,6.73771115595081,4.9548948239657,5.55254648140698,5.05032729258902,6.80275354861159,5.18447042053893,5.4644818643853,5.5662305920125,5.70006420421687
"ENPP4",4.96029337943671,4.33635778180057,5.81157628182111,5.07101854223976,3.98020131101124,5.35874577216102,5.16408038649355,4.37722894015428,4.95386030059888,5.13069616881627,6.31038874762314,4.84768517248288,4.30583047592511,4.74535452078901,4.47041997559352,3.42444336094799,4.87137916703324,3.57034690806015,4.26472570609861,2.93393224290028,4.09237770548364,4.5624236565852,3.65236011465259,3.23311037129012,5.39417533409578,4.72004101224727,4.56656041024566,4.09072175655421
"SEMA3F",2.42263227557825,2.98858660436208,2.41513344098468,2.41922678185162,4.16644866104104,2.74901588470603,2.67663915512641,2.00697926388731,3.50648958903942,3.40622066166031,2.06138488420882,2.51696747695568,4.56184169800609,3.2136421510358,4.65575224212506,3.87270613941184,1.26404452027882,0.909121349207018,2.03654924528497,3.1429827002441,3.09873812692153,3.26726189522187,2.97021919608003,3.29535395674942,3.43509186629292,2.86233811085316,3.15654268825221,3.10282098895657
"ANKIB1",6.45510947546386,6.47684460720855,7.55168559559193,6.18265966304142,7.54022602923274,6.62080688748603,7.45547330409355,6.75263942978988,7.24762733046342,6.51462936050789,7.25021710976018,6.73300597177502,6.66192734236102,6.50158291161269,6.98361831731948,6.61874602290644,6.44618545400253,6.54983427973032,7.08984814863159,7.27261421870613,7.07011980076787,6.99963505154754,6.84525415452913,6.57156826476438,6.6788710280034,6.83856428088853,6.5312563247379,6.42136204897069
"CYP51A1",5.0038597039244,4.46517935270378,4.2235558870355,4.80863094528643,4.18573324439314,5.75582518262947,4.74906839060475,4.69222675615373,4.5340125353295,5.08216780192944,5.7131905901666,4.62705765112969,4.57200504329311,4.55747498741305,4.79029661810853,3.72045748746563,5.32927564867722,3.74317513449616,4.47183626851277,3.28202014050778,1.91999708686918,3.02606356899427,3.93502143165629,3.48088581631418,5.60665312914913,5.36677051797832,4.70864036910461,4.58008815950564
"KRIT1",5.0934518565305,4.96864788668483,5.42913775771682,5.35746471864333,4.6417898835039,5.37582854391429,5.38561699949392,5.25198660579615,5.29290001603404,5.36847000504507,5.3649010370346,5.30794650518281,4.76154343009789,5.14567225672887,4.69287524069721,4.39945002152609,5.16904730238927,5.146828221385,5.28821866551262,5.08390474572926,4.86594782778531,4.54216894718009,4.64221823689035,5.20224502670817,4.96748826598277,4.51233038629059,4.76793738179753,4.18018300723633
"RAD52",4.15130417771813,4.29072771645825,4.36242275190346,4.23641097791142,2.87273998383544,3.7303187887879,4.65963983107342,4.66845011278006,3.81339777302469,4.18064634611122,4.08035667333253,4.08342940701148,3.13058828379451,4.34695113189422,3.56314440216664,4.22179056220773,3.97273183155583,5.11329216450273,4.66099361103964,4.61487268188838,3.60619858089137,4.04838600930226,3.81617136685892,4.85235680313774,3.55741732413566,3.45926354174925,4.07509799682252,3.78329471930316
"BAD",4.13330973733656,4.79432065043102,4.9072432893444,3.99057267784266,5.62555660592453,4.34413764957472,4.00822408454717,4.40627063549292,5.48283531862403,4.32665938975844,3.7929830077848,4.32300451034042,4.89706647969928,4.58116769708426,4.86538492107825,5.79016897038164,3.49078360813231,4.60765424772136,5.29602312850753,5.00312096898153,5.32874831760206,4.65493104243735,5.85376285060837,4.63489664157999,4.20524071343204,4.88911654267638,5.07186874987568,5.03453591304423
"LAP3",4.97383906603686,4.1185980281325,4.94562207515773,4.89809982956013,3.60375517431901,4.25831042838593,4.79941909137262,4.34759059943958,5.49929581047509,4.52728418895915,5.08666172345201,4.15681958042103,4.1243670416299,4.44317838120428,5.12847508575737,3.74170982393724,4.84047456714099,4.4592007816294,4.37199435017821,4.79904534386153,4.31385920177267,4.12528636023108,4.43598930339788,4.89318177240305,5.69073959788028,5.23759413537872,4.84122563587893,4.99501640743753
"CD99",5.02353193448893,3.94291475565958,4.19197636438308,4.41820346522368,5.65352862620751,4.8339798007081,4.68045674761978,4.7310039030555,4.86773581371285,4.82141868451129,6.71829296980557,5.19990748422425,5.88304714967533,5.04362982955465,5.44366871967938,4.69469466627183,4.33613777074796,4.34825983890667,5.23778512221447,5.96335894118527,5.99789492802551,4.9172459078411,6.17682315923784,4.08038460358915,4.89843670489351,6.4206006323211,4.95065177602266,6.61026018301142
"HS3ST1",1.04100636615243,1.37355289219168,-3.72986921219409,1.12747413201329,0.821175504070004,0.79674174660293,1.18866683659802,1.21977253914019,0.999776370382595,1.6625072254883,0.778014230444826,0.986124440262369,0.803302289566448,1.447133224615,2.34632408646919,1.38867262143417,1.06454223886563,-0.169069151952331,1.30894068171015,0.590018599119515,2.15944600607247,2.32667376766207,-1.40448266929948,2.43637695074909,1.78732726695519,1.29443227560735,2.07235314267835,2.68054404253456
"HECW1",4.23805624154627,3.87238728267601,4.6214182470362,3.83932944349187,3.71412381322613,4.24349603039676,4.27780208512248,4.14426147562124,3.15821464449868,4.6980276699817,2.61148862314218,3.99383210857524,3.65515474313083,4.37974522382729,4.48107045446552,3.9013186211234,4.88658670308216,4.29370056796246,3.74727122510552,4.13192039610746,4.35572545283416,4.1116059263305,3.85688568428288,5.50023533671624,4.96380583710584,3.44230771659483,4.06400744820421,4.65611995957533
"MAD1L1",3.99401042739469,4.49901219454107,4.06988473626517,4.22017471860303,4.62775740021572,3.95609081889517,4.73321556661517,4.65237849054427,4.81611042486666,4.38783412580381,3.96117357367014,4.39009473343987,4.38866380230724,4.59053689747489,4.51773988113925,5.14900928659635,4.24172504579961,5.13970725909711,4.49462332739462,5.77842050998624,4.58422367167902,4.94451035419323,4.93146251263267,5.53934158391201,4.0950965726541,4.57590024583067,4.56262579776479,4.79358579598555
"LASP1",5.63321864628666,5.73672779745475,7.33748763622579,6.68521261030282,7.27580949816496,5.03662092234676,5.9163065439286,7.17869003738267,7.15326600339332,5.9423954919354,6.41235966419391,7.13060811870792,7.86212609947648,6.88810447657044,6.80016172754971,6.12136410886175,5.16749174185153,6.86686607143991,7.62763904149032,6.62379457704908,6.80766627010254,7.64937521439159,8.20949369281072,5.77739014403954,6.37543256586769,6.51281881405016,6.78196249741015,7.37764331778218
"SNX11",3.6503592430607,4.43752994892532,4.04653190093566,2.74844956905096,4.96563845944274,3.77220848017503,3.81842349905166,4.21161851810665,4.61176799905035,3.70221073880809,3.77738711625255,4.15130484282606,3.97917928606828,3.94103685897414,3.75964661910911,4.51504522582246,4.03547608712393,4.19180933632709,4.731753810445,4.42386290237823,4.93661944395222,4.77261394275217,5.20813438413571,3.94131335368525,4.19480654352786,4.44582979742493,3.93602914549991,4.13614570525929
"TMEM176A",2.4995669771623,3.26515176499744,1.24333836970728,2.77091679474197,3.51505861931978,3.27130293757279,2.09189116816059,2.47737605483066,4.71403249698486,3.37969502005643,3.52996633059336,2.31475247970062,3.61639705772441,3.06024586634472,4.45969028604187,3.15024862480976,3.03186924910394,2.74502957258628,4.04150825416163,4.00383117198006,4.38297620234602,3.75474896841382,4.0710135951437,2.46373925064571,3.99521379396233,3.79599476263627,3.18753229146726,3.67972861976048
"M6PR",4.54981530712065,3.42856224275811,3.29028198374011,4.4740437419289,4.52551171050947,4.0096057355552,4.27780208512248,4.66043668127968,3.86511860169352,5.09445378378512,4.73356200046662,4.75255293468146,4.1517301378747,4.0604714950229,4.35356920878835,3.86304113817143,4.65310350060778,3.93088142539843,3.61209363119609,4.0564392222745,3.81068676155098,3.08325549686085,2.5659519098169,3.94617166226824,4.7651496367311,4.43729748212301,3.91148957058406,4.1528176137096
"KLHL13",1.69258540848064,2.19619209740544,0.027395458381522,2.13737813368468,-0.839987390686885,2.36696102271314,1.44372871843796,2.58289588838365,1.59740917783812,2.01249954884796,2.71335452884743,2.46456835921073,1.54294932068098,0.902179815456952,1.71300073657523,0.713957128054551,2.40859500071857,1.15495807946662,2.03654924528497,0.897426500659751,1.91999708686918,0.639418496405799,0.666564471647832,2.02343022847777,3.08797587163674,1.56892930643038,1.88339680604622,1.21629231654481
"CYP26B1",0.693456190798174,3.04464311674468,2.61886354358879,1.54747213089695,2.49392244123199,1.58878745791923,2.83356426785802,2.32348664212647,2.10731098905176,2.14440314626601,0.062267759757867,1.51881050091788,2.34611539453429,1.52737819593513,3.14783185582237,2.03051120961126,2.3873697639846,2.40831136756169,1.96001842071455,1.95918654512195,2.49534966939728,2.95123002487874,3.61724143211662,4.40014167406014,3.6851632135206,2.25277419195553,2.33476806720609,3.00826659842507
"ICA1",4.65865871207748,4.03803912156748,3.20847348239631,4.97268341070175,4.22354589041824,4.35795859140141,4.65963983107342,3.92097826675534,3.68976556339267,4.97549948975328,2.68019202183234,4.55788112908895,4.38866380230724,4.48396881954154,3.4912093265885,3.80365060772909,4.84047456714099,4.80060198874666,3.52622769425375,3.60524654941982,4.08409928340623,3.11102312514907,3.62904290091468,4.68516423594204,4.0214308187134,3.40778625559629,4.05843003768934,3.83929983382926
"DBNDD1",4.55883143152632,5.29566798296721,4.71326316945853,4.20375365271923,5.98606661255286,4.37164838474188,4.46701025822386,4.67641927953055,5.86269536017476,5.15044424932795,3.80841210533541,4.30324852993263,5.37449895030094,4.92273234600509,5.20756152541003,6.13146322922718,4.80489672935684,5.12776032025593,5.38408611991262,5.48028038121222,5.66478134338848,5.75970084853129,6.10681043748664,5.46173683534439,4.22793366186693,5.07660124621157,5.39536397775297,5.52756252148715
"ALS2",6.37186783108493,5.8668081326778,5.81157628182111,6.21169227471928,5.79837231811524,6.48727745097501,5.84433908100388,5.81087765275304,5.84670389735537,6.29978037915347,5.98167544891192,6.08006275339301,5.38029404536403,6.16623503324611,5.18493905248991,5.30705625593193,6.29837764000674,6.00343272077722,5.32936294142217,5.60207339403704,5.4367211729532,5.13236544378801,4.67674131066909,6.05208688886855,6.00867679634413,5.43264110469203,5.77956430979633,5.61438522180961
"CASP10",2.75626121596024,2.73965498747003,4.24423129581656,2.17155498419152,3.51505861931978,2.96307986079033,2.7094194484274,3.01868461233649,1.53491127406873,2.871497145564,2.44378596470964,2.67904270084491,2.89183581920392,3.26135208882279,3.88523750012692,1.4926184935491,2.11778598583362,1.57660866772973,1.26720127382698,1.69289918997683,2.44452043443697,1.91884347434366,2.46421799793185,2.67748181290794,2.07817681090858,2.65720646792516,1.77874691781925,2.53551874564098
"CFLAR",7.40597621918894,6.55290498898105,7.78741113813998,6.83932640134864,7.23705028638898,7.23378711551987,7.75880001106272,7.70031467157666,7.01128118527497,6.6786536304723,7.25726149382329,6.44372649193595,7.40558460362937,7.75748476228618,7.04502207275882,6.66397658024281,7.3143002770392,8.0316325071613,7.3778483787116,6.65312803799477,7.40938587603749,6.78586897776424,7.36962779843631,7.52789748761162,6.38876823271405,6.30459784268072,6.10718710997506,6.7037400990157
"TFPI",1.78768704182213,1.63931776772971,3.31002927672973,3.30509930306007,3.1332980367083,1.58878745791923,3.10395035943329,2.36352506559045,1.92437440157966,2.68909726678891,2.25399316394244,1.79826820987741,3.15783474279219,2.93344727822053,2.39218770373793,0.530751136835641,1.35432146989592,1.19214663016025,0.573804715192085,0.986882906811597,1.21425039870607,0.296656163129349,0.361661531727322,1.71729633626439,2.10517161506359,1.36810594299573,1.40971096816043,2.6017802135648
