"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"QRICH2",0.0325276834098296,4.19673911738923,0.127286946477973,0.899537764660276,0.936594207244273,-6.41792129033492
"ZNF512",-0.0174000316869994,4.47483003902588,-0.127281386243633,0.899542128715928,0.936594207244273,-6.43977786709475
"PARD3",0.0181779189932502,6.6279746515571,0.126619354814338,0.900061759411872,0.936993661447355,-6.4751303607719
"AQP5",0.0744754865911195,0.73587227100916,0.126617686691817,0.900063068783716,0.936993661447355,-5.72101478150188
"EFCAB14",0.0275794636798331,7.03131070593014,0.125884544471469,0.900638567141607,0.937521272133221,-6.46073549287322
"ZNF786",-0.0320595258624868,3.36915161111764,-0.125752734668527,0.900742040371093,0.937557484449094,-6.32681682610208
"SYT7",0.0301438382075924,7.46931040802038,0.125615253910818,0.900849967294633,0.937593207876272,-6.44229569621921
"ZXDC",0.015183843590599,5.66740456683056,0.125534022761866,0.900913737326387,0.937593207876272,-6.48724515612959
"MAPK13",-0.0581129572209716,2.53383959741532,-0.12531279254964,0.901087416193388,0.93770246481968,-6.18369015700165
"P4HTM",-0.0207856402218933,6.18768018435304,-0.124782072818316,0.901504082968373,0.938027405995833,-6.48597232880314
"NEDD9",0.0295786519032841,4.26195409796963,0.124740008090972,0.901537109103247,0.938027405995833,-6.42390307228804
"ATP9A",-0.0159757147677302,9.18492462076136,-0.123936544485381,0.902167963980875,0.9386122491112,-6.35537854875461
"IL17RD",-0.0363538711709899,5.22944407104591,-0.123605648506758,0.902427792181302,0.938811017702521,-6.47883291485449
"DIABLO",0.0208820006776746,3.59006789684697,0.123451560129428,0.902548790160193,0.9388653395585,-6.35559110240344
"EWSR1",0.0166791213169069,6.47293518730026,0.123202314259622,0.902744515636442,0.938997381577188,-6.47996087858589
"NPIPA8",0.112738432687273,0.933139279189472,0.122930977918037,0.902957595162915,0.939102597273916,-5.77520504526447
"PCDHB6",0.0244140720094886,3.41471490831377,0.122898288423524,0.902983266609534,0.939102597273916,-6.32986125944694
"GIT2",0.0251525653871425,6.33909959433845,0.122614782323386,0.90320591176334,0.939262585370227,-6.48319028095889
"OSTF1",0.0300205720747242,2.40654014296063,0.122514985390644,0.903284286946349,0.939272531181356,-6.14661741098287
"ATXN7L1",-0.0203823094661283,4.47208069916665,-0.122153779653702,0.903567966908335,0.939484336285307,-6.4402410158393
"KAT2B",-0.0248198963144546,6.33549384567995,-0.122080359908106,0.903625630116468,0.939484336285307,-6.48373456738577
"IFIT3",0.0342149829771593,3.24855566143824,0.121941078928591,0.903735021610848,0.939525687678068,-6.30765120892514
"COX7B",0.0184463160487413,3.9742713684297,0.121854448015001,0.903803062630089,0.939525687678068,-6.39881012995598
"TRIM36",0.0520613821780931,2.69048506260954,0.121537020825207,0.90405238030363,0.93963082204193,-6.20576454714029
"ATP5L",0.0175154170470796,3.87090805756486,0.121489722658886,0.904089530677193,0.93963082204193,-6.38890735504823
"SHF",-0.0247642676326711,4.26402458692939,-0.12146275588337,0.90411071184606,0.93963082204193,-6.4254232540309
"COL18A1",-0.0206241062991394,6.04498123761376,-0.121046654352434,0.904437549633605,0.939898938142269,-6.48816961562559
"ZBTB9",0.0697329210829869,1.63910657398426,0.120705041222103,0.904705891266744,0.939902323186451,-5.9654920524168
"AIMP1",0.0195933009214277,3.68108884975804,0.12068628188,0.904720627309139,0.939902323186451,-6.36709701081397
"MOCS3",0.0212417354345832,2.12525179845621,0.120609232622061,0.904781152241069,0.939902323186451,-6.08276723392779
"RIMBP2",0.0374032631386061,7.16809320018741,0.12059000642962,0.904796255189395,0.939902323186451,-6.45579773070352
"PTBP1",0.0179688568627278,5.30916043428997,0.120493510513531,0.90487205716264,0.939902323186451,-6.48084653995279
"NOS3",-0.0435620158801349,4.08818140794901,-0.120456075943485,0.904901463981312,0.939902323186451,-6.41160841870099
"PCDHGB1",-0.0268685479172033,4.61232350821502,-0.120428905144515,0.904922808155043,0.939902323186451,-6.44944647451841
"PUM1",-0.013977213689915,6.4090125443061,-0.120309390551634,0.905016694370179,0.939928317595142,-6.4821266430231
"TSPYL1",0.0306808546818014,6.95869017685541,0.120058774172465,0.905213573789803,0.940061266146592,-6.46427861857238
"ZNF558",-0.0229729445062387,4.20261674372052,-0.119732582704712,0.905469832702966,0.940255855184138,-6.42007337161648
"MDFIC",0.0372189396466707,3.31019477795975,0.119585817083065,0.905585136448809,0.940304055418092,-6.31730187471921
"NPM2",-0.0247047835182152,3.3267405365338,-0.119406841043761,0.905725748550165,0.940378524964612,-6.3227055028205
"LRRC32",0.047502918679591,3.34552380100922,0.11893784341645,0.90609423012261,0.940689552872955,-6.32523586726429
"GPR34",0.0618892327645492,1.15088980310339,0.118332578813145,0.906569805130144,0.941111707356184,-5.82454876354245
"ZNF740",0.0164717025625528,5.38182661676575,0.118012575373388,0.90682125588665,0.941231207216392,-6.48309286213204
"INHBA",0.0641117538219926,2.16526081045298,0.117928547055243,0.906887284877834,0.941231207216392,-6.08876689758809
"CEP152",-0.0315325996259361,3.35472751662356,-0.117922822847902,0.906891782953113,0.941231207216392,-6.32418648822471
"TDP2",-0.0165196123699829,3.66280985070166,-0.117734297342122,0.907039927819889,0.941313389701321,-6.36634705685298
"PCDHGC4",0.0189699353162768,3.86899129985736,0.117442777823961,0.907269012892449,0.941465575948525,-6.38826941657759
"EDN1",0.0412762477223293,2.96801906458975,0.117372148782561,0.907324516600941,0.941465575948525,-6.25860843857728
"SLIT3",-0.0328692307294241,6.72547527564864,-0.117113598258364,0.907527702125764,0.941604829280684,-6.47322439773133
"SERPINE1",-0.0543754500468242,2.32710735435538,-0.116699108595007,0.907853447832895,0.9418712140244,-6.13306291638337
"RNF24",-0.0254085577401379,5.82365351347679,-0.116289428209442,0.908175429926386,0.942063622740758,-6.48977337331161
"CX3CL1",0.0441991638284718,5.98823349862605,0.116287508688497,0.908176938582097,0.942063622740758,-6.48892317558455
"PCSK2",0.0437276574308254,4.93041168248868,0.116182987843443,0.908259087712594,0.942077245233808,-6.46658556239466
"FAM168A",0.0167413512201012,8.3668213704838,0.11592787510314,0.908459600264843,0.9422136268988,-6.40105613285037
"ZNF564",-0.0355810030173375,3.21903747830556,-0.115397378344953,0.908876577689638,0.942574478457952,-6.3014969844829
"HSPA1L",0.035077192683417,2.05898061839827,0.115149483528497,0.909071435311554,0.94263815069942,-6.0648004332691
