"SYMBOL","ENTREZID"
"KANK2","25959"
"PRELP","5549"
"HSPB1","3315"
"PIK3R5","23533"
"AEBP1","165"
"GFAP","2670"
"TCEA3","6920"
"CCDC102A","92922"
"KLF15","28999"
"HSPB7","27129"
"NUPR1","26471"
"ADAM33","80332"
"TMPRSS5","80975"
"PRX","57716"
"CLDN9","9080"
"MRGPRF","116535"
