"","AD-21","AD-20","AD-23","AD-22","AD-26","AD-24","AD-27","AD-25","AD-29","AD-31","AD-28","AD-30","HCO-18","HCO-11","HCO-19","HCO-13","HCO-15","HCO-16","HCO-12","HCO-14","HCO-10","HCO-17","HCY-2","HCY-4","HCY-6","HCY-8","HCY-9","HCY-3","HCY-5","HCY-7"
"RFWD2",5.22683076104667,5.27218584688909,5.36061496046323,5.05889570828925,5.18569281791315,5.38759316980477,5.2203230551047,5.31000745505096,5.20444933561588,5.2947733092426,5.46807465712017,5.21810972093163,5.4197904537065,5.15267460987298,5.15984050245964,5.31682818929267,5.44753857087433,5.36084041595596,5.65186475675689,5.02649353795196,5.61024328119698,5.43554168240329,5.36455080587136,5.46526937872627,5.46878914599601,5.56224796082091,5.41993980291611,5.32743680717429,5.19894028493717,5.28364642780449
"LIN9",2.2712207583496,1.99350674131506,2.07134100378793,0.890666933195144,2.23130236522577,1.88137643630129,1.65191566666846,1.52675188436952,1.09489193189206,1.96785184320113,2.00475899610837,1.78309328072405,1.05212396764153,1.43805765979466,2.22034711508983,1.12300330361066,1.50018070655574,1.68072321789272,1.85436564516557,1.29295894054528,2.2129609843099,1.5923507369606,1.86639244696953,1.65437092778503,1.98727327005361,2.12878100787275,1.48348426849924,0.71275290906702,1.11011151987169,1.07303200897373
"PRKCZ",6.34944579022456,6.809828834394,6.18736473227105,6.45440421820436,6.69640122292959,6.98486893926732,6.39765080612917,6.4568971069566,6.85628772740489,6.72480064672229,6.24487185265931,6.48955280534349,6.40218201434574,7.01761619965481,6.1546403065805,5.99528738400477,6.56163468903535,7.11000423796161,6.62188732301812,6.22956909505729,6.76504450882668,6.43869734296159,6.96238485035864,7.15832787471189,7.00232854668583,6.14894264401587,6.79816466097574,6.32604302036001,6.41164967983515,6.92131136417297
"PRDM16",5.64887257126396,5.16732251768904,6.15497814406303,4.85791891187248,5.80439620562053,5.57496818595986,6.4421691183136,4.56148637296978,5.75785514778876,5.94274429502962,5.40855731341074,5.66331671088085,5.44204139372007,5.48127797700283,6.43938726272547,5.97499227563163,6.03501305466904,4.70857608889648,4.81197083299993,5.91559482862835,4.81152571307787,4.84741660349609,5.26713007924848,5.13081742492629,4.88632909145359,3.19614969242039,5.61511899144205,4.56086002553364,4.39386788791514,4.87879551589558
"ICMT",5.65914336854682,5.75337956257962,5.93802299831765,4.97337130489316,5.87728596189075,5.80801574970208,5.75431486269197,5.35861703056406,5.45066038251143,5.79679573858328,5.78130822466254,5.29738316659,5.19075913326736,5.73047121084173,5.34025786971205,5.44883011632579,5.46011631468763,5.34118203622432,5.56467316191491,5.45423149270384,5.50613180021537,5.5915098851083,5.59995421002299,5.92732250011428,5.64613936304598,5.99674146355159,5.38516829207627,5.46638632302769,5.40954937586071,5.13750967482712
"CAMTA1",7.47766648117943,7.5470103382624,7.05500590835446,6.76457283083161,7.36833919990079,6.54282183468736,7.09409677221432,6.33008605996754,7.08037198445732,7.50613147528475,6.66166643769192,7.608251124723,7.37285100731389,7.78111938941519,7.514428429688,7.10126276030948,7.43035460567321,7.817153699439,7.71692281017238,7.4609774039672,8.06468392605246,7.56912000546114,7.91380868557821,8.01386578157842,8.15749353069815,6.16065237045478,7.65109081199215,6.21923507863289,6.66933581586794,7.19324621544948
"C1orf159",4.05805022770015,3.68110120360085,3.781087973152,4.21358131371522,3.84026143100643,3.86714390890377,4.05923469281212,4.30043642819018,4.18384611260523,3.97711393628258,3.95901768530174,4.01141011741608,3.88645821327079,4.81389788009944,4.5002080296901,4.48663242422422,4.59856041223591,4.0790421454429,3.1456420091531,4.56250707295908,3.671365366993,3.52295030043994,3.62943419282775,3.64366657791284,3.7783439831869,4.19003340054729,4.66165570947786,4.31897821785961,4.22288009299902,4.03896948497664
"PINK1-AS",2.39928202555486,2.05012005229328,2.61919088134028,2.04542066642279,2.18238507785809,2.83087274891699,2.7058742923696,2.86779783968766,2.31217277862092,2.34449187762848,2.2139214149356,2.25497213087043,2.17414359619457,2.71034378236349,2.42730591393877,2.5688478898927,2.78224313100722,1.82923239473046,2.23929761676302,2.55523045948088,2.09574077747732,1.56004643683192,0.917869107671601,1.48489078080632,1.28713465518384,1.98564890088413,2.70806050387526,2.77474199930327,2.12894119256908,2.39393200555591
"EPHB2",4.75769771848302,4.36150195885895,4.74255495434217,4.49846785656244,4.65551001772781,3.67186432369266,4.348352576955,4.27533591864699,4.80044846095878,5.13626446119787,4.16727417214076,4.73551218408188,4.37178416945393,5.34110804954474,4.4536397201546,4.29878826978544,4.8901219876067,4.70473520373987,4.42820815747901,4.65599120662959,4.31501014891893,4.08493352338675,4.50095491035167,4.51699550849746,4.74175027838705,4.6876498879695,4.83485239712916,5.20657169272111,4.68114876551387,4.3409566124333
"PINK1",6.54211756684848,6.77140932980297,6.66201882372088,6.5472146633151,7.05679423526666,6.92555276119974,6.95723299220507,6.49000331230636,7.09854328429418,6.8961233644002,6.59114116250594,6.52950364175533,6.81120159201229,7.22545842445246,6.6884472446161,6.85302820269121,6.78502478528192,7.26345027550494,6.87932245918114,6.53863905467374,7.00256766139289,6.66154001000812,7.0324289632447,7.12265306899192,6.96055926228774,5.96083468762238,7.00697600265227,6.2172180140967,6.18415832532175,6.94874097505835
"USP48",6.06464088020987,6.20991783098835,6.09819537951922,6.51057891848004,6.4252848309812,6.46307001071621,5.80701089516205,6.39415593708106,6.21797003463348,5.92899358037024,6.3064945079932,6.16821716329343,6.32179899871705,5.71609612127711,6.07419574721189,6.13380888873154,6.06496576909287,6.13955046157135,6.44886152310793,6.26791507824787,6.25856805823161,6.23636838624295,6.26052027180286,6.23725338600179,6.27221830946093,6.64919911089573,6.02958574649951,6.43071765938396,6.60909962631745,6.37774868528857
