SYMBOL,metap,metafc,idx,k_valid,FDR
RAMP1,1.6359466378351088e-79,0.8064801920774066,63.539534602252644,3,1.6964766634350078e-76
COX8A,4.3363173936979494e-131,0.4346208498007049,56.658425226251154,3,8.993522274529547e-128
ZNF891,2.4940290776488642e-58,-0.6353100100441021,-36.59582507862038,3,5.7473514522708275e-56
TAC1,5.046598757529991e-17,-1.5293662503915832,-24.924083653908937,3,2.2460613354328755e-16
OCIAD1,1.9181287822285354e-42,-0.5917172675529144,-24.68474158076177,3,1.729651780148688e-40
AP3S1,7.633264686314877e-40,-0.6189139094870666,-24.210234683169677,3,5.459100330833468e-38
ABCA5,6.284402126170123e-34,-0.726163861885875,-24.109900859124526,3,2.4136759277179322e-32
RNPEPL1,1.8289814576216148e-37,0.6381691404113462,23.444924309983037,3,9.483268857768074e-36
UTP15,7.057853023278089e-39,-0.6005709727731231,-22.91257980312356,3,4.574370990712111e-37
NDUFA5,1.7882381912686233e-34,-0.6571403935344067,-22.176894475925028,4,8.062621758024184e-33
PPEF1,4.2347603381591256e-18,-1.267538889265626,-22.021170079072878,3,2.1793779010774257e-17
PYROXD1,1.2437727417141951e-29,-0.7572369630211241,-21.888130514247955,3,3.307159828609283e-28
GLMN,2.5458896372360874e-30,-0.733663719062326,-21.712161801161773,4,7.543107296610922e-29
CLIP2,3.766786582155652e-36,0.5960412435458124,21.114182287783233,3,1.8600750884263864e-34
CRB2,1.2017270650293298e-28,0.7493926811191994,20.92318915715787,3,2.8004291380571124e-27
GUF1,8.811436480881486e-43,-0.49727131365973176,-20.912721865996886,3,9.137459630674101e-41
NDUFB5,4.5880112127854205e-34,-0.6267194864440566,-20.89380959065432,3,1.8299106260224928e-32
CERS1,7.268287844735682e-28,0.7657690383217644,20.781875028225986,4,1.554064844328021e-26
ATR,2.1779179153432207e-43,-0.4862603054891133,-20.744816969384086,4,2.377369345485179e-41
VPS50,1.0484556199210361e-42,-0.4913968126233809,-20.62856790015999,4,1.0354747408172518e-40
DHX36,2.7054592178148725e-34,-0.6081352342204978,-20.41373698674055,3,1.1451270240302133e-32
TMX3,1.333615438181339e-35,-0.5780301903805801,-20.15878519351974,3,6.432368415786272e-34
GYPC,1.7212742767111482e-26,0.7792324353938255,20.07626128913384,3,2.9999351679822866e-25
ADCYAP1,4.912937441914581e-16,-1.305475251187566,-19.9850751476898,3,1.944548140177641e-15
FOXJ1,2.8457913142535293e-12,1.7268488047302575,19.937845663610094,4,6.6766642372871266e-12
HSPB1,2.3833750684590856e-19,1.0672908017704965,19.875951263106213,4,1.5360217036853547e-18
TSPAN4,1.9249663800728308e-27,0.7305911526537628,19.518164085477405,3,3.952851754723813e-26
TSNAX,5.680587035200681e-30,-0.6641517990796141,-19.423522359256296,3,1.6363246543064183e-28
AP1B1,1.2620062292459363e-66,0.2943233259479364,19.39559475617493,3,5.234801838912144e-64
CHML,5.603133324454884e-26,-0.7575317512525283,-19.12886531942339,4,9.008448461177853e-25
NLK,1.4399475534640426e-37,-0.5023263338050266,-18.506532646425388,3,7.657567245857498e-36
MAS1,7.285918957640143e-13,-1.5091999700071526,-18.317938275752205,4,1.874813389348096e-12
CD37,5.022639583611036e-23,0.7934343944907809,17.692847504373713,3,5.453902877701198e-22
DNAJB14,6.130753616844156e-30,-0.5990340254727025,-17.49927316470012,3,1.7182679731533486e-28
MT1F,1.548479364270067e-16,1.1035480638330892,17.447199260428135,3,6.527532929870161e-16
RAB3IP,1.6332869983586716e-39,-0.4465607495590107,-17.32072388090346,3,1.129145744865295e-37
SELPLG,3.9311128150852607e-23,0.7693697205373978,17.238101342589708,3,4.313824327241709e-22
MFSD8,1.372727234629698e-33,-0.5225797126311116,-17.17323177895633,3,4.99480049933683e-32
TGFB1,9.354529753566364e-25,0.7083782409576312,17.0216051955106,4,1.2934196472597759e-23
RFX1,1.0516213819090019e-32,0.5303125223149141,16.958408396421717,3,3.6351045767987837e-31
MDGA1,9.021879831996685e-22,0.8052306033889995,16.945838864102175,4,8.316168342916056e-21
ZNF540,5.804209145066422e-26,-0.6695792757631821,-16.89767464945863,3,9.25994597451366e-25
ARHGEF10L,8.95849317494878e-37,0.4683490844894749,16.882937751023288,4,4.531686547522871e-35
LYRM9,2.842692805890547e-17,-1.016205522835587,-16.814411027036037,3,1.3130834920750544e-16
ACSL3,1.7196953909493213e-31,-0.5456713324539078,-16.78733215744752,3,5.4040124861043825e-30
LRP5,5.536213508549917e-23,0.7542196627605506,16.78650651297072,4,5.858217763639044e-22
DDR1,1.886514633877113e-15,1.1396717596840134,16.780914274651707,3,6.828326964504594e-15
DPY19L2,2.883254314461279e-25,-0.6816999627796291,-16.728996879202278,3,4.302064351217765e-24
PPP1R2,4.593545453100187e-27,-0.6317170304622229,-16.638069642776244,3,8.821308583083136e-26
SCOC,3.1938274946244272e-27,-0.6257851776751994,-16.58060916358889,3,6.333143312588706e-26
ASAH2B,2.8250821483769025e-21,-0.8027901669248013,-16.49651018873528,3,2.4211654445180562e-20
GPCPD1,2.1371233535164623e-26,-0.6409283510978986,-16.452739993211374,3,3.6393203626401783e-25
SCAND1,3.8768929292160576e-60,0.2729872400993979,16.218585835656686,3,1.0050844918992629e-57
SMIM14,6.982395597207731e-29,-0.5732187347916871,-16.139544145555632,3,1.7037045257186864e-27
BCAT1,1.2513481343418186e-27,-0.5993638490454044,-16.124458981157513,4,2.648261255739726e-26
RAVER1,1.8546617066958336e-32,0.507665009881529,16.109091712014692,3,6.305849802765834e-31
UBLCP1,1.899231439925578e-24,-0.6772538947217709,-16.06542551166484,5,2.4618787540035306e-23
CDH23,2.789853597381401e-21,0.7807253773281203,16.04735620671914,4,2.4018634434328263e-20
GDAP1,7.127837744263655e-27,-0.6119446924528582,-16.00054369456771,4,1.2744082311726571e-25
GAREM2,5.968155626387799e-18,0.9239624944025651,15.914477708852631,4,3.004357953671916e-17
DPP8,1.419745761636969e-35,-0.4532642650721815,-15.795257660456933,3,6.692165249170621e-34
BCL9L,3.50412904735767e-27,0.5901781441066127,15.613410623069809,4,6.856192117188498e-26
ADAMTS2,5.5113184227933715e-18,0.9030011986960371,15.584666968223274,4,2.801586864919964e-17
ZWILCH,4.4549168180946235e-21,-0.7651581278301863,-15.571855791347394,3,3.620640553584472e-20
PLXNB2,6.9887155726008285e-31,0.5160975971167052,15.563234059077535,4,2.1315582496432527e-29
PAK4,8.78059355760516e-30,0.5347935586253602,15.53921626816997,3,2.396177768220145e-28
AIFM3,1.2145847385063426e-18,0.8664325610340184,15.52263508645786,3,6.939528230474255e-18
COX6B1,2.432908865768045e-73,0.2124927139824253,15.429919192820687,3,1.681950995867642e-70
FZD9,6.887169843525006e-20,0.8039211882997117,15.404705015687366,3,4.667970671722504e-19
CNNM3,1.859787189658962e-31,0.5006731472562989,15.385954550528565,3,5.757012882615951e-30
TRIP10,1.094402678259864e-15,1.0188964921511237,15.243529924414599,3,4.082358191926184e-15
C5ORF22,1.5188744521146144e-25,-0.6125186879234266,-15.201781656024234,4,2.368530536605797e-24
FGF9,5.309818606213308e-14,-1.1414382104197807,-15.152501287834614,3,1.5937140071326194e-13
LIG4,4.367278320026601e-25,-0.6215285644778598,-15.1403047691187,3,6.29009391370498e-24
HSPB2,1.138957791105666e-23,0.656800294830547,15.0692925532161,3,1.342158215200654e-22
PCYOX1L,2.0002625175508651e-16,-0.954896054329987,-14.99083008394426,3,8.347171954528157e-16
DYNC2LI1,2.4060019825909837e-24,-0.6340405435735414,-14.975215934791258,4,3.0163875778450455e-23
FASTKD2,1.5507733068730207e-27,-0.5569558257863213,-14.931680300993708,3,3.2163038384546444e-26
TRAPPC13,6.681660324804484e-27,-0.5701937933515265,-14.924888458994438,4,1.2263507534198672e-25
SMOX,3.497819131038117e-21,0.7275425261685766,14.882757352698736,3,2.9134445292261266e-20
KANK2,3.6823462665538483e-19,0.7947954665588948,14.651160579455336,4,2.286582681686432e-18
WFIKKN1,5.534823544396703e-16,0.9551863765892137,14.573179418664694,3,2.1782208787625734e-15
LRRC8B,3.629216117275195e-24,-0.6205846933852199,-14.54662136722653,3,4.45384273800518e-23
NEUROD6,3.9702154306942543e-13,-1.1726657906066311,-14.54244649958578,5,1.058383907874021e-12
ALOX15B,3.186882221499104e-12,1.2574252615505808,14.456157997517563,3,7.409858438777066e-12
PCSK1,1.8964929403969136e-10,-1.4869169829947566,-14.455879425019063,3,3.4716031406736087e-10
PIEZO1,3.5178265795058545e-25,0.5906880404155725,14.4445232401882,3,5.1744484580816616e-24
TSPAN33,2.287826237038854e-24,0.6106912459207158,14.437093400294167,3,2.893263180255234e-23
PRELP,3.845526714109815e-18,0.8256086803833691,14.378011633816556,4,1.9989028584119692e-17
TCEAL7,3.661206809106613e-24,-0.6119159866267442,-14.341092983046035,4,4.466672307110068e-23
OBSL1,1.3362413322940308e-42,0.3421301600865679,14.326397702264062,3,1.259711146899009e-40
PSMD12,1.4936164687489642e-27,-0.5330609250140196,-14.299764923003943,3,3.1290510668538904e-26
LRP4,2.922972059915499e-22,0.6621552095554574,14.258966382182399,4,2.886782882030831e-21
MACROD1,3.2062683115805885e-27,0.5381592182620971,14.257990402472721,3,6.333143312588706e-26
EMP3,1.3420467724457422e-20,0.7152803902700438,14.214218109454421,4,9.940732164473106e-20
MAK16,1.3276606992467191e-24,-0.5951876229989744,-14.211243033697347,3,1.788031357297205e-23
UBE2V2,6.191364560593124e-24,-0.606979878048066,-14.086918674638337,3,7.509292455362654e-23
FAM162A,9.856252185829379e-25,-0.5854757312985845,-14.055099135568954,3,1.3479909903351308e-23
SOWAHB,6.438537990840438e-13,-1.1452172639537104,-13.961587295392281,3,1.6754740016315017e-12
PRKX,1.0017773227651e-15,0.9294805838192677,13.941491945264795,3,3.757117843426433e-15
OPA1,3.242647757425181e-26,-0.5460643132859574,-13.918688010825708,3,5.337501149920496e-25
SLC6A12,5.36714067007843e-15,0.9702582256292127,13.845834257363013,3,1.8429552565799114e-14
NEAT1,1.9948406386587772e-13,1.0870074646490304,13.805094580683527,3,5.538553526878585e-13
PLEKHH3,2.2523202605036122e-24,0.5827038748785657,13.779414046070613,3,2.865835717965946e-23
VPS13A,1.424652128901869e-23,-0.6005679770967697,-13.720750871288221,3,1.6415158418569311e-22
ID3,4.0577391611848026e-20,0.7075234573391103,13.720093858655844,4,2.8431591284788112e-19
UCHL5,5.132209210146046e-25,-0.5627581382649092,-13.66922390205343,3,7.340828897822689e-24
PPIP5K2,6.870741676216092e-27,-0.5218470345668682,-13.653082076081516,3,1.239123324910624e-25
SLFN5,4.2422616814550603e-19,-0.7429425622606673,-13.649639822253315,3,2.5877796256875866e-18
MICU3,2.9166715526034017e-21,-0.6629968237192737,-13.614714345097562,3,2.4690517551426347e-20
APLN,1.2679212806038243e-14,0.9784466334985762,13.59738256387493,3,4.1477424857607754e-14
RPH3A,1.8774074715297085e-13,-1.0670241189243352,-13.579419983873828,4,5.233525666602978e-13
MRGPRF,6.374147613347385e-13,1.10845317620304,13.51822704037232,3,1.6628908364883618e-12
FANCM,5.52626378425413e-26,-0.5267861965025304,-13.30533838444723,4,8.95427428792427e-25
PPP1R1A,3.933841686955522e-18,0.7619191081756724,13.261341601764961,3,2.0354717119638045e-17
SEC22A,1.6815870141322104e-26,-0.5134918089232373,-13.234881997279155,3,2.955602938398478e-25
CSNK2B,2.546319387586067e-22,-0.6124214231637626,-13.224681567937298,3,2.5512398115234316e-21
AEBP1,8.874196110721815e-15,0.9362270940094986,13.155742331172805,4,2.978168727125736e-14
CROT,6.09444461145318e-20,-0.6841253532454191,-13.145513722956363,3,4.1853901073357274e-19
TRAPPC6B,2.741831381479883e-22,-0.6038278436880959,-13.019711363956556,3,2.7208412847795584e-21
TXNDC9,2.99046223499059e-27,-0.4908418416158051,-13.01921744938124,3,6.021571529485907e-26
EFNB1,6.428001079076412e-20,0.6766448193533711,12.986115987947796,3,4.385419157238316e-19
PHGDH,1.646914695603773e-25,0.5239394025607542,12.984962534805364,3,2.5490306557330038e-24
SGTB,5.442130137837052e-23,-0.5817231984401249,-12.95161971300033,3,5.848175080763755e-22
HOMER3,9.195067996162238e-24,0.5618608374259025,12.943276309845519,4,1.0897469156594563e-22
SMO,2.847348276521501e-19,0.6943488086969862,12.877087081841033,4,1.78951525015321e-18
CCDC102A,1.8600427260773648e-13,1.0103888233780989,12.862731757614151,4,5.192097730665484e-13
TIPRL,9.87920108635197e-25,-0.5342808273491146,-12.825559883884122,4,1.3479909903351308e-23
BTF3L4,5.56699953326863e-23,-0.5762050094113046,-12.823084554599653,3,5.860891894415807e-22
PYGM,1.499007108714367e-13,0.9983665419623652,12.803248521065095,3,4.2241042710239096e-13
CARTPT,2.5012225677672413e-9,-1.4869416499282,-12.790445554173118,3,3.999641947223792e-9
UCKL1,2.6343759447169418e-23,0.5634832784323196,12.723070525055938,3,2.9693998420342053e-22
CDK2AP1,3.476309614021869e-18,0.725459996721919,12.665720152393543,4,1.839251566194223e-17
RRAS,4.923214522876837e-18,0.7299895475524059,12.6344774968222,3,2.5087830271367465e-17
