"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031253","cell projection membrane","27/612","370/19979",0.072972972972973,2.38223370429253,4.77062364677178,3.10233136426729e-05,0.00044778933842726,0.00044778933842726,"SLC12A5/GABRG2/GAP43/GABRA4/GABRA3/THY1/GABRA1/PACSIN1/MC4R/MCHR1/AKAP5/SHANK2/GPR88/NDRG4/PAK1/HPCA/CNGB1/CACNG8/KCNC2/SLC26A4/LAMP5/SLC3A1/ROBO2/HCN1/GRIA1/ATP2B2/ICAM5",27
"GO:0016342","catenin complex","7/612","31/19979",0.225806451612903,7.37154754374868,6.31097753810452,3.38803787987986e-05,0.000471245268746926,0.000471245268746926,"CDH13/CDH7/CDH22/CDH12/CDH8/CDH18/CDH9",7
"GO:0044298","cell body membrane","7/612","31/19979",0.225806451612903,7.37154754374868,6.31097753810452,3.38803787987986e-05,0.000471245268746926,0.000471245268746926,"KCNB2/ATP1A3/THY1/HPCA/KCNC2/GRIA1/RGS8",7
"GO:0098992","neuronal dense core vesicle","7/612","32/19979",0.21875,7.14118668300654,6.18029255988017,4.22288024635695e-05,0.000576875605082691,0.000576875605082691,"TAC1/SST/IGF1/CADPS/SYT5/SCG2/SYT4",7
"GO:0098686","hippocampal mossy fiber to CA3 synapse","8/612","46/19979",0.173913043478261,5.67746518897414,5.64577655211337,6.911538105913e-05,0.000927601166846218,0.000927601166846218,"PPP3R1/PRKAR1B/SLC30A3/SYT1/YWHAZ/CALB1/C1QL3/GRIK2",8
"GO:0019897","extrinsic component of plasma membrane","12/612","105/19979",0.114285714285714,3.73090569561158,4.98745797409335,8.91967874055159e-05,0.00117647486836586,0.00117647486836586,"CDH13/CDH7/CDH22/CDH12/CDH8/GNG2/CNKSR2/CDH18/SNAP91/STXBP1/CDH9/GNG3",12
"GO:0030135","coated vesicle","23/612","326/19979",0.0705521472392638,2.30320481976021,4.21723293605577,0.000193625466715453,0.00251056749215799,0.00251056749215799,"GAD2/ATP6V1A/KIAA0319/ATP6V1H/SLC30A3/SLC17A7/SYT1/GAD1/PACSIN1/CLVS2/NCALD/NECAP1/RAB27B/ATP6V1B2/SLC32A1/SNAP91/NRGN/AP1S1/ATP6V1G2/STEAP2/GRIA1/RAB3A/SH3GL2",23
"GO:0032281","AMPA glutamate receptor complex","6/612","29/19979",0.206896551724138,6.75422582826234,5.51232722186708,0.000209787979963874,0.00263094761757973,0.00263094761757973,"OLFM3/GRIA3/NRN1/CACNG8/CACNG3/GRIA1",6
"GO:0099523","presynaptic cytosol","6/612","29/19979",0.206896551724138,6.75422582826234,5.51232722186708,0.000209787979963874,0.00263094761757973,0.00263094761757973,"SYT1/STXBP1/CALB1/CALM3/PRKCG/SH3GL2",6
"GO:0044305","calyx of Held","5/612","19/19979",0.263157894736842,8.59090127278982,5.8845114770181,0.000215909705778732,0.0026640471761408,0.0026640471761408,"CPLX2/CPLX1/CALB1/CALM3/PRKCG",5
