"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04082","Neuroactive ligand signaling","39/281","199/9423",0.195979899497487,6.57195228813105,13.9276672203673,1.47838255517631e-21,5.20390659422061e-19,5.20390659422061e-19,"CHRM3/SLC1A6/GABRG2/TAC3/GRM8/GABRA4/GLRA3/TAC1/GABRA3/PLCB1/SLC17A7/GABRA1/MC4R/HTR3B/GABRB3/GLRB/HTR2A/OPRM1/GRIA3/GRIN3A/GRIN2A/GNG2/SLC32A1/GRM7/CHRM4/CHRNA7/GRIN2B/GABRB2/GRM1/CHRM1/PRKCG/HTR5A/SLC17A6/GNG3/GRIA1/GABBR2/HTR2C/GABRD/GRIK2",39
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","49/281","371/9423",0.132075471698113,4.42899348687303,11.8136865544882,3.64022923860356e-19,6.40680345994227e-17,6.40680345994227e-17,"PTH2R/CHRM3/RXFP1/GLP2R/GABRG2/TAC3/GRM8/GABRA4/GLRA3/TAC1/MAS1/GABRA3/MCHR2/SST/GABRA1/NPY2R/MC4R/GPR83/MCHR1/CCK/GABRB3/GLRB/HTR2A/OPRM1/GRIA3/GRIN3A/PTGIR/GRIN2A/CNR1/GRM7/CHRM4/CHRNA7/VGF/GRIN2B/VIP/GABRB2/CCKBR/GLRA2/GRM1/CHRM1/ADCYAP1/NPY5R/PTGER3/HTR5A/GRIA1/GABBR2/HTR2C/GABRD/GRIK2",49
"Human Diseases","Substance dependence","hsa05033","Nicotine addiction","17/281","41/9423",0.414634146341463,13.9042617828313,14.5171538788238,5.74403864644462e-16,6.73967201182836e-14,6.73967201182836e-14,"CACNA1B/GABRG2/GABRA4/GABRA3/SLC17A7/GABRA1/GABRB3/GRIA3/GRIN3A/GRIN2A/SLC32A1/CHRNA7/GRIN2B/GABRB2/SLC17A6/GRIA1/GABRD",17
"Organismal Systems","Nervous system","hsa04721","Synaptic vesicle cycle","20/281","79/9423",0.253164556962025,8.48957160232443,11.719476413004,8.60381032135159e-14,7.5713530827894e-12,7.5713530827894e-12,"ATP6V1A/SLC1A6/CACNA1B/ATP6V1H/SLC17A7/SYT1/DNM1/NSF/CPLX2/ATP6V1B2/SLC32A1/UNC13A/STXBP1/CPLX1/ATP6V1G2/SLC6A7/STX1A/SLC17A6/RAB3A/SNAP25",20
"Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","23/281","116/9423",0.198275862068966,6.64894465578599,10.7323680803528,3.157454164406e-13,2.22284773174183e-11,2.22284773174183e-11,"SLC1A6/PPP3R1/GRM8/PPP3CB/PLCB1/SLC17A7/GLS/SHANK2/GRIA3/GRIN3A/GRIN2A/GNG2/DLGAP1/GRM7/KCNJ3/GRIN2B/GRM1/PRKCG/SLC17A6/GNG3/GRIA1/GLS2/GRIK2",23
"Organismal Systems","Nervous system","hsa04727","GABAergic synapse","19/281","89/9423",0.213483146067416,7.1589027949938,10.2345453850475,9.80249475292719e-12,5.75079692171729e-10,5.75079692171729e-10,"GAD2/SLC12A5/CACNA1B/GABRG2/GABRA4/GABRA3/GLS/GABRA1/GAD1/GABRB3/NSF/GNG2/SLC32A1/GABRB2/PRKCG/GNG3/GLS2/GABBR2/GABRD",19
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","30/281","254/9423",0.118110236220472,3.96068596407655,8.38595095625398,8.62812036735251e-11,4.3387119561544e-09,4.3387119561544e-09,"CHRM3/CACNA1B/PPP3R1/FGF9/PPP3CB/PDE1A/PLCB1/NOS2/PDE1B/HTR2A/GRIN3A/GRIN2A/CACNA1E/CAMK1G/CHRNA7/PDGFD/GRIN2B/CCKBR/GRM1/CALM3/CHRM1/PTGER3/PRKCG/HTR5A/MET/RET/HTR2C/PTK2B/ATP2B2/ATP2B3",30
"Human Diseases","Substance dependence","hsa05032","Morphine addiction","17/281","91/9423",0.186813186813187,6.26455750655039,8.84706680175201,1.13572142661908e-09,4.99717427712394e-08,4.99717427712394e-08,"CACNA1B/GABRG2/GABRA4/PDE1A/GABRA3/GABRA1/GABRB3/PDE1B/OPRM1/GNG2/SLC32A1/KCNJ3/GABRB2/PRKCG/GNG3/GABBR2/GABRD",17
"Organismal Systems","Nervous system","hsa04723","Retrograde endocannabinoid signaling","20/281","149/9423",0.134228187919463,4.50118225895054,7.55228566912342,1.55690273074877e-08,6.08921956915074e-07,6.08921956915074e-07,"CACNA1B/GABRG2/GABRA4/GABRA3/PLCB1/SLC17A7/GABRA1/GABRB3/GRIA3/CNR1/GNG2/SLC32A1/KCNJ3/GABRB2/GRM1/PRKCG/SLC17A6/GNG3/GRIA1/GABRD",20
"Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","14/281","115/9423",0.121739130434783,4.08237660529166,5.83056356080694,7.59802092725798e-06,0.000267450336639481,0.000267450336639481,"CACNA1B/PLCB1/CYP4X1/CYP2C8/HTR3B/GABRB3/HTR2A/GNG2/KCNJ3/GABRB2/PRKCG/HTR5A/GNG3/HTR2C",14
"Environmental Information Processing","Signaling molecules and interaction","hsa04519","Cadherin signaling","29/281","404/9423",0.0717821782178218,2.40712976991649,5.06815328807474,9.76055186088026e-06,0.000312337659548168,0.000312337659548168,"PRICKLE1/GABRG2/GABRA4/GABRA3/CDH13/GABRA1/CDH7/CDH22/CDH12/PCDH11X/PCDH11Y/YWHAZ/GABRB3/SCN2B/CDH8/WNT10B/CDH18/PCDH7/YWHAG/SCN3B/GABRB2/WASF1/PCDH19/PCDH8/CDH9/MET/PTK2B/YWHAH/GABRD",29
"Organismal Systems","Nervous system","hsa04720","Long-term potentiation","10/281","67/9423",0.149253731343284,5.00504594465396,5.76771641165827,2.61527333528182e-05,0.000767146845016001,0.000767146845016001,"PPP3R1/PPP3CB/PLCB1/RPS6KA6/GRIN2A/GRIN2B/GRM1/CALM3/PRKCG/GRIA1",10
"Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","12/281","97/9423",0.123711340206186,4.14851230876472,5.46446512364488,2.9051167955586e-05,0.000786616240028174,0.000786616240028175,"GUCY1B1/PLCB1/GRIA3/GRIN2A/GNG2/KCNJ3/GRIN2B/CALM3/ADCYAP1/PRKCG/GNG3/GRIA1",12
"Human Diseases","Substance dependence","hsa05031","Amphetamine addiction","10/281","69/9423",0.144927536231884,4.85997214915674,5.64175386540794,3.4022645807206e-05,0.000842604676570462,0.000842604676570462,"PPP3R1/PPP3CB/GRIA3/GRIN3A/GRIN2A/GRIN2B/CALM3/PRKCG/STX1A/GRIA1",10
"Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","13/281","115/9423",0.11304347826087,3.79077827634226,5.27898184031055,3.59064492856731e-05,0.000842604676570462,0.000842604676570462,"KCNQ5/KCNJ4/CHRM3/CACNA1B/PLCB1/KCNQ3/GNG2/KCNJ3/CHRM4/CHRNA7/CHRM1/PRKCG/GNG3",13
