"","01","02","04","05","06","07","08","09","10","11","12","13","15","16","17","18","19","20","21","22","23","24","25","26","27","28"
"COX8A",3.71145529701448,3.3706448842332,3.72351585859838,4.01637627332141,3.75756103527829,3.53556087719033,3.80534267326924,3.86897202016251,3.02647771403101,3.52607520647943,3.20481485167879,3.65014663845204,5.98947470061899,5.72055049814586,5.52908668885753,4.93887310963985,5.46254619580238,5.41898848574751,5.08504057078573,5.47460269183176,5.5139648240019,5.39030547004384,5.73959578899467,5.77848033032813,5.55998375549168,5.54874605128193
"NAA38",2.20166501614474,2.21156023793058,2.19417691989532,2.65398800029236,2.2216113868148,2.50707827090985,2.18782402175479,2.46215491093799,2.06222630586619,1.63553759789252,1.73441180570053,2.27874992373056,4.42442123877816,3.91418080753916,3.46926970073851,3.37230365266084,3.67115326213707,3.67266158473201,3.48675592575034,3.77104249910982,3.35062855571797,3.90718673586519,3.74994109433199,3.85150431674968,3.61330316438233,4.09119019053801
"NDUFB7",3.43618938924218,3.09914531488923,3.41720069115009,3.64011144740346,2.79382256770322,3.38357088232109,3.27670845361801,3.57452249748685,3.05680337992232,3.06303983106431,2.76538032233618,3.39309908216577,5.21377288029966,4.85419777835102,4.76320642037947,4.00401129750049,4.84932042054507,4.64648704782559,3.76714301164738,4.55260375346542,4.20991283991198,4.46014960410423,4.83310247236534,5.07928632453378,4.75383151321887,5.1071985393619
"RPL27",3.17207559615803,3.09665248134195,3.38573139672958,3.60485139424696,3.18155084709541,2.77713368850153,3.00365129875098,3.57898287129877,2.68056241191633,2.97767672413793,2.98883589998426,3.29002221560168,5.53376628121237,4.99176862843626,4.59730148428756,4.26429578540779,4.90608534080018,4.62028135874844,4.88908185340269,4.62706464738122,4.64689280880649,4.16006534247808,4.6502142703421,5.00677776573469,4.8562759262469,4.82355908653732
"NDUFA11",3.45720769573996,3.55627828880931,3.47001196096322,3.64531634119321,3.11564724503233,3.81626471203479,3.37761016004343,4.04864835662473,3.17696599807949,3.58063850631871,3.48581780666846,3.40565909716189,4.78212032257452,4.83478752244092,4.41104795001482,4.77228733076902,4.56861296105116,5.02056758477657,4.51905166521543,4.84334835453067,5.02233930909472,4.98190386973566,4.45894452284939,4.85905269276602,4.67284486249771,4.86636365273258
"RAMP1",3.48804441450886,3.53201951768595,3.447098769931,4.17695147469064,3.49642021828872,3.70263239207085,3.69325923048778,4.10802375181518,3.27722008830339,3.47001632604873,3.39975823442159,3.85505802849194,5.99995337882978,5.31008568489248,4.76388935358869,4.50445718994789,5.46793513647728,5.0538714962592,4.93838038461537,5.3388543671573,4.93423189993997,5.13353896845644,4.95382712410302,5.50309544044326,5.65716461271595,5.50284607089124
"MT3",5.95992538049768,5.68175900026376,5.78297723829099,6.45776825306736,5.52645598574309,6.00783410095584,5.70063392175933,6.55749576052078,4.74193961793862,5.98749185676459,5.79005086068231,5.95036817227767,8.01596077427792,7.8405271744306,7.59618178341558,7.49907181545009,8.1596938005373,7.93892117347693,6.76055999486969,7.89646484936578,7.79112487750123,8.11443808724532,7.414663582196,7.95493196265507,7.41410448802557,6.92895713989471
"MZT2B",3.31367205969638,3.92729666965744,3.43410243268318,4.74767523427598,3.37009499502439,3.74223596109606,3.60998530644988,3.89103066841944,3.46640363789349,3.42273932989444,3.28438912760519,3.98741637411242,5.71695542726724,5.71571507865947,4.6091275396194,4.72795663598401,5.25783473548575,5.04531114460958,4.94375747187543,5.25008547870162,5.10529856802497,5.14304732114765,4.70595769286447,5.37155363572241,4.92117214030034,5.34178557724628
"RABAC1",3.08480231226628,3.30214459984859,2.94492345500662,3.9952149040429,3.13898539268631,3.12280865905454,3.39101121104625,3.28296224288809,3.05284990166209,2.99381794713826,2.79659406458209,3.20421460915398,5.44220954138469,4.71339821098294,4.19248039079602,3.99838145128146,4.71496819288493,4.5199985585823,4.33245739162653,4.62440209392331,4.41949176817508,4.53409312638851,4.72379271192999,5.08405335178491,4.72749646034349,4.82694328771258
"GNPTG",4.7719850212238,5.05671508255499,4.65974113585486,5.22304301384244,4.56990242963628,5.24554320279613,4.99276928727507,5.09751510913446,4.75166870712512,4.97892143935753,4.89374710074983,5.07327571612675,6.22256974077385,5.82074038929737,5.59104783981451,5.84047181645377,5.92355470374695,6.11278938408603,6.03705379183886,5.90608975151909,5.96657744567724,6.15508624316272,5.50074227735772,5.89654814555423,5.8915483114577,6.22662328818676
