"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"COX8A",2.0208392510458,4.59859054855202,12.5497140965767,3.35217050073408e-13,4.61727964771113e-09,19.8205764181872
"NAA38",1.54671013397742,3.09519774185059,11.1294207917743,6.01035157183772e-12,4.13932912752464e-08,16.8429415080013
"NDUFB7",1.52974260508573,3.96104126649197,10.582475518097,1.94706968143713e-11,8.93964593070501e-08,15.9909241642565
"RPL27",1.57899316691728,4.08017481152465,10.1271518133339,5.33003761315455e-11,1.78282036414249e-07,15.0589769979271
"NDUFA11",1.33540032597192,4.02629484795538,10.0407479055449,6.47168710665926e-11,1.78282036414249e-07,14.8802211770673
"RAMP1",1.64125770385137,4.47975839290706,9.95920848591436,7.77932168880481e-11,1.78587294902663e-07,14.7328042026944
"HNRNPH1",-1.04192770262136,6.30249067177457,-9.80870377292496,1.09507621912143e-10,2.15479712031123e-07,14.454940058235
"MT3",1.89112845890648,6.89704046071543,9.66101953288751,1.53604754756751e-10,2.59095887658152e-07,14.1168929124792
"MZT2B",1.62025151106468,4.4347587599217,9.60892131357687,1.7319761008755e-10,2.59095887658152e-07,13.9704908043893
"RABAC1",1.48440522926692,3.9083960217531,9.53762160561113,2.04241758951247e-10,2.59095887658152e-07,13.7785862681489
"GNPTG",1.02186185611239,5.42786797115655,9.53200912564122,2.06915548441968e-10,2.59095887658152e-07,13.8372363037659
"RAB11B",1.02565548192282,6.43485360550508,9.24787516938257,4.01882933960277e-10,4.61294627697405e-07,13.1989814132927
"PEX16",1.03256472896013,4.00489570271511,9.20501004026485,4.44625392651015e-10,4.71097704490391e-07,13.059672690937
"COPE",1.09145066118201,5.22009258426427,9.06444597330656,6.20400612698768e-10,6.1038557423663e-07,12.7761698128998
"MZT2A",1.43699604307748,4.13843089273998,8.99877859264839,7.25519782746152e-10,6.66220632503033e-07,12.592703823171
"ICE2",-1.05934426334352,4.56911377453346,-8.85706574960714,1.01903323754108e-09,8.70899615317191e-07,12.2950594113934
"FBXO2",1.22970757336727,6.84791176445133,8.83056448761771,1.08619265323305e-09,8.70899615317191e-07,12.2358497089782
"RBM41",-1.12493513200341,3.78005199005932,-8.75818813128727,1.2936372571968e-09,8.70899615317191e-07,12.0450684748973
"PLTP",1.5604668204064,5.31780177597951,8.72994456219042,1.38520699471683e-09,8.70899615317191e-07,11.9986445439487
"PNPLA2",1.43925913114903,5.19825304644389,8.69847894302907,1.49506142937884e-09,8.70899615317191e-07,11.9247001136586
"IFI27L2",1.21062490450014,3.15088696152772,8.69721152406348,1.49966847414924e-09,8.70899615317191e-07,11.8188832364992
"NDUFB2",1.00205927366039,3.69326765003475,8.69122813470574,1.52161477820794e-09,8.70899615317191e-07,11.8688553767407
"FNIP1",-0.890100856457682,6.23849526934571,-8.67758973477254,1.57287423279243e-09,8.70899615317191e-07,11.8807547999776
"COMT",1.20250456928265,5.07290341396349,8.66050184296465,1.63959919683718e-09,8.70899615317191e-07,11.8355301382976
"VPS51",1.18914273519779,5.65719707058432,8.65755620198331,1.65139052485094e-09,8.70899615317191e-07,11.8319300066283
"INTS8",-0.866962255250111,4.75226099183991,-8.65599487294594,1.6576756010461e-09,8.70899615317191e-07,11.8269201289833
"ROMO1",1.82079931755149,2.14776890087388,8.64391169127645,1.7071504002878e-09,8.70899615317191e-07,11.3471146080702
"PMS1",-1.1136462790914,4.14387897406268,-8.61163170740866,1.84685791252535e-09,9.08522174540148e-07,11.7141651656216
"VPS28",0.94308978186938,4.6597432118169,8.48920708460069,2.49192604056839e-09,1.18357894078583e-06,11.4280636851171
"THAP4",1.00452505344648,4.73408766703386,8.29822969562325,3.99200450125755e-09,1.78795011240124e-06,10.9732055156249
"AC007325.2",2.05918890766675,4.00721242391093,8.29501188927016,4.02399110530262e-09,1.78795011240124e-06,10.9363481129347
"POLR2L",1.48918874385975,3.44383479251522,8.27957974909138,4.18107097237525e-09,1.79410832768609e-06,10.8783552808058
"GSTP1",1.17490489691718,5.81408255338785,8.26843832114169,4.29835739898658e-09,1.79410832768609e-06,10.9043990090569
"ECH1",0.965242513909888,4.76832965643235,8.22147796556584,4.83083113915273e-09,1.95705494443205e-06,10.7890827187687
"LLGL1",1.1480138069427,7.01122429166565,8.1512676635019,5.75551074986394e-09,2.25764586621976e-06,10.6205993669826
"LONP1",0.87998299986583,5.96466072790563,8.14130599221249,5.90062808072539e-09,2.25764586621976e-06,10.5966203221369
"NDUFAF3",1.0518116479218,4.47525958482632,8.09437692508366,6.63619579431999e-09,2.47045840191793e-06,10.4797341626525
"USP45",-0.957994952412096,4.68616513215504,-8.05949037610935,7.24314969709434e-09,2.62545115599414e-06,10.3975371786077
"RPS6KC1",-0.914888894702116,6.25389223383335,-8.02724241153827,7.85455290568209e-09,2.77406696725295e-06,10.3182690115627
"COX6B1",1.34694624673566,4.23908128414597,7.98946965931597,8.63810818029585e-09,2.84792641389095e-06,10.2211016874159
"PHPT1",1.03883726086086,4.22558909627562,7.9856503476671,8.72165152178256e-09,2.84792641389095e-06,10.2133967563134
"FASTKD1",-0.92034349455153,4.0960425757001,-7.97951208141697,8.85765022511462e-09,2.84792641389095e-06,10.2007280602702
"HIST2H2AA4",1.70577270736759,4.2905160125287,7.97803382766474,8.89072424838907e-09,2.84792641389095e-06,10.1913789589891
"PSMB10",1.32107486325525,2.63563113418407,7.92234327523961,1.02330181988471e-08,3.0721850488791e-06,9.93549845300346
"ATP11B",-0.923518868461092,5.01401507510085,-7.91012571850441,1.05541599389065e-08,3.0721850488791e-06,10.031392099343
"TRIM28",0.781980753515032,5.86226679084681,7.9076226101309,1.06212134282488e-08,3.0721850488791e-06,10.0247910451347
"NDUFS7",0.968924728899852,5.39523203064231,7.90574144938123,1.06718919599892e-08,3.0721850488791e-06,10.0208707568559
"PHGDH",1.07134514757619,6.17410680342339,7.89712169473366,1.09072813609394e-08,3.0721850488791e-06,9.99923859335455
"PAMR1",1.4378592292907,4.39036447844418,7.89633327780977,1.09290741538461e-08,3.0721850488791e-06,9.99592214783218
"LRP1",1.03523308520731,10.0637100656728,7.88478142581986,1.12535215587359e-08,3.10012011900055e-06,9.93276028748684
"EDF1",1.08359317335202,4.40583296236012,7.87491825514652,1.15383066958068e-08,3.11624777309889e-06,9.94467550022371
"TRPM7",-0.829717654029124,5.97372454288374,-7.85909363431661,1.20106634337034e-08,3.1409344707541e-06,9.90445016434813
"PEX14",1.00051159850448,4.11133809225158,7.85151812474588,1.22437222796724e-08,3.1409344707541e-06,9.88507107147215
"VPS50",-1.00251828611576,5.05175958254462,-7.84029435635618,1.25975265558623e-08,3.1409344707541e-06,9.85914798501498
"GIN1",-0.958268790745015,2.77595905347619,-7.83700869067414,1.27030596459338e-08,3.1409344707541e-06,9.81036188026182
"CHPF",1.24007663452907,6.0344087494982,7.83494265800896,1.27698802353877e-08,3.1409344707541e-06,9.84596585020956
"GLRX3",-0.868836857892732,4.03209764977519,-7.79641250921164,1.40838685525285e-08,3.40335448144786e-06,9.75206007786188
"C19orf60",1.28858336163535,4.00614380704942,7.78652396462229,1.44428022251947e-08,3.42991651465227e-06,9.72332136288918
"MGAT4A",-0.719446887962378,5.73815089373111,-7.76459817891206,1.52722981920095e-08,3.5654344965549e-06,9.67026049164907
"LDB1",0.970891902490441,5.35496511951901,7.73020113115909,1.66726650026333e-08,3.77407604241036e-06,9.58707189683221
"KIAA2013",0.976213721853459,4.80207403544246,7.7292311270335,1.67140001878199e-08,3.77407604241036e-06,9.58631626573607
"VAMP5",1.80075765386028,2.77525138324163,7.71492834138268,1.73357594106778e-08,3.85133467939799e-06,9.43438170483207
"FRA10AC1",-0.98612971204566,4.26082500692232,-7.6986679367419,1.80713211920476e-08,3.93928207020773e-06,9.51092374979716
"SF3B5",1.2101435125202,3.87701234969783,7.69194058433791,1.83848723713395e-08,3.93928207020773e-06,9.48968894413157
"NUDCD1",-1.02493069482192,3.78748970931648,-7.68761059808909,1.85896133703719e-08,3.93928207020773e-06,9.48260890709591
"PEPD",1.0383231918071,4.60346745125006,7.66303307180936,1.97965816342789e-08,4.08033841389143e-06,9.42262584683847
"GAMT",1.32230114295704,3.82258900433399,7.65732383664225,2.00882050510452e-08,4.08033841389143e-06,9.40292376107915
"SCAMP4",1.06689281658237,5.59940204013943,7.65624176901107,2.01439677758543e-08,4.08033841389143e-06,9.40248164376648
"HERC4",-1.11794916974113,5.77287726453756,-7.63422097140972,2.13136867899334e-08,4.25470611368902e-06,9.34556661779765
"SNX14",-0.848127622758766,5.19137543861461,-7.6006824839624,2.32297046562041e-08,4.57094217049364e-06,9.26267676132739
"KRR1",-1.12275155410936,4.66246287873344,-7.59017405461601,2.38654571863489e-08,4.62989869415169e-06,9.23925700288109
"PC",0.975927083930851,6.4998522682385,7.56447913162307,2.54956961820908e-08,4.87746832239053e-06,9.17293644865468
"NUCB2",-0.690149445753788,4.37565910895903,-7.55418192702931,2.61804487847248e-08,4.90751563875581e-06,9.15092056146307
"ARMC6",0.97989434413776,3.83198815771406,7.55144861230802,2.63653373942159e-08,4.90751563875581e-06,9.1433360927349
"ADIRF",1.78149095623737,3.69274595521472,7.52118855628976,2.85032930817699e-08,5.21215212849322e-06,9.05843125968852
"AP1B1",0.983193991103352,6.77113745859684,7.5122907691389,2.91649415191046e-08,5.21215212849322e-06,9.04287239373035
"CLUH",0.855680958464159,6.29186757897954,7.50760395346313,2.95197257619393e-08,5.21215212849322e-06,9.029460959892
"TBC1D23",-0.851680339216231,4.52152127176012,-7.50339669373104,2.98419509542194e-08,5.21215212849322e-06,9.02280763927564
"TAF1D",-1.01233747218141,4.64926640907954,-7.50241057572602,2.99179923909806e-08,5.21215212849322e-06,9.0194756145096
"PCSK1N",2.17835354820162,6.08390891677911,7.49784785050924,3.02724096326018e-08,5.21215212849322e-06,9.00821637083044
"HSD17B10",1.05442949354199,3.40335321995576,7.48757385894252,3.10861938932966e-08,5.28618808254651e-06,8.97589130737759
"CEP57L1",-1.07065480028638,3.26729310443143,-7.45729412805308,3.36165822873424e-08,5.52585762068282e-06,8.9059361003965
"EXOC6",-1.02818677133468,4.42795883597839,-7.45702723762375,3.36397942067013e-08,5.52585762068282e-06,8.9070754723664
"MED16",0.993179211669608,5.17743444015947,7.45634566034018,3.36991462274834e-08,5.52585762068282e-06,8.90304680426537
"MATR3",-1.37172816089942,6.64496245444911,-7.4479242637712,3.44413425850973e-08,5.5811182678486e-06,8.8803122157379
"S100A1",1.30861415433364,5.5139222527416,7.42155127734553,3.68751117294879e-08,5.87172521616735e-06,8.81474703067862
"PUS7L",-1.1311158386554,4.98500186179148,-7.41933681683672,3.70872726736285e-08,5.87172521616735e-06,8.80810481991498
"PUF60",0.737679142523246,5.70059811418492,7.40059115307402,3.8933767546127e-08,6.0940194793222e-06,8.75929809480701
"LCORL",-0.844842095795996,3.90809696681419,-7.38247726366877,4.08069546487472e-08,6.13085377971278e-06,8.72305242319358
"BLOC1S1",1.15559289824528,3.38429303094029,7.3783023714838,4.12515419411018e-08,6.13085377971278e-06,8.70308744869649
"NCKIPSD",0.804206370937621,5.6454154402373,7.37446959417377,4.16640369515373e-08,6.13085377971278e-06,8.69354294322175
"GPS1",0.743384975929583,5.55729685114654,7.37213207302106,4.19176663888378e-08,6.13085377971278e-06,8.68774263454833
"AGT",1.36330373001097,7.21840992288719,7.37145886694296,4.19910026980729e-08,6.13085377971278e-06,8.69066413100558
"ROGDI",0.973662515373906,5.83873722040603,7.36796768533438,4.23734174820917e-08,6.13085377971278e-06,8.67715558039103
"LGALS1",1.3301283721184,4.83372991238246,7.36489031197807,4.27134432372542e-08,6.13085377971278e-06,8.6760766940265
"G6PD",0.933457981958669,4.6933136025548,7.36387297568462,4.28264606401851e-08,6.13085377971278e-06,8.67328234136763
"SOS1",-0.856843959233558,6.16322180733437,-7.36075244917694,4.31750266176956e-08,6.13085377971278e-06,8.6572784217859
"CLPTM1",0.900277338251544,6.33213465321409,7.35306031080496,4.40466285973252e-08,6.19079859489343e-06,8.63952865256022
"LAMTOR4",0.920097814016434,3.1492210182399,7.34598627642905,4.48639949572556e-08,6.24198653071958e-06,8.61786663218022
"RAD17",-0.949567538873071,3.56467077716602,-7.3238107110964,4.75276975066925e-08,6.54646505457182e-06,8.5761797948413
"CRYL1",0.949976348938671,5.05954260169291,7.31213833866697,4.89938647015485e-08,6.68159893464484e-06,8.53960898473363
"MRPL24",0.999797524755616,3.39164936396686,7.30078234833352,5.04644665959445e-08,6.81468198914255e-06,8.5123725267665
