"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SLC29A3",0.822577053252852,2.90909815145458,3.91632337402401,0.00046856877689095,0.00239947640676399,-0.259582286811955
"SALL2",0.872532525967059,6.53668847009956,3.91566983724558,0.000469412777014038,0.00240290481021684,-0.432794757220308
"CYP2R1",-0.645689442664435,2.58979125012981,-3.91441752383344,0.000471034215061068,0.00240880569141082,-0.241850251835668
"ACKR3",0.790098189871321,3.36066203188285,3.91437426569584,0.000471090321493779,0.00240880569141082,-0.315712479728548
"HYI",0.902034275528004,3.45357592511317,3.91291143346847,0.000472991489117151,0.00241673202417186,-0.326376669113013
"SLC12A4",0.984162690859221,5.15041197825189,3.91173634903641,0.000474524119444035,0.00242096966459591,-0.433704197363434
"SERINC1",-0.9014010389317,8.25410549007386,-3.91071680992598,0.000475857810951812,0.00242656380494481,-0.412314520395101
"HFM1",-0.782546230977274,2.42536633107167,-3.91062885017327,0.000475973045545093,0.00242656380494481,-0.230974777906152
"SRSF6",-0.696143474049013,5.89561401198365,-3.91016309220106,0.000476583682272705,0.00242877768500931,-0.455761343611695
"ROBO3",0.722510966037009,4.69507127561616,3.90955640274267,0.00047738023781712,0.00243193706057778,-0.427044137274904
"HCN4",0.712044976496134,2.94880052188832,3.90881225628645,0.000478359046334144,0.00243602221450487,-0.285614718166735
"ATP2C1",-0.590597643826016,6.31419881912544,-3.90780955417806,0.000479681049289752,0.00244094902022169,-0.459246262198476
"RPS6KA4",0.778859915051978,4.76853056764707,3.90296763622604,0.00048611528081791,0.0024709514274133,-0.446963093321954
"CROT",-0.602985836093817,2.86408250289182,-3.90282672767631,0.000486303786823456,0.00247099747031697,-0.30608690064207
"SRSF2",0.597487384909269,4.54100395695857,3.90265481532847,0.00048653386619633,0.00247125464312927,-0.439300569606348
"PIGZ",0.720705951080869,4.05722247631788,3.90200638191429,0.000487402657222736,0.00247384245851717,-0.411225614323663
"DHX37",0.593180575676207,4.53894647552218,3.9018103680784,0.000487665581058951,0.00247400328559747,-0.441576104390147
"AAED1",-0.770157316963681,2.37302720954719,-3.90171490862751,0.000487793676136321,0.00247400328559747,-0.24759463459983
"ATP1A2",1.11232340544819,10.0679745394338,3.90130929221358,0.000488338331486884,0.00247585376457083,-0.364040180199314
"ALG6",-0.862426735902145,2.20861366342145,-3.90041816917112,0.000489537006697181,0.00248101751277887,-0.229527052770395
"LRRC75A",0.703795386984677,3.48513911021264,3.8995922674496,0.000490650519404671,0.00248305248628866,-0.369124551668548
"NEURL1",0.761757902168514,7.21326964561772,3.8993975277165,0.000490913435667198,0.00248342322157873,-0.464894330951336
"MAML3",0.8301137670713,3.64069224315506,3.8984992609819,0.000492127961307873,0.00248723804422369,-0.383507181276615
"NXPE3",-0.64281740929676,6.21924804078713,-3.89830570806601,0.000492390044194175,0.00248723804422369,-0.485236792178862
"SRP54",-0.800033168216594,3.89192029634478,-3.89704631891964,0.000494098672602216,0.00249495369333792,-0.420416772166137
"SBNO2",0.671352079885948,4.99841752515087,3.8965694659415,0.000494747136676439,0.00249699179017843,-0.472813147976973
"SGK223",0.721359497796069,4.41498915585906,3.89258938921301,0.000500192128307186,0.00252202329065908,-0.458070966734477
"PLXND1",0.693241783606791,7.12978584967438,3.89231552998332,0.000500568931468212,0.00252299933613371,-0.485311047087706
"SLC39A13",0.81081412554777,4.63809325755817,3.89199316467634,0.000501012829771839,0.00252338941695619,-0.470009170408787
"MYSM1",-0.745737055911972,5.28921111232702,-3.8908968155046,0.000502525388756867,0.00253008212182159,-0.500514603505394
"SEMA3B",1.20378708551306,5.76957593665732,3.89071241193737,0.000502780236108656,0.00253044000409949,-0.497270418745889
"PCDH18",-0.924714494214714,2.92884903550457,-3.88980588021506,0.000504034909299093,0.00253582780454823,-0.345136091576714
"CSNK1G2",0.700862032598968,6.05322635994552,3.88961268748994,0.000504302690500826,0.00253624837406734,-0.506326771146473
"CPNE2",0.74488646576835,5.21954377481841,3.88847946089547,0.000505876239595697,0.00254323323082612,-0.499332423425918
"TMEM175",0.687545602233169,4.63704342696666,3.88583143520371,0.000509571906785076,0.00255892365831222,-0.487244967897187
"PSD4",0.865625045981731,4.29243811230769,3.88564342929887,0.000509835294721834,0.00255892365831222,-0.467411207531203
"TMEM134",0.643530970204533,3.65561236835227,3.88557842108608,0.000509926399303466,0.00255892365831222,-0.423635752304225
"GCNT1",-1.05588595989346,2.54491075261711,-3.88394876101488,0.000512215463408537,0.00256853857652424,-0.310904992830716
"GUCD1",0.947356272681766,3.75626372095354,3.88350365009285,0.000512842422366897,0.00256900682618277,-0.431192840139602
"SMC2",-0.583901013967054,3.67273297681563,-3.88348512093991,0.000512868537776067,0.00256900682618277,-0.440494192065328
"EFHD1",0.849746417691436,6.15468252100674,3.88284810085552,0.000513767159275967,0.00257168232549252,-0.522755826863039
"SOX2",0.632781106070594,5.92043988589975,3.88248582042237,0.00051427890162811,0.00257326325414937,-0.525526376813
"CHAF1A",0.594473784248818,3.66571549219352,3.88220320116946,0.000514678463778243,0.00257432707817886,-0.43391579162564
"COPZ2",1.04124092046291,1.73266760688453,3.88140794885462,0.00051580440631512,0.00257862922728012,-0.212195031625738
"MEPCE",0.660462360542194,4.93674426329748,3.88132736915938,0.000515918627744789,0.00257862922728012,-0.511046989170012
"DNAJB4",-0.847014598312721,5.21610778088125,-3.8811991886989,0.000516100374029339,0.00257862922728012,-0.523898786168472
"SYT12",0.757032514199791,5.14360362325254,3.88017666585572,0.000517552445160316,0.00258400912612674,-0.519137197709507
"C9orf85",-0.725159935132202,3.41978701390638,-3.87946680542944,0.000518562855864902,0.00258811544953233,-0.427360083337711
"SMIM15",-0.730448018872034,3.57777198442552,-3.87892980290619,0.000519328502331078,0.00259099763663005,-0.443382067566159
"DIXDC1",-0.62143408507586,6.04721489844211,-3.87848484403429,0.000519963751844009,0.00259322740416226,-0.538804554993769
"GPR108",0.654004653132023,4.93057704613666,3.87770419136256,0.000521080092963895,0.00259785404783231,-0.520438052490747
"MYH7B",0.959757190632363,4.00138551167085,3.87664015320527,0.000522605450841438,0.00260357346529906,-0.468354097794961
"PRKAA2",-0.936439313991322,5.37971805487253,-3.87329606436297,0.000527427849355075,0.00262380111474689,-0.547629509056404
"LOXL1",1.04817085900821,1.18056542760615,3.87313413048125,0.000527662469283093,0.00262402029686825,-0.188167675852767
