"SYMBOL","ENTREZID"
"CHML","1122"
"ITFG1","81533"
"ELOVL4","6785"
"NAP1L5","266812"
"NEUROD6","63974"
"HPRT1","3251"
"NRN1","51299"
"MAS1","4142"
"RPH3A","22895"
"COL25A1","84570"
"RAB3C","115827"
"SERPINI1","5274"
"STAT4","6775"
"SCG2","7857"
"RGS4","5999"
"RAB3B","5865"
"NCALD","83988"
"OPN3","23596"
"TRIM36","55521"
"GAD2","2572"
"GAD1","2571"
