SYMBOL,logFC,SE,P.Value,acc,region
ABLIM3,0.861547546405479,0.2326867293814346,8.979440619426e-4,GSE278723_CA1,hippocampus_CA1
ABR,0.541176304686265,0.18109992639584271,0.00568490357672158,GSE278723_CA1,hippocampus_CA1
ABTB1,0.683023727168113,0.1344625759725213,2.06898745916914e-5,GSE278723_CA1,hippocampus_CA1
ABTB2,0.575536572223151,0.23333873521730597,0.0198381362487121,GSE278723_CA1,hippocampus_CA1
AC007325.2,2.05918890766675,0.24824423824278913,4.0239911053026204e-9,GSE278723_CA1,hippocampus_CA1
AC011043.1,-1.17038618890914,0.41681107788755356,0.00885531183484384,GSE278723_CA1,hippocampus_CA1
AC013461.1,-0.478070397658006,0.1834996029042268,0.0143724396436942,GSE278723_CA1,hippocampus_CA1
AC024592.12,1.77945929653528,0.3012494387296144,2.10987763882952e-6,GSE278723_CA1,hippocampus_CA1
AC069368.3,1.45728568404911,0.5105905240673086,0.00791373157855844,GSE278723_CA1,hippocampus_CA1
AC092835.2,-0.523194148702249,0.2330845393776096,0.032641283041267,GSE278723_CA1,hippocampus_CA1
ACAA1,0.656377313183972,0.11510240709550189,3.69832780913721e-6,GSE278723_CA1,hippocampus_CA1
ACACB,0.828525908708731,0.25499314205101137,0.0029404792540856,GSE278723_CA1,hippocampus_CA1
ACADM,-0.495789735322258,0.13318013678228396,8.5112762175552e-4,GSE278723_CA1,hippocampus_CA1
ACADS,1.01591645439148,0.17137537029775154,1.99145559732912e-6,GSE278723_CA1,hippocampus_CA1
ACADSB,-0.695726478349313,0.26237141362720195,0.0128819576714446,GSE278723_CA1,hippocampus_CA1
ACADVL,0.298968368906091,0.13197539724829188,0.031190586120561,GSE278723_CA1,hippocampus_CA1
ACAP2,-0.405491645997444,0.12155948787285042,0.00235325627299568,GSE278723_CA1,hippocampus_CA1
ACAP3,0.439558179381424,0.15820941767552196,0.00951392286754693,GSE278723_CA1,hippocampus_CA1
ACBD4,0.410709547972933,0.14427484686717895,0.0080580716947644,GSE278723_CA1,hippocampus_CA1
ACD,0.647128118295027,0.15615122468371684,2.7285003704574e-4,GSE278723_CA1,hippocampus_CA1
ACER2,-0.515327367791906,0.2340575304945453,0.0358493787128516,GSE278723_CA1,hippocampus_CA1
ACER3,-0.622929359804273,0.2938893644125619,0.0427804064990227,GSE278723_CA1,hippocampus_CA1
ACKR3,1.18547630371239,0.22207987865609574,1.01147082989089e-5,GSE278723_CA1,hippocampus_CA1
ACO2,0.740272111922266,0.11428257883491551,4.47413539523235e-7,GSE278723_CA1,hippocampus_CA1
ACOT11,0.812453943791731,0.19273641886750686,2.2469954515261e-4,GSE278723_CA1,hippocampus_CA1
ACOT9,-0.411021773545134,0.13552026045376814,0.0050857971399899,GSE278723_CA1,hippocampus_CA1
ACOX2,0.864395174775529,0.26190521406062217,0.00257793979210849,GSE278723_CA1,hippocampus_CA1
ACOX3,0.311741258663712,0.12491938598452432,0.0185577408104563,GSE278723_CA1,hippocampus_CA1
ACP1,-0.544420158076308,0.1564081269577965,0.00161349156281715,GSE278723_CA1,hippocampus_CA1
ACP2,0.695268548332069,0.13063196598168197,1.05643035686513e-5,GSE278723_CA1,hippocampus_CA1
ACRC,-0.929683811371975,0.23699297062233105,4.9749478475761e-4,GSE278723_CA1,hippocampus_CA1
ACSBG1,0.733433992459647,0.19389129974753852,7.2504575297041e-4,GSE278723_CA1,hippocampus_CA1
ACSF2,0.910335574269149,0.1495777614246098,1.29310588558409e-6,GSE278723_CA1,hippocampus_CA1
ACSF3,0.387435957875052,0.18723892844242793,0.0476035759278424,GSE278723_CA1,hippocampus_CA1
ACSL3,-1.0259196519093,0.1858752016551144,6.12731974007436e-6,GSE278723_CA1,hippocampus_CA1
ACSL4,-0.780176303843003,0.2136893872396309,0.00103003132322633,GSE278723_CA1,hippocampus_CA1
ACSL5,-0.688461800860476,0.2827186385248029,0.0213140685005368,GSE278723_CA1,hippocampus_CA1
ACSM5,1.18619112596762,0.3256973705195662,0.00105485998893665,GSE278723_CA1,hippocampus_CA1
ACSS1,0.89597414309879,0.23208425319606238,5.8836928420807e-4,GSE278723_CA1,hippocampus_CA1
ACTB,0.565827976639099,0.17917845203206723,0.0037116584793975,GSE278723_CA1,hippocampus_CA1
ACTG1,0.66258170906485,0.178882518550828,8.9460787981889e-4,GSE278723_CA1,hippocampus_CA1
ACTN1,0.381512815482412,0.16536244091377933,0.0284349931380721,GSE278723_CA1,hippocampus_CA1
ACTN4,0.57508946887909,0.15401636903222102,8.2596398721182e-4,GSE278723_CA1,hippocampus_CA1
ACTR10,-0.474048781395896,0.19426689266326885,0.0210701775811102,GSE278723_CA1,hippocampus_CA1
ACTR1A,0.343248315531068,0.12741192662712925,0.0116490634270389,GSE278723_CA1,hippocampus_CA1
ACTR1B,0.740951456446789,0.1144471898621424,4.51506568366551e-7,GSE278723_CA1,hippocampus_CA1
ACTR2,-0.704044710076909,0.23662059045468156,0.00586952468850634,GSE278723_CA1,hippocampus_CA1
ACTR3,-0.60918533216329,0.1496549619702307,3.3341081234686e-4,GSE278723_CA1,hippocampus_CA1
ACTR3C,-0.548248589044656,0.21351705768705978,0.0156958827148645,GSE278723_CA1,hippocampus_CA1
ACTR6,-0.87289795089608,0.19924338415595863,1.4267690824953e-4,GSE278723_CA1,hippocampus_CA1
ACVR1C,-0.897761694242013,0.2951385044627191,0.00497358578845946,GSE278723_CA1,hippocampus_CA1
ACVR2A,-0.577429664514447,0.20092059763732567,0.00753947990624435,GSE278723_CA1,hippocampus_CA1
ACY1,1.15482557320079,0.29074709508975394,4.3569590454278e-4,GSE278723_CA1,hippocampus_CA1
ADAL,-0.502640638612257,0.16120471678980136,0.00410606338064924,GSE278723_CA1,hippocampus_CA1
ADAM10,-0.606701257813335,0.11740741974327136,1.62207409941515e-5,GSE278723_CA1,hippocampus_CA1
ADAM15,0.633397250944462,0.16869767448294962,7.8158950097353e-4,GSE278723_CA1,hippocampus_CA1
ADAM17,-0.547857742785368,0.11842430665323944,7.260102894333e-5,GSE278723_CA1,hippocampus_CA1
ADAM20,-0.771823723392888,0.21343761804941022,0.00112963027318876,GSE278723_CA1,hippocampus_CA1
ADAM22,-0.539842375328407,0.21196249164053463,0.0164768606753462,GSE278723_CA1,hippocampus_CA1
ADAM32,-1.00145590371441,0.17273600139149609,2.84773574969477e-6,GSE278723_CA1,hippocampus_CA1
ADAMTS1,-0.763383439194771,0.33043069312122536,0.0282373568525707,GSE278723_CA1,hippocampus_CA1
